f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30
0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31
23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24
23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30
23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27
23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25
22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29
1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23
11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23
23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31
11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25
23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32
10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25
11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31
13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27
28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23
18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30
25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27
23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30
28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22
18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30
23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31
18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31
18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33
23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29
18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33
23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31
23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27
24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30
11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23
28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33
23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23
23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21
23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28
23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31
19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38
23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25
23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28
23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31
23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25
22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23
14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25
0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23
0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24
23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24
23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28
0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30
0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31
18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24
23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31
0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25
23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32
23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31
23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23
23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31
23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28
0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31
23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19
23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31
23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24
23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28
23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24
23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32
23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25
23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31
23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24
19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23
14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25
28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24
26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30
23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27
28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23
23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24
13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31
21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22
23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25
10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25
22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25
14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24
6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24
21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22
13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24
28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23
28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32
28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24
7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30
23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25
23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32
19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28
23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31
26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29
23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24
26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23
19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28
22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27
28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24
28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23
23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24
22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27
27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28
19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23
23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24
23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25
27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21
28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19
18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30
27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21
27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28
23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24
22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30
23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21
1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23
11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31
28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25
23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25
28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23
22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30
11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24
1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24
28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24
23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24
23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19
23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21
25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24
18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25
23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25
