f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
Hindi,1,Soap Actor,Male,03-???-06,,10,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,3,0,0
Hindi,1,Model,Female,03-???-06,,5,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,1,Pageant Winner,Male,03-???-06,,4,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,1,LGBT,Transgender,03-???-06,,1,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,1,Model,Female,03-???-06,26-???-07,12,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,6,0,0
Hindi,1,Actor,Male,03-???-06,,2,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,1,Actress,Female,03-???-06,,3,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,1,Commoner,Female,03-???-06,,7,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,3,0,0
Hindi,1,Actor,Male,03-???-06,NA,NA,No,86,15,03-???-06,26-???-07,Arshad Warsi,"1,00,00,000",Sony TV,2.72,4,0,0
Hindi,1,Actress,Female,03-???-06,,11,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,5,1,0
Hindi,1,Actor,Male,03-???-06,26-???-07,12,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,5,0,0
Hindi,1,Soap Actress,Female,03-???-06,,9,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,6,0,0
Hindi,1,Sports Person,Male,03-???-06,,1,No,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,0,0,0
Hindi,1,Actor,Male,,,6,Yes,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,2,0,0
Hindi,1,Singer,Male,,,8,Yes,86,15,03-???-06,26-???-07,Arshad Warsi,0,Sony TV,2.72,1,0,0
Hindi,2,Comedian,Male,17-???-08,,9,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,2,Reality Show Alumni,Male,17-???-08,NA,NA,No,98,15,17-???-08,22-???-08,Shilpa Shetty,"1,00,00,000",Colors,2.89,4,0,0
Hindi,2,Singer,Male,17-???-08,,10,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,2,0,0
Hindi,2,Model,Female,17-???-08,,5,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,2,0,0
Hindi,2,International Star,Female,17-???-08,NA,NA,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,0,0,0
Hindi,2,Soap Actress,Female,17-???-08,,4,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,2,Actress,Female,17-???-08,,13,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,2,1,0
Hindi,2,Actress,Female,17-???-08,,8,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,2,0,0
Hindi,2,Politician,Male,17-???-08,NA,NA,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,4,0,0
Hindi,2,Actor,Male,17-???-08,22-???-08,14,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,5,0,0
Hindi,2,Actress,Female,17-???-08,,2,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,2,Actress,Female,17-???-08,,7,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,2,Politician,Male,17-???-08,,1,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,2,Model,Male,17-???-08,22-???-08,14,No,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,3,0,0
Hindi,2,Pageant Winner,Female,,,12,Yes,98,15,17-???-08,22-???-08,Shilpa Shetty,0,Colors,2.89,1,0,0
Hindi,3,Actress,Female,04-???-09,,10,No,84,15,04-???-09,26-???-09,Amitabh Bachchan,0,Colors,2.83,3,0,0
Hindi,3,Soap Actor,Male,04-???-09,,NA,No,84,15,04-???-09,26-???-09,Amitabh Bachchan,0,Colors,2.83,6,0,0
Hindi,3,Model,Female,04-???-09,,9,No,84,15,04-???-09,26-???-09,Amitabh Bachchan,0,Colors,2.83,2,0,0
