f1,f2,f3,f4,f5
36.46936,11.296875,4.141235,16.503571,281.803833
36.42865,11.296875,4.147949,16.516052,283.474609
36.435757,11.293945,4.192505,16.762175,283.975891
36.622124,11.29541,4.198608,16.755411,282.107391
36.615612,11.296875,4.246826,16.51211,278.506989
36.462158,11.296875,4.241943,16.501593,279.779388
36.462276,11.29834,4.195557,16.261259,285.799286
36.485394,11.296875,4.193726,16.270311,285.458038
36.485912,11.293945,4.145508,16.518473,283.175995
36.492905,11.29541,4.139404,16.519531,282.889099
36.505474,11.293945,4.093628,16.363733,286.739899
36.642841,11.29834,4.084473,16.366699,287.205261
36.650452,11.296875,4.042969,16.616493,289.348785
37.444633,11.29834,4.050293,16.623648,287.676514
37.489662,11.296875,4.099121,16.558214,286.793884
38.157722,11.30127,4.104614,16.555319,289.227173
38.153996,11.302734,4.153442,16.605646,285.619659
38.033352,11.299805,4.162598,16.602028,286.740326
38.020538,11.30127,4.203491,16.620007,289.722382
38.078091,11.29834,4.204102,16.608829,287.608276
38.058979,11.299805,4.25354,16.364117,286.354431
38.04744,11.296875,4.257813,16.377005,288.524139
38.039261,11.29834,4.306641,16.622355,287.339478
37.885906,11.299805,4.329224,16.650885,286.576843
37.897003,11.29834,4.360352,16.63858,283.669495
37.792278,11.296875,4.346313,16.514366,283.507446
37.801083,11.29541,4.307861,16.758465,280.717957
37.800388,11.293945,4.30603,16.520592,286.923431
37.757481,11.29541,4.257202,16.514769,283.849854
37.774326,11.29248,4.25354,16.679796,284.061005
37.7561,11.293945,4.205322,16.674377,281.005035
37.662891,11.29248,4.200439,16.428341,284.324188
37.648788,11.291016,4.155273,16.420593,284.179321
37.509785,11.288086,4.163818,16.171242,285.697174
37.489193,11.286621,4.209595,16.179531,287.172607
37.41045,11.280762,4.21875,16.425142,283.930481
37.41729,11.283691,4.266968,16.433924,281.789398
37.211693,11.279297,4.259644,16.680433,279.991882
37.200119,11.277832,4.210205,16.676924,282.417053
36.922615,11.273438,4.208984,16.429008,282.755249
36.915977,11.271973,4.159546,16.433168,285.044128
36.550434,11.270508,4.16626,16.681379,281.59436
36.549221,11.269043,4.213257,16.67981,277.581848
36.214329,11.264648,4.21936,16.566084,280.535431
36.219597,11.263184,4.265747,16.56945,281.01294
36.193867,11.258789,4.263306,16.610559,278.553864
36.17181,11.261719,4.215088,16.642845,280.227234
36.011486,11.257324,4.208984,16.642313,280.521179
36.01881,11.258789,4.163818,16.443642,276.859406
35.988235,11.25293,4.174805,16.43449,274.545471
35.971432,11.255859,4.217529,16.428858,277.440918
35.792473,11.251465,4.229736,16.435505,278.468292
35.788403,11.25293,4.27063,16.516838,279.883881
35.880684,11.251465,4.223022,16.526613,278.7211
35.88068,11.25293,4.21875,16.718283,278.03363
35.774223,11.25,4.169922,16.725912,279.378143
35.740517,11.25293,4.16687,16.52589,280.840637
35.597786,11.251465,4.119873,16.570183,278.217194
35.587708,11.25,4.115601,16.747681,278.428162
35.719463,11.248535,4.066772,16.733288,273.917633
35.803051,11.25,4.020996,16.497335,275.320923
35.773193,11.24707,4.067383,16.515116,271.705505
35.706932,11.25,4.075317,16.514378,274.82608
35.707016,11.248535,4.124756,16.519073,275.571014
35.300663,11.245605,4.137573,16.524336,274.967682
35.29184,11.244141,4.177856,16.490612,273.261963
34.980122,11.242676,4.190063,16.499186,276.1315
34.980656,11.242676,4.237671,16.746704,273.617981
34.890713,11.241211,4.25354,16.525087,273.701019
34.907478,11.241211,4.299316,16.532982,270.527283
34.828186,11.244141,4.336548,16.781975,274.775513
34.85886,11.245605,4.293823,16.775642,273.718506
35.001331,11.248535,4.283447,16.527941,275.617096
35.033154,11.25,4.238281,16.522694,276.553436
35.060085,11.25,4.224854,16.473513,274.185577
35.047497,11.248535,4.188232,16.463675,276.95755
35.069141,11.24707,4.160156,16.506422,276.588837
35.057251,11.248535,4.190063,16.495451,273.970429
35.084538,11.24707,4.238281,16.65984,278.067566
