f1,f2,f3,f4,f5,f6,f7,f8,f9
'boy',5,11,'White','Rural','Elm',2,4,3
'boy',5,10,'White','Rural','Elm',1,4,3
'girl',5,11,'White','Rural','Elm',3,1,2
'girl',5,11,'White','Rural','Elm',3,4,1
'girl',5,10,'White','Rural','Elm',2,1,3
'girl',5,11,'White','Rural','Elm',2,1,3
'girl',5,10,'White','Rural','Elm',4,1,2
'girl',5,10,'White','Rural','Elm',4,2,1
'girl',5,10,'White','Rural','Elm',2,1,4
'girl',5,10,'White','Rural','Elm',3,2,1
'girl',5,11,'White','Rural','Elm',3,1,4
'girl',4,10,'White','Rural','Elm',3,4,1
'boy',4,9,'White','Rural','Elm',3,4,1
'boy',4,9,'White','Rural','Elm',2,3,1
'boy',4,9,'Other','Rural','Elm',3,2,1
'girl',4,9,'White','Rural','Elm',3,2,4
'girl',4,9,'White','Rural','Elm',1,2,4
'girl',4,9,'White','Rural','Elm',4,1,2
'girl',4,9,'White','Rural','Elm',3,1,4
'girl',4,9,'White','Rural','Elm',2,1,4
'girl',4,9,'White','Rural','Elm',3,1,2
'girl',4,9,'White','Suburban','Brentwood Elementary',4,2,3
'girl',4,9,'White','Suburban','Brentwood Elementary',2,1,3
'girl',4,9,'White','Suburban','Brentwood Elementary',3,2,1
'girl',4,7,'White','Suburban','Brentwood Elementary',2,3,4
'girl',4,9,'White','Suburban','Brentwood Elementary',3,1,4
'girl',4,10,'White','Suburban','Brentwood Elementary',3,1,4
'girl',4,9,'White','Suburban','Brentwood Elementary',2,1,3
'girl',4,10,'White','Suburban','Brentwood Elementary',3,4,1
'boy',4,10,'White','Suburban','Brentwood Elementary',2,4,3
'boy',4,10,'White','Suburban','Brentwood Elementary',4,3,1
'boy',4,9,'White','Suburban','Brentwood Elementary',2,4,3
'boy',4,9,'White','Suburban','Brentwood Elementary',1,2,4
'boy',4,10,'White','Suburban','Brentwood Elementary',1,3,4
'boy',4,11,'White','Suburban','Brentwood Elementary',1,2,4
'boy',4,9,'White','Suburban','Brentwood Elementary',3,2,1
'boy',4,10,'White','Suburban','Brentwood Elementary',2,1,4
'boy',4,10,'White','Suburban','Brentwood Elementary',1,4,2
'boy',4,10,'White','Suburban','Brentwood Elementary',3,1,4
'boy',4,9,'White','Suburban','Brentwood Elementary',1,3,2
'boy',4,9,'White','Suburban','Brentwood Elementary',1,3,4
'boy',4,10,'White','Suburban','Brentwood Elementary',1,4,3
'boy',4,9,'White','Suburban','Brentwood Elementary',2,4,1
'boy',5,11,'Other','Suburban','Brentwood Elementary',1,3,4
'boy',5,11,'White','Suburban','Brentwood Elementary',1,4,3
'boy',5,11,'White','Suburban','Brentwood Elementary',1,2,3
'boy',5,11,'White','Suburban','Brentwood Elementary',3,1,2
'boy',5,11,'Other','Suburban','Brentwood Elementary',2,1,3
'boy',5,11,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,11,'White','Suburban','Brentwood Elementary',2,1,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,11,'White','Suburban','Brentwood Elementary',1,2,3
'boy',5,11,'White','Suburban','Brentwood Elementary',1,2,4
'boy',5,10,'Other','Suburban','Brentwood Elementary',2,1,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,3,2
'boy',5,10,'White','Suburban','Brentwood Elementary',1,3,2
'boy',5,11,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,11,'White','Suburban','Brentwood Elementary',2,4,3
'boy',5,10,'White','Suburban','Brentwood Elementary',3,1,4
'boy',5,11,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,2,3
'boy',5,11,'Other','Suburban','Brentwood Elementary',1,2,4
'boy',5,10,'White','Suburban','Brentwood Elementary',4,1,2
'boy',5,10,'White','Suburban','Brentwood Elementary',1,3,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,4,3
'boy',5,10,'White','Suburban','Brentwood Elementary',1,2,4
'boy',5,11,'White','Suburban','Brentwood Elementary',2,1,3
'boy',5,10,'White','Suburban','Brentwood Elementary',3,2,4
'boy',5,10,'White','Suburban','Brentwood Elementary',1,4,3
'boy',5,10,'White','Suburban','Brentwood Elementary',2,1,3
'girl',5,9,'White','Suburban','Brentwood Elementary',3,1,4
'girl',5,11,'White','Suburban','Brentwood Elementary',2,1,4
'girl',5,12,'Other','Suburban','Brentwood Elementary',3,1,4
'girl',5,10,'White','Suburban','Brentwood Elementary',4,1,2
'girl',5,11,'White','Suburban','Brentwood Elementary',4,1,3
'girl',5,11,'White','Suburban','Brentwood Elementary',1,4,3
'girl',5,10,'White','Suburban','Brentwood Elementary',3,1,4
'girl',5,10,'White','Suburban','Brentwood Elementary',2,3,4
'girl',5,12,'White','Suburban','Brentwood Elementary',4,1,2
'girl',5,11,'White','Suburban','Brentwood Elementary',4,2,3
'girl',5,11,'White','Suburban','Brentwood Elementary',4,1,2
'girl',5,10,'White','Suburban','Brentwood Elementary',1,2,4
'girl',5,10,'White','Suburban','Brentwood Elementary',1,4,3
'girl',5,10,'White','Suburban','Brentwood Elementary',3,1,4
'girl',5,10,'White','Suburban','Brentwood Elementary',2,1,4
'girl',5,10,'White','Suburban','Brentwood Elementary',3,2,4
'girl',5,11,'White','Suburban','Brentwood Elementary',3,2,4
'girl',6,11,'Other','Suburban','Brentwood Middle',3,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,2,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,4,2
'girl',6,11,'White','Suburban','Brentwood Middle',1,2,3
'girl',6,11,'White','Suburban','Brentwood Middle',2,3,4
'girl',6,11,'White','Suburban','Brentwood Middle',4,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',2,3,4
'girl',6,13,'White','Suburban','Brentwood Middle',4,1,3
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,3
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',4,1,2
'girl',6,12,'White','Suburban','Brentwood Middle',3,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',1,2,3
'girl',6,11,'White','Suburban','Brentwood Middle',1,2,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,2,1
'girl',6,11,'White','Suburban','Brentwood Middle',2,3,4
'girl',6,12,'White','Suburban','Brentwood Middle',1,2,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,12,'White','Suburban','Brentwood Middle',3,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',1,3,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,4
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,3
'girl',6,11,'White','Suburban','Brentwood Middle',4,1,2
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,12,'White','Suburban','Brentwood Middle',3,2,1
'girl',6,11,'White','Suburban','Brentwood Middle',3,2,4
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,3
'girl',6,11,'White','Suburban','Brentwood Middle',3,1,2
'girl',6,12,'White','Suburban','Brentwood Middle',2,1,4
'girl',6,12,'White','Suburban','Brentwood Middle',2,1,3
'girl',6,11,'White','Suburban','Brentwood Middle',2,1,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,11,'White','Suburban','Brentwood Middle',2,1,4
'boy',6,11,'White','Suburban','Brentwood Middle',2,1,3
'boy',6,12,'Other','Suburban','Brentwood Middle',1,2,3
'boy',6,12,'White','Suburban','Brentwood Middle',3,4,2
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,12,'Other','Suburban','Brentwood Middle',1,3,4
'boy',6,12,'Other','Suburban','Brentwood Middle',3,1,2
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,4,3
'boy',6,12,'White','Suburban','Brentwood Middle',1,4,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,4,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,11,'White','Suburban','Brentwood Middle',3,1,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,4,3
'boy',6,11,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,4,3
'boy',6,11,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,3,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,3,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,3,2
'boy',5,11,'White','Suburban','Brentwood Middle',2,1,4
'boy',6,11,'White','Suburban','Brentwood Middle',2,1,4
'boy',6,11,'White','Suburban','Brentwood Middle',1,4,2
'boy',6,11,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,12,'White','Suburban','Brentwood Middle',3,1,4
'boy',6,11,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,3,4
'boy',6,11,'White','Suburban','Brentwood Middle',3,2,1
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,3
'boy',6,12,'White','Suburban','Brentwood Middle',3,1,2
'boy',6,12,'White','Suburban','Brentwood Middle',2,3,4
'boy',6,13,'White','Suburban','Brentwood Middle',2,4,3
'boy',6,11,'White','Suburban','Brentwood Middle',1,3,4
'boy',6,12,'White','Suburban','Brentwood Middle',1,2,4
'boy',6,12,'White','Suburban','Brentwood Middle',2,3,4
'girl',4,9,'White','Rural','Ridge',3,2,4
