State,City,Store,Sales,Transactions,Units
TN,Chattanooga,58,74408,8965,29805
OH,Hamilton,19,33946,2430,3505
VA,Roanoke,108,74133,8036,18826
TN,Memphis,158,92695,4744,18216
KY,Florence,195,8838,915,2651
KY,Elizabethtown,14,91659,6505,20898
TN,Jackson,294,66384,7285,10243
VA,Blacksburg,213,2345,182,545
TN,Knoxville,261,22136,1067,3374
KY,Louisville,86,42765,2345,3889
KY,Hazard,32,31786,1561,2652
KY,Glasgow,149,22486,1111,2058
KY,Bowling Green,145,12446,1553,2539
KY,Corbin,237,42770,2232,3147
TN,Nashville,277,27674,1245,1987
KY,Hartford,201,96970,3690,11542
KY,Mayfield,67,78105,3531,12323
OH,Dayton,209,25208,1155,3768
OH,Springfield,266,55580,5851,13890
KY,Lexington,243,41165,1629,5635
OH,Cincinnati,227,3806,283,814
KY,London,296,70364,3459,10725
KY,Owensboro,228,50035,1786,2517
KY,Frankfort,39,2646,115,239
KY,Georgetown,89,80407,3525,6870
KY,Morehead,26,99124,10825,40758
KY,Hopkinsville,179,21415,2578,4663
KY,Paducah,119,60844,5070,16660
KY,Mayfield,67,27434,3224,6107
KY,Murray,120,92831,9699,12317
KY,Roanoke,108,35118,2397,9545
KY,Springfield,266,46413,4410,12968
KY,Middlesboro,177,21933,1310,2699
KY,Pikeville,144,19326,1038,4042
KY,Williamson,191,30298,2135,4889
KY,Maysville,9,30238,2630,3256
KY,Grayson,182,97072,10030,31941
KY,Berea,61,47600,1906,4743
KY,Somerset,283,24243,2581,4148
KY,Campbellsville,175,64750,4412,9092
TN,Johnson City,175,18777,1470,1973
KY,Murfreesboro,271,60384,5023,16171
TN,Woodbury,16,30651,954,3569
KY,Lynchburg,235,37417,2909,3821
