f1,f2,f3,f4,f5,f6,f7,f8,f9
49685,227187,0,0,105,0,1,1,1
64756,-507342,2,3,68,3,1,0,0
115435,521290,1,3,81,2,0,1,0
99454,251829,2,1,52,4,1,0,0
157274,-472337,0,1,28,1,1,0,1
235312,807659,2,2,45,0,1,0,0
158461,590203,2,0,74,0,0,1,0
205734,416788,2,0,84,5,0,1,1
238581,812542,2,3,18,2,1,0,0
214597,-193805,2,1,66,5,1,0,0
223819,243373,2,1,34,0,0,0,0
256348,-376906,0,2,47,1,1,0,1
145298,-287587,0,3,62,1,1,0,1
225764,735274,2,4,72,4,1,0,1
251149,-48468,0,1,87,3,0,1,0
215804,196355,1,3,28,4,0,1,1
253274,-633752,2,1,94,3,0,1,1
98778,949616,0,4,60,3,1,0,0
180631,-110700,1,2,68,3,0,0,0
212796,709226,1,2,57,3,1,0,1
8389,571059,0,4,56,0,0,0,0
157232,-508465,1,3,22,5,0,0,1
72199,-466782,2,4,29,1,0,0,0
110230,228644,0,3,69,4,0,1,0
280874,996100,0,0,72,1,0,0,1
58349,-347831,1,3,85,0,0,0,1
115898,-467311,1,3,73,3,0,0,1
181041,-838561,2,0,83,0,0,0,0
244708,734172,0,4,33,1,0,1,1
280202,551223,2,2,85,4,0,1,1
37718,356663,1,1,21,5,1,0,0
156150,-878490,2,3,30,4,0,0,1
132583,-295516,2,3,26,2,0,0,1
227055,477717,0,0,30,1,1,1,1
131676,-116593,1,4,56,3,1,1,1
172086,-977715,2,3,47,1,1,0,0
41451,657332,2,5,68,4,1,0,0
143976,-993611,2,1,43,1,1,0,0
153052,-606726,1,2,75,2,1,0,1
187136,-515862,0,1,52,1,1,0,1
56319,251659,0,2,86,5,1,0,0
257632,904991,2,4,90,5,1,1,1
15617,407762,0,5,46,0,0,0,0
173107,363472,1,3,63,1,0,0,0
194010,-314246,1,2,20,0,1,1,1
269969,-700509,1,0,86,5,0,0,1
125123,-925983,0,5,50,4,0,0,0
230438,955996,0,3,80,5,1,1,0
116646,-975842,2,5,36,5,0,0,0
87072,-371829,2,0,30,0,0,0,1
138204,144986,1,1,63,1,1,1,0
107381,-9981,1,1,31,2,1,1,0
242682,-216274,2,2,84,5,1,1,0
107448,765465,1,1,33,0,0,1,0
279231,260794,0,2,71,5,0,1,0
114371,650161,2,3,82,3,0,1,0
128669,341273,0,0,92,4,1,1,1
107196,-454175,1,0,43,3,1,0,0
47132,-373946,1,4,32,1,0,1,0
191199,-867105,1,3,104,4,0,1,0
183414,-12402,1,2,28,1,0,0,1
296757,219559,1,3,89,1,1,0,0
205956,-346390,1,0,67,4,0,0,1
152501,412431,1,1,47,1,0,1,1
236651,-312698,0,0,27,2,0,1,0
15952,-470555,2,4,61,4,0,1,1
250816,908585,2,0,83,0,1,1,1
86236,-641466,1,2,44,4,0,1,1
137668,719224,2,3,46,3,1,1,1
146555,-448185,0,2,58,5,1,1,1
138961,710524,0,2,62,2,1,0,0
97076,860456,1,1,62,5,1,0,1
64682,597517,0,5,38,4,1,0,0
167510,547111,1,4,65,1,0,1,1
14623,282132,2,5,102,2,0,0,1
156542,679186,0,5,74,5,0,1,1
79669,-416146,1,2,75,0,1,1,0
46758,-753137,1,0,46,2,1,0,0
132075,-320976,1,5,55,2,0,1,1
188541,607731,0,5,44,4,0,1,1
22659,853066,0,5,34,0,0,1,1
129537,-864214,1,3,59,0,0,0,0
213551,549486,0,5,53,4,1,1,1
203810,-795334,0,0,37,3,0,0,0
244097,-535697,2,4,73,4,1,1,0
213667,-876390,0,4,73,2,1,0,1
284532,543020,2,2,21,0,0,0,1
35632,-176036,0,1,23,0,0,1,1
133475,507913,2,5,74,5,1,0,1
175698,235377,2,2,74,0,1,0,1
234370,-574764,2,4,99,1,0,0,0
237567,1989,2,5,42,2,0,0,1
275648,-482168,1,3,89,0,1,1,0
250992,571847,1,3,49,1,0,1,1
43495,921079,1,3,83,2,1,0,1
240170,-514276,1,5,49,4,1,1,1
36662,-395074,0,5,47,1,0,1,1
212602,842876,2,1,78,3,0,1,1
275942,-749539,0,4,69,4,1,0,0
261449,560076,1,2,105,3,1,0,0
158061,-689731,1,5,26,0,0,1,1
119707,881735,1,3,35,4,1,0,1
118451,-322270,2,5,84,0,1,1,0
100622,887618,0,3,63,4,0,1,0
212679,-297039,2,1,21,0,0,1,1
127143,-668508,1,0,28,4,1,0,1
280038,216368,0,2,86,1,1,0,0
175184,43327,1,0,18,1,0,1,0
185442,-631055,2,5,25,1,0,0,0
125494,-504323,2,5,65,5,1,1,1
280231,-840595,0,1,85,5,1,1,1
36210,-426622,1,4,43,2,1,0,1
93548,222370,0,1,97,4,0,1,0
103839,-768981,2,0,56,2,1,0,1
290799,116498,2,0,18,2,0,0,1
286067,-863322,2,4,29,2,1,1,0
150694,-947643,1,0,102,3,1,1,1
292695,182068,1,1,79,0,0,0,1
43081,-384338,0,0,49,2,1,1,0
71423,942803,0,0,30,3,1,0,0
152707,435572,1,0,36,5,0,1,1
