f1,f2,f3
15-24,White_not_Hispanic,2555
25-34,White_not_Hispanic,55300
35-44,White_not_Hispanic,82334
45-54,White_not_Hispanic,38006
55_&_older,White_not_Hispanic,16068
15-24,Black_not_Hispanic,2489
25-34,Black_not_Hispanic,34204
35-44,Black_not_Hispanic,51776
45-54,Black_not_Hispanic,23896
55_&_older,Black_not_Hispanic,10169
15-24,Hispanic,1363
25-34,Hispanic,20712
35-44,Hispanic,27200
45-54,Hispanic,11251
55_&_older,Hispanic,4674
15-24,Asian_&_Pacific_Islander,38
25-34,Asian_&_Pacific_Islander,731
35-44,Asian_&_Pacific_Islander,1162
45-54,Asian_&_Pacific_Islander,560
55_&_older,Asian_&_Pacific_Islander,258
15-24,American_Indian_&_Alaska_Native,26
25-34,American_Indian_&_Alaska_Native,390
35-44,American_Indian_&_Alaska_Native,417
45-54,American_Indian_&_Alaska_Native,140
55_&_older,American_Indian_&_Alaska_Native,48
15-24,White_not_Hispanic,490
25-34,White_not_Hispanic,4788
35-44,White_not_Hispanic,5377
45-54,White_not_Hispanic,2152
55_&_older,White_not_Hispanic,1790
15-24,Black_not_Hispanic,1490
25-34,Black_not_Hispanic,12280
35-44,Black_not_Hispanic,15713
45-54,Black_not_Hispanic,5788
55_&_older,Black_not_Hispanic,2534
15-24,Hispanic,493
25-34,Hispanic,4660
35-44,Hispanic,5153
45-54,Hispanic,1944
55_&_older,Hispanic,910
15-24,Asian_&_Pacific_Islander,6
25-34,Asian_&_Pacific_Islander,83
35-44,Asian_&_Pacific_Islander,106
45-54,Asian_&_Pacific_Islander,69
55_&_older,Asian_&_Pacific_Islander,55
15-24,American_Indian_&_Alaska_Native,3
25-34,American_Indian_&_Alaska_Native,78
35-44,American_Indian_&_Alaska_Native,77
45-54,American_Indian_&_Alaska_Native,31
55_&_older,American_Indian_&_Alaska_Native,14
