Temperature,Pressure
66,50
66,50
66,50
66,50
66,50
66,50
70,50
70,50
70,50
70,50
70,50
70,50
69,50
69,50
69,50
69,50
69,50
69,50
68,50
68,50
68,50
68,50
68,50
68,50
67,50
67,50
67,50
67,50
67,50
67,50
72,50
72,50
72,50
72,50
72,50
72,50
73,100
73,100
73,100
73,100
73,100
73,100
70,100
70,100
70,100
70,100
70,100
70,100
57,200
57,200
57,200
57,200
57,200
57,200
63,200
63,200
63,200
63,200
63,200
63,200
70,200
70,200
70,200
70,200
70,200
70,200
78,200
78,200
78,200
78,200
78,200
78,200
67,200
67,200
67,200
67,200
67,200
67,200
53,200
53,200
53,200
53,200
53,200
53,200
67,200
67,200
67,200
67,200
67,200
67,200
75,200
75,200
75,200
75,200
75,200
75,200
70,200
70,200
70,200
70,200
70,200
70,200
81,200
81,200
81,200
81,200
81,200
81,200
76,200
76,200
76,200
76,200
76,200
76,200
79,200
79,200
79,200
79,200
79,200
79,200
75,200
75,200
75,200
75,200
75,200
75,200
76,200
76,200
76,200
76,200
76,200
76,200
58,200
58,200
58,200
58,200
58,200
58,200
