f1,f2,f3,f4,f5
Very_poorly,19-29,1991,Basic_incomplete,West_Germany
Very_poorly,19-29,1991,Basic,West_Germany
Very_poorly,19-29,1991,Medium,West_Germany
Very_poorly,19-29,1991,Upper_medium,West_Germany
Very_poorly,19-29,1991,Intensive,West_Germany
Very_poorly,19-29,1991,Basic_incomplete,East_Germany
Very_poorly,19-29,1991,Basic,East_Germany
Very_poorly,19-29,1991,Medium,East_Germany
Very_poorly,19-29,1991,Upper_medium,East_Germany
Very_poorly,19-29,1991,Intensive,East_Germany
Poorly,19-29,1991,Basic_incomplete,West_Germany
Poorly,19-29,1991,Basic,West_Germany
Poorly,19-29,1991,Medium,West_Germany
Poorly,19-29,1991,Upper_medium,West_Germany
Poorly,19-29,1991,Intensive,West_Germany
Poorly,19-29,1991,Basic_incomplete,East_Germany
Poorly,19-29,1991,Basic,East_Germany
Poorly,19-29,1991,Medium,East_Germany
Poorly,19-29,1991,Upper_medium,East_Germany
Poorly,19-29,1991,Intensive,East_Germany
Well,19-29,1991,Basic_incomplete,West_Germany
Well,19-29,1991,Basic,West_Germany
Well,19-29,1991,Medium,West_Germany
Well,19-29,1991,Upper_medium,West_Germany
Well,19-29,1991,Intensive,West_Germany
Well,19-29,1991,Basic_incomplete,East_Germany
Well,19-29,1991,Basic,East_Germany
Well,19-29,1991,Medium,East_Germany
Well,19-29,1991,Upper_medium,East_Germany
Well,19-29,1991,Intensive,East_Germany
Very_well,19-29,1991,Basic_incomplete,West_Germany
Very_well,19-29,1991,Basic,West_Germany
Very_well,19-29,1991,Medium,West_Germany
Very_well,19-29,1991,Upper_medium,West_Germany
Very_well,19-29,1991,Intensive,West_Germany
Very_well,19-29,1991,Basic_incomplete,East_Germany
Very_well,19-29,1991,Basic,East_Germany
Very_well,19-29,1991,Medium,East_Germany
Very_well,19-29,1991,Upper_medium,East_Germany
Very_well,19-29,1991,Intensive,East_Germany
Very_poorly,30-44,1991,Basic_incomplete,West_Germany
Very_poorly,30-44,1991,Basic,West_Germany
Very_poorly,30-44,1991,Medium,West_Germany
Very_poorly,30-44,1991,Upper_medium,West_Germany
Very_poorly,30-44,1991,Intensive,West_Germany
Very_poorly,30-44,1991,Basic_incomplete,East_Germany
Very_poorly,30-44,1991,Basic,East_Germany
Very_poorly,30-44,1991,Medium,East_Germany
Very_poorly,30-44,1991,Upper_medium,East_Germany
Very_poorly,30-44,1991,Intensive,East_Germany
Poorly,30-44,1991,Basic_incomplete,West_Germany
Poorly,30-44,1991,Basic,West_Germany
Poorly,30-44,1991,Medium,West_Germany
Poorly,30-44,1991,Upper_medium,West_Germany
Poorly,30-44,1991,Intensive,West_Germany
Poorly,30-44,1991,Basic_incomplete,East_Germany
Poorly,30-44,1991,Basic,East_Germany
Poorly,30-44,1991,Medium,East_Germany
Poorly,30-44,1991,Upper_medium,East_Germany
Poorly,30-44,1991,Intensive,East_Germany
Well,30-44,1991,Basic_incomplete,West_Germany
Well,30-44,1991,Basic,West_Germany
Well,30-44,1991,Medium,West_Germany
Well,30-44,1991,Upper_medium,West_Germany
Well,30-44,1991,Intensive,West_Germany
Well,30-44,1991,Basic_incomplete,East_Germany
Well,30-44,1991,Basic,East_Germany
Well,30-44,1991,Medium,East_Germany
Well,30-44,1991,Upper_medium,East_Germany
Well,30-44,1991,Intensive,East_Germany
Very_well,30-44,1991,Basic_incomplete,West_Germany
Very_well,30-44,1991,Basic,West_Germany
Very_well,30-44,1991,Medium,West_Germany
Very_well,30-44,1991,Upper_medium,West_Germany
Very_well,30-44,1991,Intensive,West_Germany
Very_well,30-44,1991,Basic_incomplete,East_Germany
Very_well,30-44,1991,Basic,East_Germany
Very_well,30-44,1991,Medium,East_Germany
Very_well,30-44,1991,Upper_medium,East_Germany
Very_well,30-44,1991,Intensive,East_Germany
Very_poorly,45-59,1991,Basic_incomplete,West_Germany
Very_poorly,45-59,1991,Basic,West_Germany
Very_poorly,45-59,1991,Medium,West_Germany
Very_poorly,45-59,1991,Upper_medium,West_Germany
Very_poorly,45-59,1991,Intensive,West_Germany
Very_poorly,45-59,1991,Basic_incomplete,East_Germany
Very_poorly,45-59,1991,Basic,East_Germany
Very_poorly,45-59,1991,Medium,East_Germany
Very_poorly,45-59,1991,Upper_medium,East_Germany
Very_poorly,45-59,1991,Intensive,East_Germany
Poorly,45-59,1991,Basic_incomplete,West_Germany
Poorly,45-59,1991,Basic,West_Germany
Poorly,45-59,1991,Medium,West_Germany
Poorly,45-59,1991,Upper_medium,West_Germany
Poorly,45-59,1991,Intensive,West_Germany
Poorly,45-59,1991,Basic_incomplete,East_Germany
Poorly,45-59,1991,Basic,East_Germany
Poorly,45-59,1991,Medium,East_Germany
Poorly,45-59,1991,Upper_medium,East_Germany
Poorly,45-59,1991,Intensive,East_Germany
Well,45-59,1991,Basic_incomplete,West_Germany
Well,45-59,1991,Basic,West_Germany
Well,45-59,1991,Medium,West_Germany
Well,45-59,1991,Upper_medium,West_Germany
Well,45-59,1991,Intensive,West_Germany
Well,45-59,1991,Basic_incomplete,East_Germany
Well,45-59,1991,Basic,East_Germany
Well,45-59,1991,Medium,East_Germany
Well,45-59,1991,Upper_medium,East_Germany
Well,45-59,1991,Intensive,East_Germany
Very_well,45-59,1991,Basic_incomplete,West_Germany
Very_well,45-59,1991,Basic,West_Germany
Very_well,45-59,1991,Medium,West_Germany
Very_well,45-59,1991,Upper_medium,West_Germany
Very_well,45-59,1991,Intensive,West_Germany
Very_well,45-59,1991,Basic_incomplete,East_Germany
Very_well,45-59,1991,Basic,East_Germany
Very_well,45-59,1991,Medium,East_Germany
Very_well,45-59,1991,Upper_medium,East_Germany
Very_well,45-59,1991,Intensive,East_Germany
Very_poorly,60-74,1991,Basic_incomplete,West_Germany
Very_poorly,60-74,1991,Basic,West_Germany
Very_poorly,60-74,1991,Medium,West_Germany
Very_poorly,60-74,1991,Upper_medium,West_Germany
Very_poorly,60-74,1991,Intensive,West_Germany
Very_poorly,60-74,1991,Basic_incomplete,East_Germany
Very_poorly,60-74,1991,Basic,East_Germany
Very_poorly,60-74,1991,Medium,East_Germany
Very_poorly,60-74,1991,Upper_medium,East_Germany
Very_poorly,60-74,1991,Intensive,East_Germany
Poorly,60-74,1991,Basic_incomplete,West_Germany
Poorly,60-74,1991,Basic,West_Germany
Poorly,60-74,1991,Medium,West_Germany
Poorly,60-74,1991,Upper_medium,West_Germany
Poorly,60-74,1991,Intensive,West_Germany
Poorly,60-74,1991,Basic_incomplete,East_Germany
Poorly,60-74,1991,Basic,East_Germany
Poorly,60-74,1991,Medium,East_Germany
Poorly,60-74,1991,Upper_medium,East_Germany
Poorly,60-74,1991,Intensive,East_Germany
Well,60-74,1991,Basic_incomplete,West_Germany
Well,60-74,1991,Basic,West_Germany
Well,60-74,1991,Medium,West_Germany
Well,60-74,1991,Upper_medium,West_Germany
Well,60-74,1991,Intensive,West_Germany
Well,60-74,1991,Basic_incomplete,East_Germany
Well,60-74,1991,Basic,East_Germany
Well,60-74,1991,Medium,East_Germany
Well,60-74,1991,Upper_medium,East_Germany
Well,60-74,1991,Intensive,East_Germany
Very_well,60-74,1991,Basic_incomplete,West_Germany
Very_well,60-74,1991,Basic,West_Germany
Very_well,60-74,1991,Medium,West_Germany
Very_well,60-74,1991,Upper_medium,West_Germany
Very_well,60-74,1991,Intensive,West_Germany
Very_well,60-74,1991,Basic_incomplete,East_Germany
Very_well,60-74,1991,Basic,East_Germany
Very_well,60-74,1991,Medium,East_Germany
Very_well,60-74,1991,Upper_medium,East_Germany
Very_well,60-74,1991,Intensive,East_Germany
Very_poorly,75+,1991,Basic_incomplete,West_Germany
Very_poorly,75+,1991,Basic,West_Germany
Very_poorly,75+,1991,Medium,West_Germany
Very_poorly,75+,1991,Upper_medium,West_Germany
Very_poorly,75+,1991,Intensive,West_Germany
Very_poorly,75+,1991,Basic_incomplete,East_Germany
Very_poorly,75+,1991,Basic,East_Germany
Very_poorly,75+,1991,Medium,East_Germany
Very_poorly,75+,1991,Upper_medium,East_Germany
Very_poorly,75+,1991,Intensive,East_Germany
Poorly,75+,1991,Basic_incomplete,West_Germany
Poorly,75+,1991,Basic,West_Germany
Poorly,75+,1991,Medium,West_Germany
Poorly,75+,1991,Upper_medium,West_Germany
Poorly,75+,1991,Intensive,West_Germany
Poorly,75+,1991,Basic_incomplete,East_Germany
Poorly,75+,1991,Basic,East_Germany
Poorly,75+,1991,Medium,East_Germany
Poorly,75+,1991,Upper_medium,East_Germany
Poorly,75+,1991,Intensive,East_Germany
Well,75+,1991,Basic_incomplete,West_Germany
Well,75+,1991,Basic,West_Germany
Well,75+,1991,Medium,West_Germany
Well,75+,1991,Upper_medium,West_Germany
Well,75+,1991,Intensive,West_Germany
Well,75+,1991,Basic_incomplete,East_Germany
Well,75+,1991,Basic,East_Germany
Well,75+,1991,Medium,East_Germany
Well,75+,1991,Upper_medium,East_Germany
Well,75+,1991,Intensive,East_Germany
Very_well,75+,1991,Basic_incomplete,West_Germany
Very_well,75+,1991,Basic,West_Germany
Very_well,75+,1991,Medium,West_Germany
Very_well,75+,1991,Upper_medium,West_Germany
Very_well,75+,1991,Intensive,West_Germany
Very_well,75+,1991,Basic_incomplete,East_Germany
Very_well,75+,1991,Basic,East_Germany
Very_well,75+,1991,Medium,East_Germany
Very_well,75+,1991,Upper_medium,East_Germany
Very_well,75+,1991,Intensive,East_Germany
Very_poorly,19-29,1992,Basic_incomplete,West_Germany
Very_poorly,19-29,1992,Basic,West_Germany
Very_poorly,19-29,1992,Medium,West_Germany
Very_poorly,19-29,1992,Upper_medium,West_Germany
Very_poorly,19-29,1992,Intensive,West_Germany
Very_poorly,19-29,1992,Basic_incomplete,East_Germany
Very_poorly,19-29,1992,Basic,East_Germany
Very_poorly,19-29,1992,Medium,East_Germany
Very_poorly,19-29,1992,Upper_medium,East_Germany
Very_poorly,19-29,1992,Intensive,East_Germany
Poorly,19-29,1992,Basic_incomplete,West_Germany
Poorly,19-29,1992,Basic,West_Germany
Poorly,19-29,1992,Medium,West_Germany
Poorly,19-29,1992,Upper_medium,West_Germany
Poorly,19-29,1992,Intensive,West_Germany
Poorly,19-29,1992,Basic_incomplete,East_Germany
Poorly,19-29,1992,Basic,East_Germany
Poorly,19-29,1992,Medium,East_Germany
Poorly,19-29,1992,Upper_medium,East_Germany
Poorly,19-29,1992,Intensive,East_Germany
Well,19-29,1992,Basic_incomplete,West_Germany
Well,19-29,1992,Basic,West_Germany
Well,19-29,1992,Medium,West_Germany
Well,19-29,1992,Upper_medium,West_Germany
Well,19-29,1992,Intensive,West_Germany
Well,19-29,1992,Basic_incomplete,East_Germany
Well,19-29,1992,Basic,East_Germany
Well,19-29,1992,Medium,East_Germany
Well,19-29,1992,Upper_medium,East_Germany
Well,19-29,1992,Intensive,East_Germany
Very_well,19-29,1992,Basic_incomplete,West_Germany
Very_well,19-29,1992,Basic,West_Germany
Very_well,19-29,1992,Medium,West_Germany
Very_well,19-29,1992,Upper_medium,West_Germany
Very_well,19-29,1992,Intensive,West_Germany
Very_well,19-29,1992,Basic_incomplete,East_Germany
Very_well,19-29,1992,Basic,East_Germany
Very_well,19-29,1992,Medium,East_Germany
Very_well,19-29,1992,Upper_medium,East_Germany
Very_well,19-29,1992,Intensive,East_Germany
Very_poorly,30-44,1992,Basic_incomplete,West_Germany
Very_poorly,30-44,1992,Basic,West_Germany
Very_poorly,30-44,1992,Medium,West_Germany
Very_poorly,30-44,1992,Upper_medium,West_Germany
Very_poorly,30-44,1992,Intensive,West_Germany
Very_poorly,30-44,1992,Basic_incomplete,East_Germany
Very_poorly,30-44,1992,Basic,East_Germany
Very_poorly,30-44,1992,Medium,East_Germany
Very_poorly,30-44,1992,Upper_medium,East_Germany
Very_poorly,30-44,1992,Intensive,East_Germany
Poorly,30-44,1992,Basic_incomplete,West_Germany
Poorly,30-44,1992,Basic,West_Germany
Poorly,30-44,1992,Medium,West_Germany
Poorly,30-44,1992,Upper_medium,West_Germany
Poorly,30-44,1992,Intensive,West_Germany
Poorly,30-44,1992,Basic_incomplete,East_Germany
Poorly,30-44,1992,Basic,East_Germany
Poorly,30-44,1992,Medium,East_Germany
Poorly,30-44,1992,Upper_medium,East_Germany
Poorly,30-44,1992,Intensive,East_Germany
Well,30-44,1992,Basic_incomplete,West_Germany
Well,30-44,1992,Basic,West_Germany
Well,30-44,1992,Medium,West_Germany
Well,30-44,1992,Upper_medium,West_Germany
Well,30-44,1992,Intensive,West_Germany
Well,30-44,1992,Basic_incomplete,East_Germany
Well,30-44,1992,Basic,East_Germany
Well,30-44,1992,Medium,East_Germany
Well,30-44,1992,Upper_medium,East_Germany
Well,30-44,1992,Intensive,East_Germany
Very_well,30-44,1992,Basic_incomplete,West_Germany
Very_well,30-44,1992,Basic,West_Germany
Very_well,30-44,1992,Medium,West_Germany
Very_well,30-44,1992,Upper_medium,West_Germany
Very_well,30-44,1992,Intensive,West_Germany
Very_well,30-44,1992,Basic_incomplete,East_Germany
Very_well,30-44,1992,Basic,East_Germany
Very_well,30-44,1992,Medium,East_Germany
Very_well,30-44,1992,Upper_medium,East_Germany
Very_well,30-44,1992,Intensive,East_Germany
Very_poorly,45-59,1992,Basic_incomplete,West_Germany
Very_poorly,45-59,1992,Basic,West_Germany
Very_poorly,45-59,1992,Medium,West_Germany
Very_poorly,45-59,1992,Upper_medium,West_Germany
Very_poorly,45-59,1992,Intensive,West_Germany
Very_poorly,45-59,1992,Basic_incomplete,East_Germany
Very_poorly,45-59,1992,Basic,East_Germany
Very_poorly,45-59,1992,Medium,East_Germany
Very_poorly,45-59,1992,Upper_medium,East_Germany
Very_poorly,45-59,1992,Intensive,East_Germany
Poorly,45-59,1992,Basic_incomplete,West_Germany
Poorly,45-59,1992,Basic,West_Germany
Poorly,45-59,1992,Medium,West_Germany
Poorly,45-59,1992,Upper_medium,West_Germany
Poorly,45-59,1992,Intensive,West_Germany
Poorly,45-59,1992,Basic_incomplete,East_Germany
Poorly,45-59,1992,Basic,East_Germany
Poorly,45-59,1992,Medium,East_Germany
Poorly,45-59,1992,Upper_medium,East_Germany
Poorly,45-59,1992,Intensive,East_Germany
Well,45-59,1992,Basic_incomplete,West_Germany
Well,45-59,1992,Basic,West_Germany
Well,45-59,1992,Medium,West_Germany
Well,45-59,1992,Upper_medium,West_Germany
Well,45-59,1992,Intensive,West_Germany
Well,45-59,1992,Basic_incomplete,East_Germany
Well,45-59,1992,Basic,East_Germany
Well,45-59,1992,Medium,East_Germany
Well,45-59,1992,Upper_medium,East_Germany
Well,45-59,1992,Intensive,East_Germany
Very_well,45-59,1992,Basic_incomplete,West_Germany
Very_well,45-59,1992,Basic,West_Germany
Very_well,45-59,1992,Medium,West_Germany
Very_well,45-59,1992,Upper_medium,West_Germany
Very_well,45-59,1992,Intensive,West_Germany
Very_well,45-59,1992,Basic_incomplete,East_Germany
Very_well,45-59,1992,Basic,East_Germany
Very_well,45-59,1992,Medium,East_Germany
Very_well,45-59,1992,Upper_medium,East_Germany
Very_well,45-59,1992,Intensive,East_Germany
Very_poorly,60-74,1992,Basic_incomplete,West_Germany
Very_poorly,60-74,1992,Basic,West_Germany
Very_poorly,60-74,1992,Medium,West_Germany
Very_poorly,60-74,1992,Upper_medium,West_Germany
Very_poorly,60-74,1992,Intensive,West_Germany
Very_poorly,60-74,1992,Basic_incomplete,East_Germany
Very_poorly,60-74,1992,Basic,East_Germany
Very_poorly,60-74,1992,Medium,East_Germany
Very_poorly,60-74,1992,Upper_medium,East_Germany
Very_poorly,60-74,1992,Intensive,East_Germany
Poorly,60-74,1992,Basic_incomplete,West_Germany
Poorly,60-74,1992,Basic,West_Germany
Poorly,60-74,1992,Medium,West_Germany
Poorly,60-74,1992,Upper_medium,West_Germany
Poorly,60-74,1992,Intensive,West_Germany
Poorly,60-74,1992,Basic_incomplete,East_Germany
Poorly,60-74,1992,Basic,East_Germany
Poorly,60-74,1992,Medium,East_Germany
Poorly,60-74,1992,Upper_medium,East_Germany
Poorly,60-74,1992,Intensive,East_Germany
Well,60-74,1992,Basic_incomplete,West_Germany
Well,60-74,1992,Basic,West_Germany
Well,60-74,1992,Medium,West_Germany
Well,60-74,1992,Upper_medium,West_Germany
Well,60-74,1992,Intensive,West_Germany
Well,60-74,1992,Basic_incomplete,East_Germany
Well,60-74,1992,Basic,East_Germany
Well,60-74,1992,Medium,East_Germany
Well,60-74,1992,Upper_medium,East_Germany
Well,60-74,1992,Intensive,East_Germany
Very_well,60-74,1992,Basic_incomplete,West_Germany
Very_well,60-74,1992,Basic,West_Germany
Very_well,60-74,1992,Medium,West_Germany
Very_well,60-74,1992,Upper_medium,West_Germany
Very_well,60-74,1992,Intensive,West_Germany
Very_well,60-74,1992,Basic_incomplete,East_Germany
Very_well,60-74,1992,Basic,East_Germany
Very_well,60-74,1992,Medium,East_Germany
Very_well,60-74,1992,Upper_medium,East_Germany
Very_well,60-74,1992,Intensive,East_Germany
Very_poorly,75+,1992,Basic_incomplete,West_Germany
Very_poorly,75+,1992,Basic,West_Germany
Very_poorly,75+,1992,Medium,West_Germany
Very_poorly,75+,1992,Upper_medium,West_Germany
Very_poorly,75+,1992,Intensive,West_Germany
Very_poorly,75+,1992,Basic_incomplete,East_Germany
Very_poorly,75+,1992,Basic,East_Germany
Very_poorly,75+,1992,Medium,East_Germany
Very_poorly,75+,1992,Upper_medium,East_Germany
Very_poorly,75+,1992,Intensive,East_Germany
Poorly,75+,1992,Basic_incomplete,West_Germany
Poorly,75+,1992,Basic,West_Germany
Poorly,75+,1992,Medium,West_Germany
Poorly,75+,1992,Upper_medium,West_Germany
Poorly,75+,1992,Intensive,West_Germany
Poorly,75+,1992,Basic_incomplete,East_Germany
Poorly,75+,1992,Basic,East_Germany
Poorly,75+,1992,Medium,East_Germany
Poorly,75+,1992,Upper_medium,East_Germany
Poorly,75+,1992,Intensive,East_Germany
Well,75+,1992,Basic_incomplete,West_Germany
Well,75+,1992,Basic,West_Germany
Well,75+,1992,Medium,West_Germany
Well,75+,1992,Upper_medium,West_Germany
Well,75+,1992,Intensive,West_Germany
Well,75+,1992,Basic_incomplete,East_Germany
Well,75+,1992,Basic,East_Germany
Well,75+,1992,Medium,East_Germany
Well,75+,1992,Upper_medium,East_Germany
Well,75+,1992,Intensive,East_Germany
Very_well,75+,1992,Basic_incomplete,West_Germany
Very_well,75+,1992,Basic,West_Germany
Very_well,75+,1992,Medium,West_Germany
Very_well,75+,1992,Upper_medium,West_Germany
Very_well,75+,1992,Intensive,West_Germany
Very_well,75+,1992,Basic_incomplete,East_Germany
Very_well,75+,1992,Basic,East_Germany
Very_well,75+,1992,Medium,East_Germany
Very_well,75+,1992,Upper_medium,East_Germany
Very_well,75+,1992,Intensive,East_Germany
