f1,f2,f3
Winter,January,8
Winter,February,8.2
Spring,March,8
Spring,April,8.75
Spring,May,7.25
Summer,June,7.25
Summer,July,7.75
Summer,August,7.5
Autumn,September,7.25
Autumn,October,7.25
Autumn,November,8
Winter,December,8.5
Winter,January,10.25
Winter,February,11.25
Spring,March,11
Spring,April,12.5
Spring,May,14
Summer,June,14
Summer,July,14.25
Summer,August,12.75
Autumn,September,12
Autumn,October,12.25
Autumn,November,12.5
Winter,December,12.25
Winter,January,14
Winter,February,14.25
Spring,March,13.25
Spring,April,12.25
Spring,May,11.5
Summer,June,11
Summer,July,12
Summer,August,11
Autumn,September,10.75
Autumn,October,11.75
Autumn,November,12
Winter,December,14.5
Winter,January,16
Winter,February,16.25
Spring,March,17
Spring,April,15.5
Spring,May,14.25
Summer,June,14.25
Summer,July,14.75
Summer,August,14.5
Autumn,September,14.5
Autumn,October,15
Autumn,November,16.5
Winter,December,17.25
Winter,January,17
Winter,February,16.5
Spring,March,17
Spring,April,15.5
Spring,May,14.75
Summer,June,14.5
Summer,July,13.25
Summer,August,13.5
Autumn,September,12.5
Autumn,October,12.75
Autumn,November,11.75
Winter,December,12
Winter,January,13
Winter,February,12.75
Spring,March,12.5
Spring,April,11.25
Spring,May,11.25
Summer,June,11.25
Summer,July,11.25
Summer,August,10.5
Autumn,September,10
Autumn,October,10.25
Autumn,November,11
Winter,December,10.75
Winter,January,12.5
Winter,February,10.5
Spring,March,10.75
Spring,April,10.5
Spring,May,10
Summer,June,10.5
Summer,July,11
Summer,August,10
Autumn,September,10
Autumn,October,9.75
Autumn,November,9
Winter,December,7.75
Winter,January,9.5
Winter,February,9.5
Spring,March,10
Spring,April,9.25
Spring,May,9.5
Summer,June,9.5
Summer,July,9.25
Summer,August,8
Autumn,September,8.5
Autumn,October,8.25
Autumn,November,8.25
Winter,December,7.75
Winter,January,8
Winter,February,9
Spring,March,8.5
Spring,April,8.75
Spring,May,8.25
Summer,June,9
Summer,July,8.75
Summer,August,8.5
Autumn,September,7.5
Autumn,October,7
Autumn,November,7.5
Winter,December,8.5
