f1,f2,f3,f4,f5,f6,f7
,Pro,Mixed,Pro,,Pro,
Pro,Con,Con,Con,,Pro,Mixed
,Pro,Con,Con,,,
Pro,Mixed,Mixed,Pro,Pro,,Pro
Pro,,,,,,Pro
Pro,Pro,,,,,Pro
Pro,Pro,,Pro,,,
,,,Pro,,,
Mixed,Con,,Con,,,
,Pro,Mixed,Mixed,,,Mixed
Mixed,,Con,,,,Pro
Pro,Pro,Con,Con,Mixed,Pro,Mixed
Con,,,,,Con,Con
Pro,Pro,Mixed,Pro,,Con,Con
Mixed,Con,Pro,,,,
Mixed,,,,,Pro,
,Mixed,,Pro,,,
Pro,Mixed,Pro,Pro,,,
Pro,,,,,,Mixed
,Pro,,,,,
Con,Con,Pro,,,Mixed,Con
,Mixed,,,,,
Con,,,,,,Con
Pro,Pro,Pro,,,Mixed,Con
,Con,,,,,
,Pro,,Con,,Pro,
Pro,Mixed,Pro,Con,,,
,Mixed,,Pro,,,
,,,,,Con,
Mixed,Con,Con,Pro,,,
Mixed,Mixed,,Con,Con,Con,Con
,,Pro,Pro,,Pro,
,Con,,,,Con,
,Pro,Con,Con,,Pro,
Mixed,Mixed,,Con,,Pro,
Pro,Mixed,,Con,,Con,Mixed
,Con,,,,,
,,,,Pro,,
,Con,,,,,
,Con,,Con,,,
,,,,,,
,,,Pro,,Pro,
,Mixed,,Con,,,
Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed
,Con,,Con,,Pro,
Con,,,Pro,,,Mixed
Pro,,,,,,
,,Con,Con,,,
,,Con,,,,
,Con,,Pro,Pro,Con,
Pro,Mixed,Con,Con,Pro,Pro,
,Pro,,Pro,,,
,Pro,,,,,
Mixed,,Con,,,,Mixed
Mixed,Con,Con,,,,Mixed
,Pro,Con,,,,
Mixed,Mixed,Con,Mixed,Pro,,Mixed
Con,Con,,,,Con,Mixed
Pro,Pro,,,,,
Pro,,Pro,Con,,Pro,Pro
Pro,Pro,,Pro,Pro,Pro,Pro
Pro,Pro,,Pro,,Pro,Con
,Pro,Mixed,Pro,Pro,Pro,
,Con,,Con,,Con,Mixed
,,Pro,Pro,,,
Pro,Con,Mixed,Con,,Con,Con
,Con,,Con,,,
Mixed,Pro,Pro,,Con,Con,Mixed
Mixed,,Mixed,,,Mixed,Mixed
Con,,,,,,
Pro,Pro,,Pro,,Pro,Pro
Mixed,Mixed,,Con,,Con,Con
Con,,Con,Mixed,,,Con
Pro,,Pro,Pro,,Pro,Pro
Mixed,Con,,,,Con,Pro
Con,Pro,,,Mixed,Pro,Pro
Pro,Pro,,Pro,Pro,Pro,Pro
Pro,,,,,,Con
Con,Mixed,Con,,,Pro,Con
Pro,Pro,Mixed,Mixed,Pro,Con,
,,Con,,,,
,Pro,Pro,Con,,,
,Con,Con,,,,
Con,,,,,,Pro
,Mixed,,,,,
Pro,Pro,Pro,,,Pro,Pro
Pro,Con,,Con,Pro,Pro,Pro
Pro,Pro,Con,,,Con,Mixed
Pro,,Pro,Con,,Pro,Mixed
,Pro,Mixed,Pro,Con,Pro,
Pro,,Mixed,,,Mixed,Pro
,Pro,,Mixed,,Con,
Con,Pro,Mixed,Mixed,,,
Con,,,,,,Con
