f1,f2,f3,f4,f5
high,left,impression,yes,yes
high,left,political,yes,yes
medium,middle,tourism,yes,yes
high,left,political,yes,yes
medium,middle,news,yes,yes
medium,middle,news,yes,yes
high,left,political,yes,yes
high,right,political,yes,no
high,right,political,yes,no
medium,right,tourism,yes,no
high,right,tourism,yes,yes
medium,left,news,yes,no
high,left,political,yes,yes
low,right,news,no,yes
high,left,political,yes,yes
medium,left,impression,yes,yes
medium,left,political,yes,yes
high,right,political,yes,yes
medium,left,impression,yes,yes
high,right,tourism,yes,yes
high,left,political,yes,yes
medium,left,news,yes,yes
high,right,political,no,yes
low,left,tourism,yes,no
high,left,news,yes,yes
high,left,political,yes,yes
low,right,impression,no,no
high,right,political,yes,yes
high,left,impression,no,no
medium,left,scientific,yes,yes
high,right,political,yes,yes
low,left,scientific,yes,yes
medium,right,tourism,yes,yes
low,right,political,yes,yes
high,left,impression,yes,no
medium,left,tourism,yes,no
medium,middle,scientific,yes,no
medium,middle,impression,no,yes
medium,right,scientific,yes,yes
medium,left,impression,no,no
high,left,political,yes,yes
medium,left,news,no,yes
high,left,political,yes,yes
medium,right,news,yes,yes
medium,left,tourism,yes,no
medium,middle,news,yes,yes
low,middle,impression,yes,no
low,right,impression,yes,no
medium,right,news,yes,yes
medium,left,impression,yes,yes
high,left,political,yes,yes
high,left,political,yes,yes
medium,middle,tourism,yes,yes
high,left,political,yes,yes
medium,middle,news,yes,yes
medium,middle,news,yes,yes
high,left,political,yes,yes
high,right,political,yes,no
high,right,political,yes,no
medium,right,tourism,yes,no
medium,right,tourism,yes,yes
medium,left,news,yes,no
high,left,impression,yes,yes
low,right,news,no,yes
high,left,political,yes,yes
medium,left,impression,yes,yes
medium,left,political,yes,yes
high,right,political,yes,yes
medium,left,political,yes,yes
high,right,impression,yes,yes
medium,left,political,yes,yes
medium,left,news,yes,yes
medium,right,political,no,yes
low,left,tourism,yes,no
high,left,news,yes,yes
high,left,political,yes,yes
low,right,impression,no,no
high,right,political,yes,yes
high,left,impression,no,no
medium,left,scientific,yes,yes
high,right,political,yes,yes
low,left,scientific,yes,yes
medium,right,tourism,yes,yes
low,right,political,yes,yes
high,left,impression,yes,no
medium,left,tourism,yes,no
medium,middle,impression,yes,no
medium,middle,impression,no,yes
medium,right,scientific,yes,yes
medium,left,impression,no,no
high,left,political,yes,yes
medium,left,news,no,yes
high,left,political,yes,yes
medium,right,news,yes,yes
medium,left,tourism,yes,no
medium,middle,impression,yes,yes
low,middle,impression,yes,no
low,right,impression,yes,no
medium,right,news,yes,yes
medium,left,impression,yes,yes
