f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17
23.44851685,2538.985627,50.38834813,0.65117411,1.984202307,5.421041516,181.4677127,0.781556905,0.610831195,0.847033258,2.765411437,0.968576115,7.46E-155,97.97462979,0.77701107,0.171163194,0.303988705
4.398330688,834.85303,28.89382339,0.953531651,6.49520262,43.3493551,76.74588563,0.972769521,0.946280542,0.980761605,0.5486053,0.959750531,7.46E-155,110.3465974,0.977952787,0.009913194,0.839018889
3.244262695,642.0591665,25.33888645,0.966064536,7.772860172,61.75603423,81.75240586,0.980160923,0.960715435,0.985065941,0.540411437,0.94425866,7.46E-155,112.2662978,0.985362024,0.006371528,0.849774867
8.511352539,1126.214187,33.55911481,0.868765065,3.763142356,15.10757947,362.2912134,0.921786235,0.849689863,0.94929533,2.765725244,0.859027141,7.46E-155,101.9557923,0.88101519,0.0684375,0
21.00079346,2235.316978,47.27913893,0.684724403,1.9360289,4.722342625,312.4392259,0.804183619,0.646711293,0.880300758,3.006659693,0.9385719,7.46E-155,97.63987019,0.766308437,0.184878472,0
0,0,0,1,,,0,1,1,1,0,1,7.46E-155,inf,,0,
11.35055542,998.972243,31.60652216,0.761106456,2.533919553,7.394586497,303.9479777,0.854276811,0.729788869,0.902355423,3.440550907,0.866479537,7.46E-155,99.20657882,0.794880685,0.128888889,0
0.405136108,68.37871786,8.269142511,0.994723584,20.38802458,416.8434331,17.78915621,0.996931718,0.99387285,0.997884642,0.114400279,0.886143988,7.46E-155,111.371193,0.985175364,0.007829861,0.410457516
5.955871582,937.43865,30.61761993,0.926931074,5.015434159,26.15043962,57.22681311,0.956960613,0.915773614,0.974156642,0.507705718,0.973263259,7.46E-155,111.4391288,0.981891393,0.007708333,0.914483821
6.184020996,895.1968273,29.91984003,0.917259143,4.707172396,23.16817352,73.71412134,0.951172286,0.904728717,0.969454218,0.686157601,0.963931389,7.46E-155,113.0699601,0.983962773,0.005295139,0.945252199
0.2605896,52.2848929,7.230829337,0.997060786,27.72276284,769.4895509,18.01628312,0.998291541,0.996586002,0.9989867,0.091771269,0.849200366,7.46E-155,67.17983689,0.982749264,0.012447917,0.191657272
0.121688843,25.52394125,5.05212245,0.998500004,41.50157745,1723.389506,18.22764993,0.999128337,0.998257433,0.999360806,0.087970711,0.687472986,7.46E-155,63.96255008,0.967416158,0.026111111,0.048101266
4.741714478,750.203966,27.38985152,0.940119738,5.781048429,35.14202502,51.38403068,0.964820156,0.930877934,0.976638412,0.478661088,0.970006494,7.46E-155,70.66997812,0.986005202,0.005572917,0.922780852
2.319976807,395.2696261,19.88138894,0.972146085,8.538835251,74.27071273,38.26509763,0.98373478,0.967734117,0.988451168,0.306345886,0.95762249,7.46E-155,64.89642043,0.967752962,0.021059028,0.593362387
2.86869812,365.2939514,19.11266469,0.952677632,6.707265033,47.02434946,49.72266388,0.972264329,0.945297926,0.981362489,0.535216179,0.940403468,7.46E-155,71.4213908,0.98457431,0.0046875,0.905462185
17.81138611,1219.680747,34.923928,0.610208684,1.690157777,4.152791468,107.2967922,0.753241786,0.567373188,0.836566142,2.359170153,0.961285915,7.46E-155,96.57852748,0.719919986,0.236059028,0
0.110107422,18.71068194,4.325584578,0.998290013,39.79174484,1605.093101,12.76182008,0.999006284,0.998013556,0.999115846,0.083612273,0.701511054,7.46E-155,114.4887316,0.990588674,0.003819444,0.105691057
0.698532104,109.411599,10.45999995,0.989786478,14.93302965,224.0159672,41.59382845,0.994055295,0.98814593,0.995984424,0.277963738,0.833618021,7.46E-155,108.8067144,0.977490178,0.014131944,0.416905444
3.564498901,493.2978104,22.21030865,0.947464532,6.181636943,39.52830202,51.73329847,0.96917851,0.939306984,0.978668602,0.547873082,0.954080184,7.46E-155,113.5832655,0.985112985,0.004704861,0.913611731
4.289382935,544.5317372,23.33520382,0.930546914,5.461464067,31.59667517,59.31143654,0.959120295,0.91991174,0.973069244,0.67876569,0.952298805,7.46E-155,108.6857039,0.967969252,0.01453125,0.76948499
0.981750488,133.7994566,11.5671715,0.984380418,11.81026946,141.4419039,26.88940028,0.990899758,0.98188233,0.993006066,0.244944212,0.912038409,7.46E-155,63.73199661,0.960088168,0.027534722,0.372626582
1.201416016,164.6528394,12.83171226,0.981786038,10.68546479,115.8584665,18.55244073,0.989383098,0.978878915,0.992519255,0.182217573,0.950681178,7.46E-155,63.73199661,0.95996028,0.027534722,0.419472914
1.185302734,143.0500803,11.96035452,0.978807612,10.1387578,104.9809951,26.67608089,0.987639994,0.975432759,0.991298821,0.271757322,0.918374733,7.46E-155,66.21679809,0.973050201,0.015538194,0.589637781
0,0,0,1,,,0,1,1,1,0,1,7.46E-155,70.93495901,,0.005243056,0
11.62387085,599.6096916,24.48692899,0.657436201,1.774659297,4.142207444,53.43769177,0.785695083,0.617316764,0.892227385,1.185146444,0.960809394,7.46E-155,54.98649848,0.758533527,0.206267361,0
0,0,0,1,,,0,1,1,1,0,1,7.46E-155,66.92689252,,0.013194444,0
0.016174316,2.857189622,1.690322343,0.999759939,104.5000623,10921.21943,2.172454672,0.999860532,0.999721082,0.999912833,0.012343096,0.667254854,7.46E-155,62.97961156,0.960711067,0.032743056,0.006322445
14.29067993,1153.06257,33.95677502,0.682492491,2.330075475,7.311802057,222.7285216,0.802669056,0.644277613,0.868562869,3.30027894,0.91514551,7.46E-155,56.82076901,0.78620143,0.135208333,0.393741242
4.206100464,574.2216674,23.96292276,0.936924237,5.727012279,34.71228879,61.70146444,0.962920003,0.927214931,0.97383731,0.653103208,0.952945394,7.46E-155,68.71072308,0.978966356,0.00875,0.888099467
0.242614746,45.86238552,6.77217731,0.997090787,27.88910457,778.7635977,15.95400976,0.998308983,0.996620826,0.998979996,0.086645746,0.84776154,7.46E-155,64.65953715,0.971238499,0.022239583,0.115942029
0.448043823,47.11132798,6.863769226,0.990264875,15.33740172,237.2988596,17.53193863,0.994334235,0.988700572,0.9962115,0.175801953,0.837129099,7.46E-155,71.27898641,0.990606849,0.00484375,0
0,0,0,1,,,0,1,1,1,0,1,7.46E-155,inf,,0,
0,0,0,1,,,0,1,1,1,0,1,7.46E-155,80.17200344,,0.000625,0
0.055465698,7.467025261,2.73258582,0.998949886,49.27141014,2429.553486,4.87974198,0.999389825,0.998780022,0.999479821,0.037866109,0.714009049,7.46E-155,68.78897645,0.985797769,0.00859375,0.098360656
14.96392822,1166.524176,34.15441663,0.684366283,1.991760339,5.009361791,219.6262552,0.80391767,0.64628362,0.88372214,2.815899582,0.917266549,7.46E-155,56.0255191,0.766092488,0.162378472,0.197511798
3.374511719,439.113558,20.95503658,0.94449457,6.341129355,42.73154245,65.16154114,0.967417686,0.93589698,0.977074482,0.714609484,0.935023652,7.46E-155,65.06804294,0.96330718,0.020243056,0.741463415
4.106918335,543.8666545,23.32094883,0.936279469,5.72877589,34.76260241,56.08298466,0.962536381,0.926476284,0.975015105,0.631136681,0.954842818,7.46E-155,65.61932401,0.969655596,0.017829861,0.780976754
2.068145752,317.2043699,17.81023217,0.972503096,8.559938268,74.48085182,35.35575314,0.983944187,0.968146163,0.989906183,0.278591353,0.951208323,7.46E-155,63.92803643,0.964108419,0.026319444,0.535539216
