f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32
14,31,9,7,12,7,15,17,8,5,5,5,45,69,6,6,6,6,50,89,3,13,2,20,1,1,2,2,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
19,1,9,7,12,7,14,16,8,5,4,4,28,47,4,5,4,5,47,87,3,13,2,20,0,1,0,0,7,7,13,0
10,31,9,7,12,7,15,17,8,5,5,5,45,69,6,6,3,6,46,86,3,13,2,18,1,1,0,0,6,7,12,0
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
19,1,9,7,12,7,13,15,8,5,3,3,32,49,4,5,4,5,47,85,3,13,2,20,0,1,2,0,8,8,14,2
19,1,9,7,12,7,12,14,8,5,2,4,2,23,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
0,11,9,7,12,7,15,13,8,5,5,2,45,11,4,4,2,4,47,83,3,13,2,20,0,1,0,0,4,6,13,0
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,49,88,2,12,2,20,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
10,10,9,7,12,7,15,13,8,5,5,1,45,68,3,4,3,3,48,82,3,13,2,18,0,1,2,0,8,8,14,2
23,31,8,7,11,7,15,17,7,5,5,5,45,69,5,6,5,6,45,88,2,11,2,17,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,16,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,15,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,15,1,1,1,1,8,8,14,1
23,31,7,7,10,7,15,17,6,5,5,5,45,69,5,6,5,6,48,88,1,13,1,19,1,1,1,1,8,8,14,1
