f1,f2,f3,f4,f5,f6,f7
16.754,21.743,16.014,19.5413,17.573,20.011,19.3907
17.419,15.225,12.5705,25.0069,20.4635,18.7705,19.4249
42.063,15.757,30.8815,16.1605,20.8111,19.0999,19.5469
15.907,24.8285,16.0473,15.488,23.9404,19.7499,18.7775
35.787,20.153,21.5765,21.0381,20.6379,20.7242,18.602
23.58,31.173,19.2852,18.3446,17.454,18.3696,18.9293
15.729,20.971,24.7207,26.6096,19.757,18.3411,18.7784
18.909,22.181,18.643,20.0476,19.9982,19.214,19.5977
35.622,21.5195,21.8673,21.2938,17.9566,17.4547,18.9879
6.526,29.19,37.4768,14.1133,19.0004,19.7492,22.5516
17.687,16.0915,20.4135,20.6467,18.3155,18.4886,17.3822
13.158,10.3945,24.3233,15.557,21.4618,19.37,20.7998
35.241,14.259,21.3633,15.9451,18.9596,18.6013,21.0429
15.818,27.222,13.6075,28.7728,18.682,18.9556,20.5817
11.389,12.8355,19.1748,25.4202,19.0712,19.3176,18.5756
32.416,20.5105,27.9797,14.6992,18.5087,19.8777,19.8943
0.292,19.4395,26.268,20.4975,15.0215,17.2984,21.2463
26.134,10.841,26.4005,17.4191,16.1092,20.6774,20.3109
43.311,14.8325,17.851,18.3828,17.246,21.6838,20.2233
33.291,11.8165,17.7338,21.3487,18.887,23.4194,19.6817
21.35,12.6065,16.3075,14.2534,23.0448,17.9106,18.3475
7.242,15.0065,13.0222,20.2094,21.707,16.8538,19.803
33.061,27.913,17.3345,24.5799,19.9944,19.5674,17.5515
31.625,25.675,18.11,22.2267,21.8784,22.0322,22.1788
19.756,23.9895,16.43,23.9076,18.2355,20.886,20.5399
22.866,11.991,13.2127,23.7069,19.459,21.1999,20.4272
25.123,36.41,16.1455,17.2599,22.1336,17.2189,19.4054
14.088,12.194,23.1857,18.9984,18.3994,23.9445,22.6126
14.922,14.5075,23.002,19.6272,20.23,19.2415,19.6981
7.832,16.6205,14.992,22.1491,26.6752,17.9097,19.9978
22.912,22.4755,14.8715,25.991,19.6734,20.8683,18.6223
11.609,20.084,16.2355,15.17,23.7763,18.9203,19.1959
7.838,43.4455,16.1263,18.2225,19.0726,19.102,20.697
15.618,15.58,15.084,17.6923,20.7874,23.3906,19.4617
22.256,31.463,14.6887,20.8591,19.5813,19.9844,19.1836
6.585,22.261,15.4455,18.7351,22.7601,20.6375,18.8054
37.555,19.0225,25.9125,16.1817,24.4695,20.8331,16.816
28.875,15.294,18.8263,22.1886,19.4647,19.6136,21.6562
27.23,19.574,20.6138,17.2592,17.2028,20.7605,19.5569
13.902,24.0865,20.921,23.8132,17.4853,18.6029,22.5887
33.985,25.8295,16.3573,18.3237,16.7614,17.9593,20.5504
18.179,11.256,14.6672,16.2833,20.7854,18.7357,19.6556
10.408,27.931,26.379,24.72,21.3973,20.3515,19.5161
17.677,15.575,27.668,24.1323,19.1203,19.2544,19.4777
31.944,25.8775,26.5475,20.9931,20.7518,17.9882,21.3943
14.329,6.8405,21.471,16.8414,18.5934,17.1147,19.7701
11.657,9.231,27.4703,23.5138,20.3376,25.1154,20.2767
27.182,16.9385,12.0265,24.2286,18.2279,19.2422,20.8534
17.963,19.791,14.5285,30.6704,20.9828,22.0495,22.0203
15.748,17.7655,13.211,20.0549,26.3834,19.0303,18.5184
12.309,21.9455,14.6058,21.7933,19.9842,20.1392,19.5657
14.481,15.9345,21.317,15.1875,18.2268,20.7152,19.9202
7.841,22.62,12.2342,18.8875,21.5142,18.5894,20.949
11.293,25.0695,30.9518,22.403,20.62,20.2213,22.6548
23.433,17.664,21.7282,13.6819,16.7669,24.9595,20.801
21.695,16.9855,20.4462,18.3318,20.1792,20.2657,18.4846
16.242,16.015,11.5762,18.6876,20.5975,17.2666,19.4641
17.359,13.7495,17.4065,18.0251,23.4807,22.1296,19.0031
32.186,10.6725,27.3487,20.755,19.4647,19.6461,19.964
9.077,20.3625,25.587,23.6868,17.564,20.3495,19.695
21.759,15.3305,18.6375,20.8772,22.5932,18.7341,19.4324
21.133,14.6635,16.642,15.1686,19.9716,18.5106,20.1008
22.667,11.2285,17.9593,17.993,18.2363,20.2451,20.1722
13.913,18.514,10.275,16.6499,22.6124,18.1466,19.3077
28.339,19.989,19.4285,21.7262,17.7083,19.0183,17.4434
13.389,18.7435,15.8698,28.8739,26.291,22.3758,21.4709
44.072,51.8725,31.7545,25.5219,19.4992,19.0459,20.5173
35.845,20.7225,12.791,26.6189,24.5828,19.8776,20.5514
14.465,36.574,19.7982,24.3733,18.4561,18.4785,20.1592
21.661,15.9515,21.8508,20.7283,19.0431,19.8886,21.5275
6.677,25.104,14.0515,22.4318,17.1876,18.8208,20.592
12.449,14.466,18.1663,17.2922,19.3869,18.7899,21.5712
13.95,27.443,22.7297,20.3296,18.8828,15.5654,19.2133
13.182,48.6095,14.1392,22.7817,22.2071,18.0665,20.0976
