f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
G28,A,75,15,1,2.3,7.4,8.6,6.7,7.2,6.6,6.2,5.5,5,5.4,5,4.4,2.6,0.8,,,,,,,,,,,,,,
G28,B,18,7,0.7,1.3,4,5.2,2.8,2.2,1.5,,,,,,,,,,,,,,,,,,,,,,
G28,C,46,11,0.5,1,4.3,8.8,6.8,7.6,6.2,4.7,3.5,2.2,0.5,,,,,,,,,,,,,,,,,,
G28,C,16,8,0.5,1.2,3.5,4.2,2.2,2.8,1.5,0.1,,,,,,,,,,,,,,,,,,,,,
G28,D,56,16,0.5,1,3.5,8.2,5.3,6.2,4.8,4.7,3.1,3.8,3.3,4.3,3.5,2.4,1.2,0.3,,,,,,,,,,,,,
G28,E,77,18,0.5,0.7,3,8.7,7.5,8,6.7,6.3,5.4,5.2,6.1,6.2,5,2.4,1.1,2.3,1.5,0.6,,,,,,,,,,,
G28,F,6.5,5,0.5,0.9,2.2,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,
G28,F,84.5,17,1.2,2.8,8.8,9.5,7.2,7.7,6.4,6.8,5.7,5,5.4,5.8,3.7,3.7,2.6,1.6,0.6,,,,,,,,,,,,
G28,F,41,11,0.7,1.3,5.4,8,5.5,6.2,4.2,3.7,3.1,1.9,1,,,,,,,,,,,,,,,,,,
G28,G,1,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
G28,G,1,3,0.2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
G28,G,4,5,0.5,0.7,1.3,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
G28,G,16,8,0.7,1.2,3.2,4.7,2.8,1.8,1,0.2,,,,,,,,,,,,,,,,,,,,,
G28,G,3,4,0.5,1,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
G28,G,21,10,0.5,0.8,2.4,4,3,3.2,2.6,2.1,1.4,0.7,,,,,,,,,,,,,,,,,,,
G28,H,46,16,0.5,1.5,6.2,5.3,5.7,4.6,2.5,1.8,2.2,4,4.3,4.5,1.7,0.6,0.6,0.2,,,,,,,,,,,,,
G28,H,47,16,0.5,0.7,2.8,5.3,5,4.4,4.1,4.2,4.2,4.4,3.6,3.5,2.7,1.2,0.5,0.1,,,,,,,,,,,,,
M33,A,9,5,1.2,2.2,3.1,2.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,
M33,A,20.5,7,0.6,3,5.8,5.4,3.6,1.7,0.4,,,,,,,,,,,,,,,,,,,,,,
M33,A,47,13,0.5,2.4,2.8,3.5,3.1,3.6,3.8,5.1,8.6,6.5,5.6,1.1,0.3,,,,,,,,,,,,,,,,
M33,A,4,4,0.4,2,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
M33,A,5,5,0.2,1.2,1.6,1.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,
M33,B,134,16,7.3,9.2,13.8,11.7,11.2,10.8,9.3,9.2,9.7,7.5,7.4,7.5,7,6.1,3.5,2.5,,,,,,,,,,,,,
M33,C,42,8,0.5,4.8,7.4,8.9,6.5,7.1,4.7,2.1,,,,,,,,,,,,,,,,,,,,,
M33,C,22,7,0.8,4.1,5.1,5.7,3.4,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,
M33,C,25,7,0.6,3.7,7.8,6.2,3.6,2.4,0.3,,,,,,,,,,,,,,,,,,,,,,
M33,C,1,3,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,C,1,2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,C,17.5,9,2.1,2.2,3.2,2.5,3,2.6,1.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,
M33,C,46,12,1,3,5.5,7.5,5.8,6.3,5.1,3.3,4.2,2.6,1.6,0.3,,,,,,,,,,,,,,,,,
M33,C,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,C,1,2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,C,21,8,0.5,2.6,3.9,5.9,3.5,2.9,1.5,0.2,,,,,,,,,,,,,,,,,,,,,
M33,C,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,C,5,4,0.7,1.5,1.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
M33,D,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,D,6,5,0.2,1.4,3,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
M33,D,37,11,0.6,3.2,7,8,4.6,3.3,2.5,2.8,2.8,1.8,0.2,,,,,,,,,,,,,,,,,,
M33,D,63,15,1.8,6.6,10.7,9.4,4.5,4.2,3.3,3,3,4.7,6.5,2.9,1.1,0.7,0.6,,,,,,,,,,,,,,
M33,E,25,8,1,4.5,4.8,4.7,3.7,3.2,2.2,0.8,,,,,,,,,,,,,,,,,,,,,
M33,F,3,5,0.2,1,1.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,
