f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal
Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal
vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot
bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print
Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid
Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null
Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid
bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null
party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid
Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal
sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print
vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal
Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid
Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null
cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid
bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork
Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork
Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null
Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid
Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid
Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid
Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid
Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork
Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print
Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid
Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid
Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal
Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid
party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,null,print
Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork
vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print
Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print
party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid
Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid
Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid
Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork
Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print
vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork
Sexy,Average,0,M,Winter,o-neck,short,natural,null,null,lace,solid
Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric
Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot
Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid
Casual,Medium,0,L,Winter,boat-neck,full,empire,null,null,null,solid
Sexy,Low,5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal
Casual,Low,4.3,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal
Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid
Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid
sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric
Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork
Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,null,null,solid
sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid
bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print
work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork
cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid
Casual,Average,0,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid
Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal
Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid
Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid
Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid
Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid
Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork
work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid
Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,null,null,solid
bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print
sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid
Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid
Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid
Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid
Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot
Casual,Average,5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric
Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print
Casual,Average,0,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid
bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null
Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal
party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid
Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped
vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print
Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid
Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork
Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid
Sexy,Average,4,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork
Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print
Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid
Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork
Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,null,pockets,solid
OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid
Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid
Casual,Medium,0,S,Spring,v-neck,full,null,null,null,null,animal
Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid
Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print
Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print
vintage,Low,4.8,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print
Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print
fashion,Average,4,free,Summer,open,full,null,cotton,null,sequined,solid
Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print
Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork
bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal
work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid
vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,null,button,solid
cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot
Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid
Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,null,lace,null
Sexy,Average,0,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork
Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid
