f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
Femme,56,26.9,'Ancien fumeur plus de 6 mois',Non,Jamais,Occasionnellement,Jamais,'Plusieurs fois par semaine',Jamais,2,5,2,15,0.67,0.89,1,Absente,Oui
Femme,61,21.2,'Ancien fumeur plus de 6 mois',Oui,Occasionnellement,Occasionnellement,Occasionnellement,Occasionnellement,'1 fois par an',3,5,7,20,2,1.53,1,Absente,Non
Femme,8,14.7,'Non fumeur',Oui,'Plusieurs fois par semaine',Occasionnellement,Occasionnellement,Jamais,'2 3 fois par an',2,4,12,0,0,0,1,Absente,Non
Homme,22,21.1,'Non fumeur',Non,'Plusieurs fois par semaine',Jamais,'Plusieurs fois par semaine','Plusieurs fois par semaine','1 fois par an',3,2,4,1,0,0,0,Absente,Non
Femme,23,19.1,'Non fumeur',Non,'Une fois par jour','Plusieurs fois par semaine',Jamais,Occasionnellement,Regulierement,2,5,4,1,0,0,0,Absente,Non
Homme,39,25.5,'Non fumeur',Non,'Plusieurs fois par jour','Plusieurs fois par semaine',Occasionnellement,'Plusieurs fois par jour','1 fois par an',2,3,0,3,1,0.25,1,Absente,Non
Homme,38,28.4,'Ancien fumeur plus de 6 mois',Oui,Occasionnellement,Occasionnellement,Occasionnellement,Occasionnellement,'1 fois par an',4,7,4,0,1.33,1.31,1,Absente,Oui
Femme,73,24,'Non fumeur',Oui,Jamais,Jamais,Jamais,Jamais,'1 fois par an',6,5,8,7,1,0.89,0,Absente,Non
'Jeune fille',8,13.7,'Non fumeur',Non,'Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine',Jamais,'1 fois par an',2,5,11,2,0.33,0,2,Absente,Non
Femme,23,18.2,'Non fumeur',Non,'Plusieurs fois par semaine',Occasionnellement,Occasionnellement,Occasionnellement,'2 3 fois par an',3,5,4,1,0,0,0,Absente,Non
Homme,7,16.7,'Non fumeur',Non,Occasionnellement,Occasionnellement,Occasionnellement,Jamais,'1 fois par an',1,2,9,1,1,0,2,Absente,Non
'Jeune fille',10,17.6,'Non fumeur',Non,'Une fois par jour',Occasionnellement,'Plusieurs fois par jour',Jamais,Regulierement,1,8,8,8,1.67,0,1,Provoquees,Oui
'Jeune fille',9,17.6,'Non fumeur',Non,'Une fois par jour',Occasionnellement,'Plusieurs fois par jour',Jamais,Regulierement,1,8,8,9,1.5,0,2,Provoquees,Oui
'Jeune fille',12,18.1,'Non fumeur',Oui,'Plusieurs fois par semaine',Occasionnellement,'Une fois par jour',Jamais,'2 3 fois par an',1,5,8,0,0.33,0,1,Absente,Non
'Jeune fille',6,17.4,'Non fumeur',Non,'Plusieurs fois par semaine',Occasionnellement,'Plusieurs fois par semaine',Jamais,Regulierement,1,8,14,3,1,,3,Absente,Non
'Jeune fille',9,17.6,'Non fumeur',Non,'Plusieurs fois par jour','Une fois par jour','Une fois par jour',Jamais,'2 3 fois par an',3,9,10,3,0,,2,,Oui
Homme,9,12.1,'Non fumeur',Non,'Plusieurs fois par jour',Occasionnellement,Occasionnellement,Jamais,'1 fois par an',2,1,8,4,0.25,,1,Provoquees,Non
Homme,9,14.9,'Non fumeur',Non,'Plusieurs fois par jour',Occasionnellement,Occasionnellement,Jamais,'1 fois par an',2,1,8,4,0.33,,1,Provoquees,Non
Femme,21,22.9,'Non fumeur',Non,'Plusieurs fois par semaine',Occasionnellement,Jamais,Jamais,'2 3 fois par an',3,7,4,1,1,,0,Provoquees,Non
Femme,44,20.3,'Non fumeur',Non,'Plusieurs fois par semaine',Occasionnellement,Occasionnellement,Occasionnellement,'1 fois par an',2,7,4,8,1.67,1.19,2,Provoquees,Non
