f1,f2,f3,f4,f5,f6,f7
1,23.2,25.4,30,38.4,13.4,
1,24,26.3,31.2,40,13.8,
1,23.9,26.5,31.1,39.8,15.1,
1,26.3,29,33.5,38,13.3,
1,26.5,29,34,36.6,15.1,
1,26.8,29.7,34.7,39.2,14.2,
1,26.8,29.7,34.5,41.1,15.3,
1,27.6,30,35,36.2,13.4,
1,27.6,30,35.1,39.9,13.8,
1,28.5,30.7,36.2,39.3,13.7,
1,28.4,31,36.2,39.4,14.1,
1,28.7,31,36.2,39.7,13.3,
1,29.1,31.5,36.4,37.8,12,
1,29.4,32,37.2,40.2,13.9,1
1,29.4,32,37.2,41.5,15,
1,30.4,33,38.3,38.8,13.8,1
1,30.4,33,38.5,38.8,13.5,
1,30.9,33.5,38.6,40.5,13.3,
1,31,33.5,38.7,37.4,14.8,
1,31.3,34,39.5,38.3,14.1,1
1,31.4,34,39.2,40.8,13.7,
1,31.5,34.5,39.7,39.1,13.3,
1,31.8,35,40.6,38.1,15.1,
1,31.9,35,40.5,40.1,13.8,
1,31.8,35,40.9,40,14.8,1
1,32,35,40.6,40.3,15,
1,32.7,36,41.5,39.8,14.1,
1,32.8,36,41.6,40.6,14.9,
1,33.5,37,42.6,44.5,15.5,0
1,35,38.5,44.1,40.9,14.3,0
1,35,38.5,44,41.1,14.3,
1,36.2,39.5,45.3,41.4,14.9,1
1,37.4,41,45.9,40.6,14.7,0
1,38,41,46.5,37.9,13.7,
2,23.6,26,28.7,29.2,14.8,
2,24.1,26.5,29.3,27.8,14.5,
2,25.6,28,30.8,28.5,15.2,
2,28.5,31,34,31.6,19.3,
2,33.7,36.4,39.6,29.7,16.6,0
2,37.3,40,43.5,28.4,15,
3,12.9,14.1,16.2,25.6,14,
3,16.5,18.2,20.3,26.1,13.9,
3,17.5,18.8,21.2,26.3,13.7,
3,18.2,19.8,22.2,25.3,14.3,
3,18.6,20,22.2,28,16.1,
3,19,20.5,22.8,28.4,14.7,
3,19.1,20.8,23.1,26.7,14.7,0
3,19.4,21,23.7,25.8,13.9,0
3,20.4,22,24.7,23.5,15.2,0
3,20.5,22,24.3,27.3,14.6,0
3,20.5,22.5,25.3,27.8,15.1,0
3,21,22.5,25,26.2,13.3,
3,21.1,22.5,25,25.6,15.2,0
3,22,24,27.2,27.7,14.1,
3,22,23.4,26.7,25.9,13.6,
3,22.1,23.5,26.8,27.6,15.4,0
3,23.6,25.2,27.9,25.4,14,
3,24,26,29.2,30.4,15.4,
3,25,27,30.6,28,15.6,0
3,29.5,31.7,35,27.1,15.3,
4,13.5,14.7,16.5,41.5,14.1,
4,14.3,15.5,17.4,37.8,13.3,1
4,16.3,17.7,19.8,37.4,13.5,1
4,17.5,19,21.3,39.4,13.7,1
4,18.4,20,22.4,39.7,14.7,
4,19,20.7,23.2,36.8,14.2,
4,19,20.7,23.2,40.5,14.7,0
4,19.8,21.5,24.1,40.4,13.1,0
4,21.2,23,25.8,40.1,14.2,
4,23,25,28,39.6,14.8,0
4,24,26,29,39.2,14.6,0
5,9.3,9.8,10.8,16.1,9.7,1
5,10,10.5,11.6,17,10,0
5,10.1,10.6,11.6,14.9,9.9,1
5,10.4,11,12,18.3,11.5,0
5,10.7,11.2,12.4,16.8,10.3,1
5,10.8,11.3,12.6,15.7,10.2,1
5,11.3,11.8,13.1,16.9,9.8,1
5,11.3,11.8,13.1,16.9,8.9,0
5,11.4,12,13.2,16.7,8.7,0
5,11.5,12.2,13.4,15.6,10.4,0
5,11.7,12.4,13.5,18,9.4,0
5,12.1,13,13.8,16.5,9.1,0
5,13.2,14.3,15.2,18.9,13.6,0
5,13.8,15,16.2,18.1,11.6,0
6,30,32.3,34.8,16,9.7,
6,31.7,34,37.8,15.1,11,0
6,32.7,35,38.8,15.3,11.3,
6,34.8,37.3,39.8,15.8,10.1,
6,35.5,38,40.5,18,11.3,
6,36,38.5,41,15.6,9.7,1
6,40,42.5,45.5,16,9.5,
6,40,42.5,45.5,15,9.8,
6,40.1,43,45.8,17,11.2,
6,42,45,48,14.5,10.2,
6,43.2,46,48.7,16,10,0
6,44.8,48,51.2,15,10.5,0
6,48.3,51.7,55.1,16.2,11.2,
6,52,56,59.7,17.9,11.7,
6,56,60,64,15,9.6,
6,56,60,64,15,9.6,0
6,59,63.4,68,15.9,11,0
7,7.5,8.4,8.8,24,16,
7,12.5,13.7,14.7,24,13.6,
7,13.8,15,16,23.9,15.2,
7,15,16.2,17.2,26.7,15.3,
7,15.7,17.4,18.5,24.8,15.9,
7,16.2,18,19.2,27.2,17.3,
7,16.8,18.7,19.4,26.8,16.1,
7,17.2,19,20.2,27.9,15.1,
7,17.8,19.6,20.8,24.7,14.6,
7,18.2,20,21,24.2,13.2,
7,19,21,22.5,25.3,15.8,
7,19,21,22.5,26.3,14.7,
7,19,21,22.5,25.3,16.3,1
7,19.3,21.3,22.8,28,15.5,0
7,20,22,23.5,26,14.5,0
7,20,22,23.5,24,15,
7,20,22,23.5,26,15,
7,20,22,23.5,25,15,
7,20,22,23.5,23.5,17,0
7,20.5,22.5,24,24.4,15.1,0
7,20.5,22.5,24,28.3,15.1,0
7,20.7,22.7,24.2,24.6,15,
7,21,23,24.5,21.3,14.8,
7,21.5,23.5,25,25.1,14.9,
7,22,24,25.5,28.6,14.6,
7,22,24,25.5,25,15,
7,22.6,24.6,26.2,25.7,15.9,
7,23,25,26.5,24.3,13.9,0
7,23.5,25.6,27,24.3,15.7,
7,25,26.5,28,25.6,14.8,
7,25.2,27.3,28.7,29,17.9,0
7,25.4,27.5,28.9,24.8,15,0
7,25.4,27.5,28.9,24.4,15,
7,25.4,27.5,28.9,25.2,15.8,0
7,25.9,28,29.4,26.6,14.3,
7,26.9,28.7,30.1,25.2,15.4,0
7,27.8,30,31.6,24.1,15.1,0
7,30.5,32.8,34,29.5,17.7,
7,32,34.5,36.5,28.1,17.5,
7,32.5,35,37.3,30.8,20.9,0
7,34,36.5,39,27.9,17.6,0
7,34,36,38.3,27.7,17.6,0
7,34.5,37,39.4,27.5,15.9,0
7,34.6,37,39.3,26.9,16.2,0
7,36.5,39,41.4,26.9,18.1,0
7,36.5,39,41.4,26.9,14.5,
7,36.6,39,41.3,30.1,17.8,
7,36.9,40,42.3,28.2,16.8,0
7,37,40,42.5,27.6,17,0
7,37,40,42.4,29.2,17.6,0
7,37.1,40,42.5,26.2,15.6,0
7,39,42,44.6,28.7,15.4,0
7,39.8,43,45.2,26.4,16.1,0
7,40.1,43,45.5,27.5,16.3,0
7,40.2,43.5,46,27.4,17.7,1
7,41.1,44,46.6,26.8,16.3,0
