f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.679684,0.952877,-0.77519,-1.73306,-0.646589,0.034433,1.04178,-0.95916,1.428423,-1.138218
-1.179604,-1.153223,-0.833558,0.499121,-0.814107,-1.257863,0.590192,-0.604118,-0.819732,0.565932
-1.438627,-1.058979,-0.867938,1.201597,-1.138271,-0.819749,1.201329,0.226787,1.150329,0.668066
-0.994038,-1.63269,-1.160491,-0.702969,-0.895909,-0.631834,-1.169687,-0.934517,0.432285,0.298222
1.733637,1.218325,-0.346761,-1.456528,-0.165564,-0.783515,-1.137522,-0.399118,1.154339,-1.415455
0.514818,0.334171,0.159119,-0.12502,0.365906,-0.196987,-0.671831,1.354768,-0.461568,-0.415624
-1.526539,-1.391847,-1.312425,-0.803206,-0.937146,0.450759,-1.209131,-1.594287,1.585179,-1.198747
0.666248,0.387368,0.211212,-0.006532,0.208875,-1.396638,0.469714,0.004992,-0.897053,-1.351189
0.186038,-0.148631,-0.907602,-1.060858,-0.846474,-1.166145,1.195942,-0.246845,1.048381,0.52776
0.953923,1.421011,0.45565,-0.996373,0.762266,-0.86778,0.78823,-0.767805,-1.37863,-0.568255
0.089215,-0.790994,-1.137228,0.39279,-0.889942,-0.562542,-1.391702,-0.524138,-0.639326,-0.192333
0.564621,0.329235,0.948613,0.523179,1.040619,-0.629138,0.062683,1.348446,-0.398303,0.140608
-0.505663,-1.098555,-0.323995,-1.367223,-0.29446,0.276621,-1.219319,-1.639698,-0.708539,-0.373532
-0.403946,-0.587197,0.23688,-0.314646,-0.047425,0.849171,0.257838,-1.341454,-1.028503,0.323254
0.415933,-0.178647,0.277475,1.292078,0.452153,0.925479,-0.653344,-0.310156,-0.117003,0.541394
-0.236792,0.439826,-0.332133,-1.488759,-0.61179,1.325341,-0.760187,0.685226,-1.304372,1.372257
0.347154,-0.057692,-0.175689,-0.252641,-0.442345,-0.352935,0.301399,-1.510362,0.840311,-1.006339
0.56048,1.204362,2.162005,0.993641,1.683928,1.517681,0.227785,0.878396,1.53106,-1.614859
-1.414944,-1.632417,-0.661933,0.863102,-0.720698,0.59748,1.587924,-1.536497,1.4978,-1.648753
0.325952,0.465143,-1.0843,-0.998474,-1.07013,0.279736,0.109223,-0.414675,-1.587538,0.760985
-1.42281,-1.029846,-1.239484,0.165327,-0.769379,-1.414888,-0.275011,-0.837062,-0.407298,0.583964
1.570821,1.476735,3.005882,1.59452,3.653911,1.418673,0.50604,0.952544,0.425912,0.555841
-1.111267,-1.077644,-2.006492,0.735873,-0.991135,1.54823,-1.435247,0.645546,-1.523628,-0.854669
-0.261226,0.256759,0.550988,0.635112,0.169125,-1.420901,0.915623,-0.274911,0.563615,-0.154796
0.703583,1.247648,2.035712,1.728252,1.927246,-0.477856,0.912582,0.086754,0.563205,0.793955
-1.802889,-1.610775,-0.685097,-0.535366,-0.710997,-1.472087,-0.609959,-0.029177,-0.281773,0.919866
1.50052,1.028856,0.584152,-0.856138,1.164932,1.547929,0.81388,0.307989,-0.559302,-0.019879
-0.830628,-1.61827,-1.312047,-1.430852,-0.927375,-1.30115,-0.746561,-1.381866,-1.13754,-0.518626
-0.249916,-0.981922,-1.064691,-0.472309,-0.817684,-0.496225,-0.892562,1.506751,1.472326,-0.78108
1.082002,0.551562,-0.532683,-1.645809,-0.60065,-1.070108,0.857182,-1.768125,-1.31102,-0.403042
1.255253,1.249492,1.063887,0.250968,1.119982,0.071372,-0.464146,0.093102,1.530316,-0.919298
-2.207327,-1.582984,-0.544586,-1.371144,-0.546207,-0.040671,-0.782638,-1.66141,0.043965,1.303206
-0.004815,-0.372722,0.418649,1.36805,-0.014725,1.410028,-1.58788,0.212742,-1.583774,0.31934
0.793561,1.236027,0.844736,0.039872,0.936162,0.008599,0.121891,-0.500777,-1.195018,0.3224
-0.436572,-0.383592,0.002334,0.2384,-0.146919,1.574297,-1.370525,1.270451,0.480974,-1.340575
-0.208407,-0.293048,0.246632,1.032112,0.123003,0.632928,-0.990354,0.233316,1.007156,0.345864
0.508028,1.217806,1.959507,1.064788,1.555181,-0.766374,0.331012,1.427739,0.068319,-0.24901
2.238072,1.613157,1.277339,0.628189,2.198032,0.88364,-0.979889,-1.234159,0.556293,-0.846245
0.364727,-0.07058,-0.235908,-0.095571,-0.05823,-1.663326,-1.260933,0.761759,-1.394838,-0.781346
1.910533,1.381866,-1.348332,-1.634475,-1.269521,-0.114477,-1.021066,-1.492374,1.297345,-1.024269
0.342421,0.765632,0.143688,-1.220098,0.03696,-0.556068,-1.294101,1.554319,-0.128645,0.578766
-0.986695,-0.655832,-1.059247,-1.075331,-0.626446,0.007001,1.27356,0.029912,0.474932,1.364252
-0.72639,-0.84204,-1.119759,-0.561759,-0.796085,0.71159,-1.361446,0.723131,0.70878,1.600812
0.196722,0.171922,0.83281,0.706364,0.456899,0.63194,0.50747,1.128829,0.278306,-0.212635
-0.261501,-0.525487,-0.09335,0.751573,-0.427667,-1.011305,-0.539955,0.066337,-0.906869,0.506509
0.427892,0.062201,0.327587,0.152134,0.347941,0.100585,-1.542303,-0.683184,-0.154517,0.431242
0.398485,-0.285158,-0.34471,-0.222693,-0.253934,-1.505226,-0.64713,1.521543,1.634287,0.301405
-1.452004,-1.18254,-0.307953,0.328175,-0.99394,1.408193,1.406714,-0.307437,0.334118,1.360863
0.292923,0.774589,0.74573,0.431676,0.431291,0.208842,-1.573298,-1.853486,0.06875,-0.583176
0.014022,-0.361731,0.338117,1.371114,-0.033315,0.34861,-1.224736,1.035623,1.371144,0.585556
0.320291,-0.116126,1.169133,1.640952,0.629294,1.480383,-0.90698,1.513784,-0.755099,1.166529
-0.288366,-0.41251,-1.209873,-1.080993,-1.232157,1.624924,-0.509765,-1.014552,-1.015159,-0.285066
2.333987,1.575742,1.810459,1.225298,2.571118,-1.186119,1.001095,-1.444646,-1.360743,-1.730551
-0.060165,-0.850338,0.038874,0.48008,-0.100544,-1.387676,0.046272,1.31183,-1.104841,0.861365
-0.355803,-0.710411,0.00176,-0.160414,-0.477157,0.710473,1.655813,0.213211,1.136304,-0.516067
-0.278636,-0.631545,-0.126535,-0.914217,-0.24462,1.186723,-0.010716,-1.534698,-0.92068,-1.538218
0.399618,0.589453,1.360693,1.504561,1.074924,1.40882,-0.254093,0.470412,-1.4057,-0.987308
1.362873,1.554476,-0.343754,-1.115492,-0.061655,-0.314133,0.452969,1.102723,0.364827,-0.22751
-0.727954,-0.521361,-0.299812,-0.595492,-0.943283,-0.015124,0.177992,1.337797,-0.121398,0.672836
0.856212,1.420846,1.478677,-0.281088,1.390572,-1.209474,0.866644,0.760288,1.252645,-1.244806
-0.111119,0.318059,-0.543382,-0.24388,-0.596582,0.48706,-0.663624,1.349537,1.135214,1.382735
-0.296792,-0.992128,-0.71718,0.739206,-0.897614,1.143284,-1.565823,0.656317,1.503758,1.450566
-2.044517,-1.588895,-1.242169,0.655721,-1.236087,0.729404,-1.677024,0.691982,-0.197665,-0.622084
1.345593,1.595975,0.788391,0.188595,1.160866,0.735842,-0.377454,1.525317,1.179797,-1.281625
-1.42073,-1.394669,-0.962016,-1.126099,-0.679683,0.164126,1.193864,1.3446,-1.131664,1.547991
-0.5817,-1.113896,-0.091732,1.761448,-0.299408,-1.29779,0.970079,0.954738,-1.116403,1.227616
-1.076838,-0.321987,-0.954711,-0.332414,-0.969065,-0.701576,0.281188,1.020168,0.972362,-1.467905
0.099431,0.349505,-1.064942,-1.311579,-0.673966,-0.833326,-1.244565,0.644384,0.545004,0.055088
-0.061602,-0.131339,0.463269,-0.321427,-0.067708,-0.329908,0.627709,-1.633625,-0.67507,-0.849715
1.683182,1.484823,2.290386,1.182071,2.975489,1.573391,0.76811,0.290208,0.983759,1.488816
0.527113,1.114873,0.064539,0.509046,-0.035812,0.529599,-0.410023,0.619769,0.785087,1.186008
-0.476443,-0.227936,-0.269449,0.280989,-0.518255,-1.68532,0.285067,-1.53424,0.00364,1.399622
-1.865975,-1.318722,-0.486352,1.820597,-0.616995,0.747856,-1.264259,-1.029395,-0.939217,-1.096063
-0.435951,0.403898,1.321639,0.884402,0.047232,1.416347,1.35737,-1.850453,-1.075791,-1.507086
