f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50
-0.063917,0.004686,1.016239,1.599755,0.175117,-0.432294,0.068935,-0.378801,-0.773548,-1.337629,0.103611,-0.390534,-1.523779,0.935052,-1.260043,-1.202951,-0.47917,1.603175,1.570356,-0.030542,-0.538051,-1.135752,1.547519,0.665694,-0.646046,-0.320847,-0.752516,-0.50568,-1.519654,-0.159727,-1.624113,-0.659398,1.274225,-0.989436,0.869084,1.3332,-0.732324,1.506866,-0.859476,-1.373841,1.208404,0.38072,-0.948411,-1.444543,-0.101919,1.316854,0.171312,-1.430388,-1.224099,0.410335
0.148127,-0.546315,0.113677,-0.570013,0.095058,-1.051216,-1.426484,-0.307061,1.098279,0.177321,-1.76151,-0.466197,-1.658148,0.036888,1.49736,0.236347,1.366107,-0.511451,1.666624,-1.202783,-0.337575,-0.970401,-0.816753,0.165755,-1.168623,-0.110743,0.361769,-0.270329,0.003629,1.626993,0.140494,-0.322408,-1.612159,0.801631,-1.665908,-1.228447,1.632213,-0.364028,1.175675,0.609777,0.386632,-1.165415,-1.548108,0.052937,0.573315,1.262483,1.775784,-0.831614,-0.800198,-1.295834
-1.253446,-0.957951,-1.008838,-0.734082,-0.60182,-0.645407,-1.223912,0.81304,1.094141,1.120285,-0.472605,1.108085,0.529964,0.158861,-1.282341,1.643841,0.667536,0.151369,1.724607,1.041562,0.632785,1.586653,1.117273,0.077326,-0.76379,-1.07198,-1.370465,-0.312201,0.878426,-0.496348,-1.449449,0.644052,1.314393,1.265319,-0.914806,-0.80056,0.845395,-1.202447,-0.061334,-0.576673,-1.175849,-0.456001,0.656173,-0.636058,0.694723,-0.028783,-1.583584,-0.514898,0.158411,-0.667241
1.918626,1.570095,2.182617,0.866326,3.065574,0.36312,1.634509,-0.92705,-0.874209,-1.538297,-0.168546,-0.315224,0.862686,1.077376,-0.617774,0.611239,0.761966,1.796734,-0.506857,-1.198994,1.067862,-0.777309,-0.52367,-1.680282,-0.627577,-1.355276,-1.323503,1.5026,0.801816,0.74804,1.441215,-1.389891,-0.929544,0.385375,-1.34505,-0.198854,-0.321437,0.820775,-1.657088,1.219782,1.140228,-0.184998,0.654599,1.478191,-0.963446,-0.945716,0.074809,-1.177532,1.521371,0.425807
-0.239935,0.452188,1.917103,1.166751,1.04494,-0.346723,-0.343418,0.491091,0.491506,0.965193,1.730296,0.78638,-0.100892,1.082656,0.149737,-1.181153,0.947343,1.413135,1.070553,-1.746582,0.365569,-1.471876,0.509367,-0.891953,0.121005,-0.830943,-0.586759,-1.266422,1.637652,0.534109,-1.090461,-1.052965,1.558069,0.171191,0.213691,0.659157,-1.285567,-0.716648,-1.281764,1.21621,-0.85774,0.283338,-0.441942,1.312671,1.186567,-0.04062,-0.704194,-0.89489,-0.986316,-0.214479
-0.152398,-0.028144,-0.386526,0.457055,-0.360131,1.446205,0.867786,0.860415,0.05705,-1.268604,0.923413,-0.3441,-1.625527,-0.67984,-0.558627,1.117945,1.374406,0.069414,-1.433014,-0.273297,-0.38239,-0.34403,0.363706,1.694885,-0.918187,1.650682,-1.133704,1.217196,1.079747,1.135751,-0.050594,1.635224,0.521139,0.57944,-0.042716,-1.650611,-1.174348,-0.173692,-0.948154,1.107469,1.564896,0.290542,-1.324398,0.703922,-1.614432,-0.101895,0.467716,0.519193,0.840909,-0.466985
-0.191194,-0.511901,-0.626772,-0.301483,-0.970121,-0.926235,-1.512529,-1.29669,-1.205511,-1.275169,-0.265974,-0.157533,-1.241075,-1.498277,0.140931,-0.065454,1.299274,-1.351367,-0.980774,-1.580735,-0.68746,0.277564,1.553157,-0.039171,0.158213,0.614376,1.465361,0.424262,0.304762,-0.861793,-0.533406,1.127811,0.386339,-0.563949,-1.240478,-0.418914,-0.641354,1.197084,0.030852,-0.986466,-0.046719,1.164367,0.778896,-1.542428,1.409977,0.748107,0.181051,0.731478,1.562575,1.435232
1.67242,1.573311,-1.067239,-1.481854,-0.831369,0.366999,-0.126639,1.329658,-1.081427,-0.139097,0.27729,-1.522803,1.448015,-1.612931,-0.693672,-0.784549,1.574815,1.26937,0.371272,1.349426,-0.954803,1.573467,-1.613598,-1.500955,1.12231,1.283421,1.23735,-0.837702,1.207305,-0.634032,0.406939,0.196163,1.063357,-0.713725,-1.167952,-0.673254,0.961302,-0.337684,0.654411,0.492377,-0.749071,0.074776,-0.252865,-0.38788,1.530061,-0.974905,1.009177,0.52052,-0.775124,-0.3902
-1.375752,-1.272783,-0.498341,0.914216,-0.930527,-0.816942,-1.287791,-0.426022,1.531272,-1.123946,-0.712487,-0.176335,-1.089274,-0.464366,-0.577212,-1.253252,1.089067,-1.554958,-0.620898,-1.581461,-1.266509,-1.25168,-0.391855,1.645389,-1.251503,1.296743,-1.24526,0.065634,-0.68135,-1.588512,-0.652012,-1.213274,1.581902,-1.460387,-1.038347,0.692405,-0.469386,-0.32997,0.858024,1.53932,-0.082093,0.128188,1.239298,-1.721086,0.424205,-0.221728,1.690988,-0.598737,0.726579,1.464597
-0.646092,-0.045494,0.528036,1.814068,0.046386,-1.639251,-0.419667,0.50088,-0.854063,-0.243233,-0.574035,0.445709,1.431725,0.49262,0.283098,1.227036,-0.21517,-0.040503,0.714001,1.37635,-1.580101,-1.24081,-0.822966,-1.276544,0.462902,-1.634977,1.326444,1.473527,0.847992,1.221428,-1.552118,-1.045724,-0.787729,0.376412,-0.458659,-0.128947,0.489635,-1.121875,0.190787,-0.945398,-1.582337,-0.808386,1.532398,0.963091,-0.834253,0.023576,0.079815,-1.195499,-0.130354,0.385641
-0.827858,-0.17022,0.088996,0.5253,-0.211405,0.160823,-1.311668,-1.428154,-0.044297,1.753984,-1.099149,1.493088,0.414589,0.956862,-0.848739,-1.26065,-1.138483,0.519122,0.600828,-0.988396,-0.764668,1.061654,-1.442134,1.404269,0.23179,1.516353,-0.511526,0.868852,-0.394419,1.381292,0.624979,-0.305243,0.838411,-1.241127,0.41199,0.357815,-0.170087,-1.360902,1.171057,1.054569,-0.07517,1.219166,-1.349913,1.267926,-0.809916,1.086116,-1.461976,-0.535423,-0.591366,1.204987
