f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
0.498816,0.403913,1.097959,0.794315,0.903696,1.193695,1.457125,-1.367201,1.215093,1.298519,-0.484223,-1.416912,-0.823645,0.32683,-0.966476,0.837781,-1.361454,1.756575,-1.175501,1.070904,-1.578732,0.072561,1.279778,-0.216396,1.056348,0.513785,-1.177382,-0.150864,-1.425121,1.457502,-0.379267,1.455519,0.929343,-0.755175,1.639806,1.563002,-1.342393,-1.664252,1.129428,0.691847,0.080169,0.783974,-0.478908,0.516846,-0.652663,-1.240325,1.488425,-1.5758,-0.953822,-1.265736,1.169463,-1.485096,-0.69897,-0.465519,-1.144528,-1.30411,-1.691914,-1.171671,-1.458845,-0.491724,-1.235207,-1.395591,1.76552,0.126281,1.398128,-0.129945,-0.044262,-1.42116,-0.608468,0.39838,-1.250624,-1.283891,0.677086,-0.825797,0.119204,-0.229118,1.090526,0.113652,-1.005103,-0.464879,1.321765,-0.654283,-1.01862,-0.028485,-1.683677,1.1772,-0.35833,1.539271,0.353197,1.302824,0.313971,-0.604457,-0.441472,-1.585462,-0.438778,0.699341,-0.329942,-0.573226,1.370793,-0.365046
-0.03153,0.285919,1.252862,1.432762,0.730534,0.604034,0.885875,-0.505703,-1.496406,-0.121705,-0.016601,0.714004,-1.361611,-0.295103,-0.210352,0.632996,-0.634254,1.713191,-0.150696,-1.442943,1.523267,1.288926,-0.669371,-0.034379,-0.012294,0.767412,0.910766,-1.553069,1.274489,-1.625132,1.720962,0.15961,0.485205,-0.839802,1.476974,1.075918,-1.064088,1.525435,0.743249,-1.475921,-0.88999,1.321465,0.778185,0.878027,-1.128238,1.163663,0.09733,-0.334132,-1.283695,-0.925165,0.422271,-1.084453,-0.928303,-0.486894,1.439939,0.524885,1.259044,1.671189,0.902081,0.813715,-1.208652,1.232051,-0.409987,0.92018,0.089319,0.353559,-0.804537,1.412087,-1.611732,0.304397,-1.441358,1.456354,0.443308,-0.816109,-1.434331,-1.589872,-0.149189,-0.787012,-1.086066,0.716135,-1.278069,-1.381958,1.076678,1.651709,1.008363,0.679148,0.732396,-0.775692,0.542051,0.964087,1.662352,0.564065,-0.903298,-0.362654,-0.486894,0.313012,-0.382415,0.348786,-0.049996,0.204064
0.885977,1.693052,1.747211,0.585833,1.866113,-0.848018,0.276456,-1.363215,-0.074733,-0.741077,-1.362607,-0.00274,-1.276831,-0.871929,1.37709,0.449847,0.958978,-1.113855,0.672827,-1.252243,0.067517,1.472506,1.13688,0.153253,0.531412,0.794555,-0.03834,1.405893,0.683135,-1.133607,0.519203,0.457777,-1.236589,1.032642,-0.750564,-0.22969,-1.050015,0.192219,0.266142,-0.904114,-0.001583,-0.264312,-0.198915,1.225001,1.364436,-0.124552,1.037521,1.353697,-0.11358,-0.220407,0.772132,-0.111941,0.409068,0.659073,0.288031,1.228806,1.011294,-0.178634,-0.101524,-1.597635,1.552528,-1.757029,-0.064958,1.213745,0.149284,0.758227,-0.33531,0.391701,0.694,-0.89649,0.371296,1.403049,-1.327936,0.852609,-0.834365,0.301457,1.413201,-1.513617,1.252029,1.557574,-0.342727,0.935829,1.185121,0.640318,1.076699,-0.697224,1.619528,0.649136,-1.042221,0.639772,1.031389,0.92174,1.400614,0.179074,-0.737066,-1.136605,1.624218,0.364775,0.670068,1.274076
-0.165458,0.381678,-0.276611,-0.314251,-0.297158,0.875074,0.588431,1.385576,0.969583,-0.272306,1.332592,0.145156,1.534337,-0.621371,1.389137,-1.47873,-0.106583,0.068027,1.648215,1.591243,0.035111,1.611634,0.598597,0.570264,0.837793,-1.437541,1.225748,-1.089208,0.564794,0.609336,-0.328257,-1.563543,1.691238,-0.742456,0.386857,1.478132,-1.484364,0.506905,1.533461,-0.738571,0.8917,-0.197917,0.122718,-0.476782,-1.104483,1.327725,-0.412271,-0.625751,-0.247985,1.632179,0.640121,-0.267208,-1.376764,-0.683824,-1.707836,1.486968,1.256746,1.506982,-0.773844,0.887225,1.189238,1.653819,-1.629665,0.739803,-0.709636,-1.494491,-0.219504,-1.060843,0.607619,1.384645,1.08364,0.985977,0.33388,0.053461,1.325268,0.999764,-1.336374,-0.022177,0.511023,0.357311,0.472062,-1.274485,-1.331156,0.812272,-0.637767,0.995179,0.402068,-0.589417,1.014934,1.172511,-0.753775,-1.213438,0.818088,-0.353883,-1.033226,1.33537,0.706218,-0.014992,1.354642,-1.632036
-2.155214,-1.430645,-0.374615,-0.367832,-1.145828,-0.147879,1.572619,-1.196912,0.871672,-0.898733,0.753388,0.515461,0.12854,0.266415,1.602716,0.229395,0.316533,1.764471,-1.475823,-0.81182,1.32782,-1.215114,-0.261507,0.848068,0.631785,-1.022368,-0.468978,0.789005,-1.474398,-1.179579,1.417458,0.786385,1.641547,1.684567,1.012056,-1.605502,1.620449,0.570159,-1.555302,1.37498,0.199841,0.936117,1.762634,1.408813,-0.043013,-0.993687,1.274428,0.114211,0.429123,0.728971,1.285825,0.477747,1.703415,-0.721086,0.422594,1.658465,-1.681891,0.121256,-0.036665,-0.251802,-0.154064,-1.554338,-0.667235,1.259543,-1.300363,-0.038369,-1.633957,0.934873,0.237931,0.069149,1.276489,1.709849,1.655509,1.268477,-0.132206,-0.956442,-1.170383,-0.104836,-0.062268,-0.102616,-0.897245,-0.01465,1.338813,-1.512229,1.444059,-1.52147,-0.287957,1.178828,-1.650605,1.065105,-1.6718,-0.772334,1.334716,-1.246808,-1.556682,-0.921187,-1.693049,0.471595,0.958877,0.101481
-1.182614,-1.65462,-0.380531,-1.108836,-0.799471,-1.02677,-1.174147,0.042205,-1.5457,0.559528,1.3005,-0.664762,-0.667367,-0.890847,0.397151,0.187939,-1.029183,-0.652074,-0.33795,-0.686634,1.110937,0.885065,1.479215,-1.654169,-0.182711,-0.400758,-1.320279,1.188578,-1.614776,0.581967,0.374295,0.501152,-1.619757,-1.100162,1.575064,-0.045643,-0.401791,0.692901,-0.612,1.081159,1.598743,-0.511893,1.445451,0.363046,-0.039465,-0.605812,-0.823316,-1.475295,-0.506941,-1.590485,0.663481,1.545225,-0.406599,0.786512,1.603974,0.733022,0.555761,0.098423,-0.975522,1.627995,-1.191285,-0.809842,1.338902,-0.73328,0.542037,-0.82263,-1.447385,-0.473265,-0.120195,-0.844036,1.226261,1.137986,-1.397085,1.688833,-0.729869,-1.380615,-0.312592,1.069366,-0.418597,-1.065691,1.53412,-1.286481,-1.513712,1.172955,-1.555785,-1.135525,-0.753411,0.125659,1.229778,1.426271,1.560825,-0.471941,1.597106,-0.906858,-1.685128,-1.33224,0.786501,1.47864,1.621262,-0.335852
-2.312403,-1.669046,-1.468395,0.039721,-0.41673,0.605054,0.047428,-0.701954,0.427513,0.951305,-1.606951,0.494956,-1.451685,-0.361604,-1.559023,0.649382,-0.875777,0.85704,-0.137469,1.60676,0.302251,0.263241,-0.970806,-0.194605,0.699004,0.800834,-0.433726,0.027152,-0.173504,-0.717368,1.703788,1.54631,1.059207,-0.345622,0.347268,-0.999387,1.631731,-1.502954,1.060422,1.161486,1.21517,1.276269,-0.01022,-0.115977,-0.032806,0.229328,1.075737,-0.006575,0.332126,0.881989,-1.476698,-0.799281,-0.83808,-1.389861,-1.558448,-0.963948,-0.43358,-0.356109,0.223324,-0.145342,0.172834,0.558136,0.395956,1.42767,-1.368554,0.471009,-1.115724,-1.644095,-0.377244,-1.563075,1.565354,1.024663,0.795616,1.145148,-1.016799,0.980563,0.736031,-1.13816,-0.215466,-0.677386,1.526919,-0.343142,-0.428266,0.135532,-0.399041,-0.720419,1.640203,1.454448,-1.496855,0.349876,-1.228503,-0.152683,0.382708,-1.385634,-1.457901,0.931516,-0.455367,-1.550621,-1.212854,0.836314
-1.314635,-1.467091,-0.375772,1.408714,-0.439537,-0.025108,1.340597,0.437197,-0.903277,-0.795416,-0.342759,0.443767,0.405319,0.027203,-1.639681,-1.396709,1.346787,0.336875,-0.459598,1.506176,-0.82559,-1.158048,-0.424877,-1.166606,0.984637,0.026751,0.5298,-0.124853,1.51323,1.290232,-1.392582,1.022843,0.47716,-0.762463,0.733095,0.106035,0.74553,0.455445,1.000927,-0.353881,0.53231,1.126258,-1.075442,1.16212,-0.292747,1.579603,-0.78121,0.572729,0.841363,-0.024389,-1.16417,-1.406457,0.18097,-0.382489,1.17069,0.147699,0.869016,-1.391845,-1.486009,-0.54639,-0.836044,0.485266,1.097535,0.828704,-1.497298,0.811319,0.913877,-0.263102,-0.492068,0.263473,1.110783,-0.47606,-0.789152,-1.292442,-0.273896,-1.633909,-0.477713,-1.169746,-0.205753,-1.45352,-0.885215,0.848777,1.70643,0.363874,0.986086,0.236056,-0.852862,1.342095,-0.346359,-0.812134,0.849912,-1.283192,-0.879707,1.137199,0.934359,-0.627632,-1.377031,-1.287763,0.316746,-1.69312
1.397294,0.689834,-0.650892,-1.109656,-0.734909,-0.980796,-1.456305,-0.866377,-0.484875,-1.644901,-0.80571,0.6489,0.932345,1.383059,1.091668,1.637736,-0.782894,1.634232,1.221617,-1.163316,1.565425,-1.566422,0.287856,1.111139,0.945049,-0.901861,-1.36914,-0.806569,-1.695488,1.002318,0.794473,-1.534549,1.369321,-0.240188,1.65115,0.354243,1.724175,1.142872,0.200096,-1.482766,0.866332,0.198569,-1.256294,1.3303,1.433716,-0.032147,-0.860104,0.277964,-0.520932,0.063326,1.382951,0.615916,-0.893903,0.154853,1.287228,0.131002,1.145829,-0.191232,-0.401831,-1.036877,-1.423338,-1.728129,-1.153698,1.023923,-1.301275,1.661259,-0.459909,0.477214,-1.196552,0.172593,-0.464714,-1.203723,-1.482262,0.244379,0.861997,-0.622457,-0.725207,-0.282035,-0.193391,1.409563,-1.066113,0.205885,0.643438,-0.368394,-0.259746,1.658539,-0.52128,0.809579,0.097144,0.04361,-0.757897,0.783834,-1.687223,0.583521,-1.626723,-0.073351,-0.165413,-1.065715,-0.512307,-0.28599
0.594513,1.479974,2.423691,1.489719,2.437372,0.223439,0.123609,1.092675,-0.917232,0.394871,0.796376,-0.005319,-1.431007,0.758616,1.596128,-1.128864,1.600951,-1.5099,1.518432,0.92499,-0.292896,-1.399302,1.620524,-1.209884,-1.565436,0.20385,0.18857,-0.237667,-1.100142,0.587562,-0.307051,1.245734,-1.021854,1.505595,-0.793981,1.057502,0.984252,0.756197,0.841051,-0.523026,-0.385495,0.464166,-0.537656,1.649227,-1.790414,-0.80491,1.582961,1.507541,1.255703,0.355337,0.548728,1.256473,-0.407783,-0.166018,-1.76952,0.554904,0.008435,0.318025,0.479219,1.615463,-0.777921,1.474057,-1.346158,-1.159704,0.899923,-1.356444,-0.712424,-1.045814,-1.622585,0.155306,1.285558,0.443036,0.54105,0.565722,1.530855,-1.626539,1.399439,0.74827,0.05106,1.33131,-0.231902,-0.721139,1.404207,1.543819,0.590089,0.388132,1.009719,-1.062761,-0.743186,1.736256,0.221825,-1.040139,0.23583,0.880089,-0.746378,0.060616,-0.721171,-0.344613,-0.515971,-0.247863
