f1,f2,f3
157,1,0.69
268,10,2.4
209,2,1.1
134,0.1,0.1
21,0.1,0.1
28,7,2.08
150,25,3.26
221,12,2.56
225,18,2.94
264,2,1.1
46,24,3.22
169,2,1.1
195,0.1,0.1
237,0.1,0.1
39,22,3.14
99,0.1,0.1
132,0.1,0.1
114,1,0.69
212,1,0.69
179,5,1.79
127,4,1.61
182,0.1,0.1
107,6,1.95
200,0.1,0.1
248,1,0.69
108,7,2.08
192,0.1,0.1
112,0.1,0.1
103,11,2.48
169,2,1.1
136,0.1,0.1
126,0.1,0.1
256,0.1,0.1
39,57,4.06
220,0.1,0.1
63,1,0.69
186,0.1,0.1
159,0.1,0.1
166,1,0.69
75,1,0.69
32,1,0.69
237,5,1.79
148,44,3.81
127,0.1,0.1
189,4,1.61
138,10,2.4
145,0.1,0.1
182,14,2.71
214,17,2.89
226,0.1,0.1
4,106,4.67
138,1,0.69
103,1,0.69
253,4,1.61
81,16,2.83
169,3,1.39
180,7,2.08
235,7,2.08
54,1,0.69
188,0.1,0.1
239,0.1,0.1
263,7,2.08
168,0.1,0.1
276,99,4.61
19,0.1,0.1
240,75,4.33
118,10,2.4
128,1,0.69
37,7,2.08
147,3,1.39
100,1,0.69
48,1,0.69
158,14,2.71
191,1,0.69
189,0.1,0.1
13,6,1.95
209,75,4.33
165,0.1,0.1
86,8,2.2
78,0.1,0.1
25,15,2.77
107,3,1.39
4,34,3.56
65,0.1,0.1
62,8,2.2
89,0.1,0.1
44,77,4.36
