weeks,cells_percentage
11,33
13,49
19,46
25,42
28,68
31,55
33,38
36,23
41,32
45,41
48,50
50,54
52,30
54,30
56,32
58,18
62,36
14,34
17,26
23,21
26,11
29,19
31,20
34,13
37,17
41,17
43,16
45,21
47,16
49,21
54,16
10,7
13,4
16,9
18,53
20,15
21,44
23,53
25,49
27,63
28,61
30,70
32,61
34,72
36,81
38,78
40,84
10,24
12,27
14,26
18,15
20,16
22,15
24,11
26,11
28,19
30,21
32,10
36,14
38,17
40,15
44,5
46,8
48,15
49,9
10,81
12,61
14,55
16,65
18,59
21,79
23,67
26,53
29,58
31,61
33,40
37,47
39,56
41,36
43,32
51,48
57,24
60,26
10,43
14,41
19,26
23,14
28,22
29,10
35,6
38,17
41,15
44,11
47,17
50,8
56,13
60,12
62,14
0,52
16,55
34,60
58,50
96,46
98,61
176,51
245,45
263,37
265,48
267,46
269,42
271,41
274,45
278,40
0,72
1.5,64
9,75
13,72
58,67
86,55
142,51
0,46
1.5,36
9,46
13,52
27,42
51,25
86,30
93,39
142,32
0,31
1.5,53
9,45
13,21
58,25
86,31
142,32
0,58
15,58
91,48
95,51
