f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
-1.79E-01,-2.07E-01,-0.20971,-0.09726,-0.11921,-0.17322,-0.28076,0.22317,0.41866,-0.032886,0.0033827,-0.33425
-1.47E-01,-1.65E-01,0.24987,-0.073985,0.49494,-0.15633,-0.28891,0.5008,-0.045553,0.050759,-0.017511,0.066959
-1.31E-01,5.18E-01,0.43281,0.39789,0.043127,0.5632,-0.013246,-0.062833,-0.88339,-0.040303,0.088057,0.6312
6.49E-01,4.19E-01,0.14835,0.33349,-0.21974,0.39891,0.59065,0.0771,-1.1072,-0.36723,0.36468,0.57172
-4.06E-01,1.15E-01,0.073336,0.070066,-0.03092,0.15205,-0.19142,-0.58043,-0.10225,0.15375,-0.12695,0.18457
2.78E-01,3.10E-01,0.20663,0.055255,0.16288,0.17356,0.60732,-0.72565,-0.12646,0.33921,-0.29753,0.36024
-2.63E-02,2.62E-01,0.58581,0.54649,0.52144,0.21358,0.25106,-0.65032,0.26911,-0.041832,0.05272,-0.40948
2.82E-01,8.50E-02,0.43229,0.33562,0.49559,0.0108,0.40718,-0.33729,-0.252,-0.74162,0.64753,-0.52111
9.64E-01,-3.36E-03,-0.86876,-0.76013,-0.78482,-0.21668,0.84748,0.49843,0.094435,0.14669,-0.12851,0.057451
8.19E-01,3.32E-01,-0.59413,-0.76517,-0.65296,0.13226,0.72883,0.45269,0.25206,-0.12098,0.10376,-0.33129
1.21E-01,-1.25E-02,0.23769,0.01501,0.24272,0.060151,-0.038016,-0.13711,-0.066597,0.015968,-0.0028463,0.060713
4.61E-01,4.65E-01,0.93117,0.88999,0.68771,0.45577,0.48605,-0.14595,-0.47858,-0.4528,0.39988,0.014783
-2.28E-01,-4.22E-02,0.56279,0.29118,0.65198,-0.014788,-0.08006,-0.32186,-0.21905,-0.48214,0.41296,-0.28092
-6.60E-01,2.01E-01,0.40465,0.29754,0.23683,0.29286,-0.41675,-0.56583,-0.027265,-0.066083,0.034435,-0.026652
-1.78E-01,-3.32E-01,-0.22153,-0.43216,0.075834,-0.3139,-0.35746,0.29253,-0.17256,-0.42951,0.38425,-0.19363
-6.25E-03,-9.05E-01,-0.55939,-1.015,0.32723,-1.0508,-0.064957,0.245,0.37,-0.068241,0.048632,-0.35564
5.40E-01,6.93E-01,0.13401,0.72406,-0.6858,0.82868,0.37774,-0.26206,0.22456,-0.11229,0.077138,-0.24553
2.93E-01,9.90E-01,0.40982,0.82822,-0.41909,1,0.41545,0.049601,0.68567,0.40031,-0.35724,-0.2629
-1.28E-01,2.47E-02,0.070916,0.20642,-0.10484,0.17115,-0.30479,-0.033722,0.23421,0.18663,-0.16351,-0.0043452
3.58E-01,3.48E-01,0.0433,0.070895,-0.18527,0.30925,0.42525,-0.28421,1,0.85432,-0.75554,-0.13273
5.74E-01,-2.60E-02,0.0059303,-0.16288,0.3298,-0.28874,0.78627,0.048731,0.86226,0.39239,-0.3613,-0.39441
6.00E-01,-8.68E-02,0.39935,-0.037594,0.7323,-0.22468,0.57632,0.10743,0.53764,-0.099066,0.038245,-0.41394
-8.13E-01,-8.96E-01,-0.016994,-0.44328,0.65821,-0.76347,-0.96419,-0.096731,0.054158,0.18133,-0.12621,0.016397
-4.06E-01,-3.24E-01,0.12453,-0.14796,0.38672,-0.28487,-0.29948,-0.22222,0.19134,0.70321,-0.58735,0.31892
3.56E-01,1.20E-01,0.035551,0.22286,-0.11199,0.099171,0.2774,0.3632,0.57304,0.34375,-0.29875,-0.17954
3.78E-01,-2.75E-01,-0.14337,-0.33985,0.16217,-0.34524,0.2431,0.16193,0.75394,0.30457,-0.27613,-0.33097
-6.24E-01,-5.51E-01,0.0035105,-0.18136,0.44797,-0.49882,-0.52377,-0.64549,-0.043079,0.0014606,-0.001456,0.00078916
-7.37E-01,-4.56E-01,-0.52774,-0.47901,-0.19999,-0.46912,-0.49773,-0.54589,-0.29213,-0.36946,0.28735,-0.07464
2.13E-01,-4.89E-03,-0.31752,-0.21875,-0.33942,-0.0033553,0.027455,0.135,-0.20969,-0.27698,0.24434,-0.042001
-6.87E-02,4.71E-01,-0.28672,-0.011328,-0.80815,0.55047,-0.19517,0.43574,0.43903,0.13174,-0.11102,-0.25916
1.40E-02,2.06E-01,0.1981,0.000233,0.013202,0.28497,-0.057997,-0.1417,-0.23566,0.27702,-0.23413,0.45626
-7.63E-01,6.58E-02,-0.010893,0.2687,-0.27017,0.23872,-0.75897,-0.10965,-0.34846,-0.33052,0.27336,0.10006
2.03E-02,-7.60E-02,-0.63034,-0.49682,-0.44102,-0.22965,0.11399,0.038331,-0.22125,-0.63248,0.52313,-0.26642
-5.54E-02,1.78E-01,-0.34092,-0.23388,-0.49273,0.1547,-0.018609,0.094689,-0.05668,0.14189,-0.13025,0.19212
4.46E-01,3.84E-01,0.14877,0.63854,-0.27498,0.41201,0.18946,1,0.78605,0.65022,-0.57912,-0.065822
7.42E-01,4.83E-01,-0.16571,0.26462,-0.49121,0.32778,0.70852,0.8351,0.6366,0.63527,-0.57822,0.041692
4.91E-01,-3.52E-01,-0.20838,-0.1247,0.089263,-0.41729,0.37017,-0.31768,0.63013,0.13456,-0.096455,-0.52551
3.29E-01,-1.47E-01,-0.38683,-0.24355,-0.28285,-0.2109,0.21471,0.20701,0.24039,-0.027824,0.02999,-0.2625
3.89E-01,2.24E-01,-0.91208,-1.1074,-0.80474,-0.04202,0.51315,0.20566,0.59533,0.47762,-0.39719,-0.11988
-2.87E-01,4.13E-01,-0.66205,-0.80608,-0.88434,0.32156,-0.064677,-0.033885,0.34148,0.35127,-0.285,-0.038131
5.54E-01,-6.38E-02,-0.26414,0.11277,-0.33695,-0.064323,0.18942,0.99771,0.2226,-0.10899,0.069032,-0.076432
9.69E-01,8.62E-02,-0.12021,0.26143,-0.19613,-0.0098443,0.79458,0.2492,0.26205,0.46033,-0.4003,0.20177
5.58E-01,1.20E-01,0.35626,0.62037,0.15961,0.16768,0.27651,0.54844,-0.25772,-0.37108,0.34911,-0.070629
2.47E-01,5.67E-02,0.606,0.45417,0.65759,0.019882,0.22097,0.51108,-0.19738,-0.15559,0.13971,0.066175
2.58E-01,-3.83E-01,-0.02103,-0.17375,0.21214,-0.3061,-0.11443,0.27159,-0.25626,-0.45569,0.39123,-0.13152
-9.62E-02,-7.14E-01,0.28605,-0.18962,0.9486,-0.72187,-0.16316,-0.012709,-0.17905,-0.13467,0.134,0.0022641
6.42E-01,-4.90E-02,-0.13654,-0.21436,-0.033905,-0.13646,0.45926,0.47284,-0.47449,-0.43589,0.35164,0.11428
2.09E-01,-3.55E-01,0.31046,0.18058,0.66232,-0.381,-0.019431,0.71391,-0.36977,-0.93727,0.77786,-0.34012
-2.89E-01,-4.80E-02,0.64954,0.20301,0.82824,-0.031554,-0.13786,-0.18661,0.5622,0.60462,-0.53196,0.011516
4.59E-01,6.69E-03,0.50555,0.27289,0.50647,0.059486,0.21157,0.28914,-0.59538,-0.34308,0.31344,0.191
1.09E-01,2.72E-01,-0.37119,0.30767,-0.883,0.38652,-0.07297,0.13645,0.11248,0.10162,-0.078158,0.0077053
9.75E-01,7.94E-01,-0.20103,0.34694,-0.90383,0.72092,1,-0.32023,-0.4408,0.2186,-0.14996,0.46898
-6.79E-01,6.00E-01,0.66062,0.8212,0.12427,0.75714,-0.56817,-0.022857,0.43182,0.24002,-0.20843,-0.12321
-9.38E-01,1.10E-01,0.62036,0.33672,0.67177,0.15943,-0.75701,0.21452,0.55672,-0.10568,0.050288,-0.43655
-2.55E-01,-4.97E-02,0.074905,0.026031,0.19394,-0.095382,0.026131,-0.66914,-0.36642,-0.012091,-0.0083595,0.3288
-6.25E-01,5.13E-01,0.1894,0.43205,-0.28214,0.58045,-0.23147,-0.7311,0.030642,0.54783,-0.4874,0.46052
-1.47E-02,-5.30E-01,-0.039628,-0.84633,0.67986,-0.6588,0.022067,-0.014206,-0.070158,0.10131,-0.066022,0.069655
-1.49E-01,2.19E-01,0.020754,-0.10511,-0.070021,0.18778,0.031419,-0.23505,0.085538,0.32329,-0.2895,0.19569
-3.52E-01,-2.74E-01,-0.3483,-0.79662,-0.15937,-0.19144,-0.52412,0.14331,0.42387,0.19384,-0.1615,-0.196
-1.25E-01,-8.88E-01,0.040125,-0.72326,0.79727,-0.86209,-0.33343,0.41008,-0.24276,0.12511,-0.06684,0.24161
9.75E-03,-4.35E-01,-0.037979,-0.30924,0.33629,-0.4155,-0.1002,-0.27457,-0.6707,-0.32523,0.31711,0.25383
-7.47E-01,-6.80E-01,-0.1477,0.0007966,0.21018,-0.56256,-0.70805,-0.36788,-0.70741,-0.10145,0.10287,0.51436
-2.63E-01,-3.37E-02,0.19978,0.26989,0.23871,-0.03757,-0.17441,0.19971,-0.55424,-0.35366,0.31229,0.16212
1.84E-01,-5.20E-01,0.14767,-0.33744,0.68638,-0.61924,0.35331,-0.41071,-0.97744,-0.018126,0.047417,0.72277
3.00E-01,-1.20E-01,-0.05663,-0.031266,0.1028,-0.23506,0.3423,0.37248,-0.088585,-0.46233,0.38207,-0.26037
1.00E+00,7.47E-02,-0.2721,0.044988,-0.33791,-0.022484,0.80169,-0.009334,-0.4626,-1.1057,0.92205,-0.45033
-1.52E-01,5.97E-01,0.14833,0.55739,-0.49566,0.70595,0.0010534,-0.6444,0.36821,0.1684,-0.18926,-0.10929
-7.16E-01,2.31E-01,0.24042,0.22922,-0.039318,0.39194,-0.61702,-0.47685,0.34128,0.092268,-0.1117,-0.14109
3.01E-01,1.63E-01,-0.64504,-0.44014,-0.88549,0.16463,0.1852,-0.056038,0.66507,0.79462,-0.65225,0.02045
-2.36E-01,-1.98E-01,-0.36531,-0.41347,-0.18178,-0.22667,-0.21286,0.030467,0.2041,0.26502,-0.2021,0.0011137
-1.07E-01,9.18E-01,0.23937,0.59632,-0.44006,0.86403,0.30011,-0.38855,0.21295,0.17943,-0.12669,-0.16528
-1.33E+00,4.77E-01,0.25801,0.31696,-0.1547,0.63507,-0.96759,-0.71409,0.62105,0.63737,-0.52572,-0.11892
-2.02E-01,1.37E-01,-0.11549,-0.32568,-0.001633,-0.016603,0.087557,-0.011485,0.04962,-0.34822,0.27733,-0.32612
-3.97E-02,1.52E-01,-0.29121,-0.10321,-0.39136,0.060044,0.20798,-0.22665,0.38294,0.25886,-0.23099,-0.15704
-2.33E-01,-1.27E-01,0.41625,0.19875,0.61667,-0.13694,-0.16823,0.10725,0.56206,0.11039,-0.10064,-0.40955
1.31E-01,2.70E-02,0.23748,-0.10335,0.49426,-0.10646,0.27737,-0.23999,0.78443,0.22239,-0.19996,-0.50496
-4.58E-01,-4.00E-01,-0.14458,-0.4325,0.086964,-0.27686,-0.66429,0.27989,-0.062158,-0.078413,0.069614,0.021316
-5.09E-02,-8.64E-02,0.064319,-0.14147,0.085771,0.018399,-0.29352,0.093983,0.30918,-0.15092,0.11289,-0.30504
-3.41E-01,-3.45E-01,0.10165,-0.27984,0.43791,-0.30819,-0.46573,0.32657,-0.45646,-0.63705,0.53893,-0.058928
-2.74E-01,-1.00E+00,-0.54814,-1.0859,0.21302,-0.94204,-0.67525,0.64821,-0.7455,-0.41391,0.35325,0.39543
-3.51E-01,9.63E-02,0.25055,0.21386,0.079608,0.27,-0.62198,0.3287,0.5533,0.019974,-0.012979,-0.38608
4.06E-02,1.51E-01,0.25239,0.46794,-0.036987,0.27588,-0.28259,0.9608,-0.58525,-1.0627,0.93014,-0.31918
-1.39E-01,3.65E-01,0.12406,0.77089,-0.43167,0.52273,-0.31029,0.44554,-0.59009,-0.84027,0.71966,-0.070515
2.64E-01,6.79E-01,-0.03317,0.70355,-1.0475,0.9736,-0.22612,0.48654,0.32616,0.39366,-0.28189,-0.01256
4.99E-01,-8.04E-02,0.31429,0.11138,0.53456,-0.19192,0.6081,-0.402,-0.061734,-0.087725,0.068434,-0.030372
7.01E-01,-2.45E-01,0.14019,-0.017159,0.47359,-0.39034,0.70116,0.0149,-0.43974,-0.48201,0.38535,0.062836
8.04E-02,-6.31E-01,-0.15661,-0.17755,0.31831,-0.62741,-0.1577,0.35696,0.1662,-0.20586,0.14678,-0.21326
1.26E-02,8.35E-02,0.59626,1,0.37848,0.1457,0.2171,-0.55596,0.53507,0.39757,-0.38309,-0.14064
-5.15E-01,8.68E-02,-0.38881,-0.64284,-0.38562,0.091563,-0.4981,0.26624,-0.31386,-0.32063,0.25756,0.069917
1.55E-01,1.98E-01,-0.14908,0.020495,-0.17036,0.041065,0.40003,-0.025027,0.66941,0.53465,-0.47574,-0.10563
6.25E-01,4.51E-02,-0.25712,0.017442,-0.27089,-0.078603,0.57986,0.32923,0.07863,-0.025246,0.010915,-0.057755
4.45E-01,-1.85E-01,-0.52795,-0.14426,-0.59485,-0.14581,0.15915,0.29632,0.066774,0.19593,-0.17013,0.16604
-2.66E-01,5.81E-01,0.2547,0.37903,-0.1631,0.55455,0.21399,-0.88275,-0.72675,0.22396,-0.18088,0.71741
-4.90E-01,5.77E-01,0.18151,0.20012,-0.19942,0.54698,0.018037,-0.7971,-1.415,-0.026412,0.077569,1
-1.17E-01,-8.14E-02,-0.37479,0.0038418,-0.53532,0.020666,-0.29141,0.15555,0.17182,0.11565,-0.1041,-0.032125
2.18E-01,7.15E-02,0.033231,-0.11271,0.073063,0.039341,0.032274,0.55589,-0.14118,-0.29066,0.28683,-0.174
-7.54E-01,-8.38E-01,-0.66487,-0.96168,0.080456,-0.91636,-0.63216,0.21499,-0.20693,-0.14776,0.10993,0.10175
-1.88E-01,-5.47E-01,-0.070795,-0.29519,0.24276,-0.42923,-0.48623,0.45015,-0.14586,0.040647,-0.04363,0.18286
2.09E-02,-2.67E-01,-0.26369,-0.44118,0.050304,-0.37831,0.1428,0.018981,0.20045,0.04347,-0.056521,-0.12734
-1.68E-01,-1.61E-01,0.032007,0.040236,0.13349,-0.11975,-0.29302,0.30586,-0.49597,-0.44144,0.4022,0.05019
5.63E-01,4.84E-02,0.090836,0.21251,0.13027,-0.067413,0.57934,0.17318,0.57083,0.12186,-0.136,-0.32648
5.70E-01,-3.20E-01,0.26236,-0.1652,0.75822,-0.48564,0.54075,0.36154,0.31662,0.00041923,-0.023371,-0.19713
2.71E-01,4.54E-01,-0.29669,-0.21463,-0.60176,0.37774,0.36462,-0.098186,0.56136,0.39509,-0.36726,-0.11186
-4.82E-01,3.44E-01,-0.62436,-0.75435,-0.80838,0.28018,-0.23729,-0.10163,0.88105,0.77408,-0.67198,-0.13967
-4.46E-01,-1.67E-01,-0.3337,0.037943,-0.41659,-0.038114,-0.62625,0.33394,-0.8427,-0.15465,0.19491,0.52112
-1.29E-01,-2.92E-01,-0.062801,-0.22818,0.17183,-0.28443,-0.17241,0.083305,-0.82028,-0.36701,0.34442,0.31492
-5.15E-01,6.32E-01,0.26332,0.31588,-0.21086,0.68763,-0.23399,-0.54362,0.40349,0.0084123,-0.04257,-0.30762
2.48E-01,3.19E-01,-0.1594,0.13743,-0.6511,0.46319,0.14462,-0.73971,-0.37772,-0.00093878,0.0017287,0.27956
-6.79E-01,-3.68E-02,-0.18601,0.13875,-0.38403,0.1308,-0.67209,-0.44093,-0.41634,-0.22718,0.21027,0.14596
-2.03E+00,-3.74E-01,-0.038523,0.20834,0.087447,-0.20622,-1.489,-0.96393,-0.47887,-0.63249,0.52724,-0.13956
-4.27E-01,-4.59E-01,-0.23525,0.11849,-0.20632,-0.27183,-0.71013,0.51291,-0.60181,-0.11146,0.14929,0.35375
-1.67E+00,-1.00E+00,-0.089985,-0.54556,0.63478,-0.84512,-1.651,0.43848,-0.15217,0.080638,-0.032242,0.14178
2.85E-01,3.35E-01,-0.063525,-0.30297,-0.085579,0.21858,0.28942,0.02513,0.39539,0.22997,-0.16726,-0.23671
4.98E-01,-1.87E-01,0.1742,-0.26179,0.56263,-0.32682,0.58529,-0.46772,-0.15347,0.16883,-0.12842,0.21727
-2.88E-01,1.55E-01,0.73964,0.23138,0.91331,0.083101,-0.093932,0.26179,0.16296,0.38338,-0.27291,0.060598
-3.98E-01,1.61E-01,1,0.63696,0.96583,0.27422,-0.42293,0.1319,0.34348,0.055806,-0.050002,-0.19122
4.52E-01,3.46E-01,-0.19567,0.19613,-0.56848,0.30438,0.45634,0.24498,0.93069,1,-0.88277,0.019237
7.05E-01,-5.31E-01,-0.084001,-0.36863,0.49063,-0.67493,0.63424,-0.16896,0.12623,0.22158,-0.21397,0.092718
5.79E-02,-2.39E-01,0.10415,-0.018956,0.43645,-0.35041,0.27003,-0.30977,0.46696,0.67257,-0.62995,0.25866
-1.04E+00,1.13E-01,0.071678,0.35082,-0.099634,0.17511,-0.59954,-0.67152,0.034449,0.21535,-0.21476,0.20977
1.12E-01,1.00E+00,-0.24805,0.10381,-1.0777,0.979,0.27342,-0.0129,-1.8637,-0.73233,0.70367,0.85593
4.02E-01,5.21E-01,-0.34313,0.12909,-0.94336,0.59776,0.18809,-0.079778,-0.74971,-1.212,1,-0.25355
5.77E-01,-6.90E-01,0.0013612,-0.31086,0.6901,-0.8527,0.66062,-0.4172,-0.25476,-0.23427,0.21321,-0.069527
-8.27E-01,-2.34E-01,-0.1542,-0.27695,-0.09226,-0.066378,-0.836,-0.51125,0.30271,0.19194,-0.17069,-0.083504
5.76E-02,6.65E-02,0.50308,0.32187,0.56045,0.0206,0.22145,-0.15223,-0.6641,-0.053704,0.062203,0.44576
-1.07E-01,-2.42E-01,0.018824,0.16483,0.14992,-0.23266,-0.12474,0.27887,-0.27168,0.03666,-0.0059607,0.2121
-8.64E-02,-1.14E-01,-0.16124,-0.55804,0.12671,-0.19442,-0.023637,-0.12907,-0.2091,0.081853,-0.033471,0.17802
-3.22E-01,1.82E-01,0.074902,-0.12816,0.091872,0.12344,-0.15783,0.16143,0.22004,0.07262,-0.051162,-0.13181
-5.57E-02,-2.54E-01,0.0035673,-0.20441,0.11858,-0.1706,-0.16074,-0.1079,0.49943,0.39723,-0.37436,-0.035704
-2.59E-02,-4.01E-02,-0.24034,-0.4637,-0.10137,-0.096433,0.0058838,-0.10258,-0.024743,-0.17682,0.14438,-0.092003
4.11E-01,4.39E-01,0.34835,0.53838,-0.038496,0.41615,0.56955,-0.2183,-0.28671,-0.11472,0.080808,0.17301
4.59E-01,-5.91E-01,0.25277,-0.26535,1,-0.76061,0.55313,-0.40006,-0.8536,-0.23317,0.22709,0.46238
1.14E-01,-5.12E-02,0.7061,0.7413,0.70137,0.032429,0.0043078,0.056379,0.26248,0.49233,-0.40977,0.14655
-3.91E-01,3.56E-01,-0.18178,-0.027863,-0.48236,0.38834,-0.35438,0.17493,0.66536,0.23541,-0.20351,-0.34618
5.82E-01,-4.50E-02,-0.19187,-0.012795,-0.37745,0.042399,0.29406,0.017011,0.28906,0.49668,-0.43783,0.16517
1.76E-01,1.02E-02,-0.13077,0.026617,-0.19456,-0.0050845,0.12866,0.24519,0.054155,-0.014689,0.046938,-0.14263
1.14E-01,-5.12E-02,0.7061,0.7413,0.70137,0.032429,0.0043078,0.056379,0.26248,0.49233,-0.40977,0.14655
-3.91E-01,3.56E-01,-0.18178,-0.027863,-0.48236,0.38834,-0.35438,0.17493,0.66536,0.23541,-0.20351,-0.34618
5.82E-01,-4.50E-02,-0.19187,-0.012795,-0.37745,0.042399,0.29406,0.017011,0.28906,0.49668,-0.43783,0.16517
1.76E-01,1.02E-02,-0.13077,0.026617,-0.19456,-0.0050845,0.12866,0.24519,0.054155,-0.014689,0.046938,-0.14263
3.92E-01,-1.27E-01,0.16642,0.28396,0.12976,-0.0588,0.086254,0.4974,-0.17728,-0.40972,0.33043,-0.077995
7.21E-01,3.04E-01,-0.12744,0.070148,-0.38114,0.21582,0.78517,-0.12819,0.24596,0.26766,-0.26945,0.059474
-4.67E-01,-6.20E-02,-0.36059,-0.2627,-0.4015,0.0036027,-0.4092,-0.39695,-0.27627,0.074153,-0.047587,0.24501
-1.15E-01,4.40E-01,-0.13706,0.17796,-0.62787,0.50379,-0.037866,-0.14075,0.22533,0.0016975,-0.022509,-0.17527
3.30E-01,-1.12E-01,0.075501,0.54228,0.021913,-0.086602,0.18127,0.28386,-0.36513,0.12564,-0.090061,0.42493
4.21E-04,-3.60E-01,0.070146,0.37666,0.19483,-0.32573,-0.034903,0.16753,-0.016087,-0.023914,0.023827,-0.030424
-4.58E-01,-2.40E-01,-0.33706,-0.31257,-0.32192,-0.10749,-0.61389,0.067457,-0.79716,-0.8837,0.74126,0.021237
-2.10E-01,9.80E-02,-0.29864,-0.0013055,-0.47853,0.10043,-0.11274,0.047922,-0.40933,-0.75552,0.61391,-0.19902
7.31E-01,4.74E-01,0.16796,-0.0065152,-0.032151,0.39054,0.66198,-0.097159,-0.031626,0.22667,-0.18468,0.19471
-1.72E-01,3.51E-01,0.11158,0.36079,-0.20705,0.36392,-0.098918,0.35445,0.23747,0.089798,-0.066093,-0.15584
