f1,f2,f3,f4,f5,f6,f7
3.66356,7.74414,-4.4,4.2,0,18,19
3.04452,8.03398,-5.7,4.8,-0.3,69.1,9
3.71357,4.70048,-13.5,4.3,0.2,80,3
2.94444,7.5251,1.4,3,0.1,177,22
4.06044,7.7626,4.1,5.6,1.1,287,7
3.68888,7.88683,5.8,2.3,-0.1,200,9
3.3322,7.81521,2.7,1.9,0.4,228,7
3.3673,7.77779,7.1,8.9,0.2,220,15
2.07944,6.89163,4.1,2,0.1,183,9
1.94591,7.6774,1.1,5.2,0.1,43.1,10
3.3322,5.71373,-9,3.4,0,80,6
3.21888,8.33471,1.6,4.4,-0.3,78.1,16
1.09861,4.65396,-0.4,5.7,0.8,267,3
5.3845,7.38895,-4.8,6,0,81,20
3.93183,7.81763,-0.9,1.4,-0.3,236,15
3.3673,4.96981,-0.5,0.6,1.7,341.1,4
2.83321,7.80384,-1,1.8,0,16,7
3.04452,7.62168,-2.3,5.2,-0.1,66.1,12
2.99573,5.21494,5.8,2.6,-0.2,68.8,3
4.21951,7.64204,5.1,2.2,1.1,199,18
3.04452,7.77149,10.8,2.4,-1.5,329.8,13
3.7612,8.31385,12.2,4,-2.8,230.4,17
3.58352,7.63964,-2.8,2.1,-1.6,210.2,11
2.48491,7.05531,11.2,3.3,2.3,302.8,23
2.48491,7.38275,13.6,0.6,-0.8,159.8,11
3.3322,7.56786,-12.3,3.7,-0.2,70,12
3.13549,7.92226,4.2,1.4,0.2,161,7
2.07944,7.38771,-2.8,4.5,0.1,53.3,21
3.68888,7.4793,3.4,7.2,0.5,209.1,12
2.99573,3.97029,-11.7,2.7,1.7,81,4
3.98898,8.05102,-2.5,3.2,0.1,83,9
3.04452,6.67834,3.9,4.8,-0.6,66.8,8
3.55535,7.34601,3,1.4,1,200,21
1.79176,7.54062,0,6.1,-0.2,207.5,19
3.04452,4.82028,-2.6,2.1,0.7,72.8,4
2.56495,7.80057,1,2.2,0,99,7
4.36945,7.41878,-0.2,1.1,3.2,138,22
3.46574,7.96032,7.7,4.8,-0.2,66,17
4.60517,8.23669,10.7,5.3,-0.9,205,17
3.09104,8.30721,9.3,7.3,-0.5,206,17
4.15888,8.26333,9.5,5,-0.9,208,17
1.79176,7.50329,1.6,4.5,0.1,117,19
2.48491,6.49527,-3.4,0.5,1.1,217,6
3.21888,7.74414,-1.3,4.2,-0.2,59,15
3.73767,6.75577,-3.2,2.6,0.6,70.5,21
4.2485,6.51915,-1.8,2.3,1.1,81,23
3.8712,4.77068,-0.5,0.5,0.7,358,4
4.00733,7.88721,7.6,4,-0.6,180,13
2.94444,5.42053,3.4,2.9,0.4,74.7,3
3.09104,3.80666,7.4,3.2,-0.1,225,3
1.94591,4.8752,-3.5,3.8,-0.1,60.5,3
3.52636,8.25088,19.8,4.8,-1.9,260,17
3.8712,7.85516,16.3,3.4,-0.1,225.3,20
2.99573,8.25427,-7.3,5,0,60,8
4.07754,7.36201,-0.6,0.8,1.1,88.3,21
3.21888,7.59388,-0.4,4.5,-0.2,64.6,13
3.49651,8.35208,17.8,5,-2.5,219.6,16
3.2581,4.62497,-1.9,2.2,2.2,268,4
2.99573,7.39879,-10,3.8,-0.1,78.4,20
2.70805,6.48616,-1.3,2.9,0.7,63.3,24
3.09104,6.20456,4.7,1.5,1.1,104.4,1
4.06044,7.64348,0.3,1.5,-0.3,172,13
3.61092,7.59337,8.8,2.2,0,186,21
2.56495,6.43455,-9.3,3.6,0.1,71.2,9
1.60944,7.00033,-2.4,5.8,0,61,22
5.0876,7.49499,2.9,1.2,2.1,271.1,21
2.30259,7.80221,2.5,5,0.1,135,7
3.2581,7.55276,13.4,3.9,0.3,216.8,19
3.66356,6.82979,-15.5,3.1,0.2,70.3,22
3.04452,7.49053,-1.6,2.2,-0.9,211.7,12
3.4012,7.59035,0.1,2.6,-0.1,73,11
3.04452,5.51745,-2.8,0.5,2.2,5,5
3.4012,8.18619,-0.9,1.3,0.6,57,8
3.55535,5.95842,-10.3,1.2,2.5,86,24
3.97029,7.55276,-4.1,0.7,-0.7,264.8,13
4.72739,7.77022,-3.8,4.9,-0.2,68,7
4.30407,7.99834,8.2,5.6,-0.6,210,15
2.56495,7.15305,-4.8,4.7,-0.1,74.6,23
3.78419,7.95997,-4.3,6,0.1,18,13
4.95583,6.57508,6.2,1.3,1.1,226,24
3.66356,7.88231,3.3,5.8,-0.1,46.9,19
5.26786,7.43603,-1,1.8,1.4,89,20
3.46574,4.95583,-4,1.7,1,65,2
2.07944,5.1299,7.8,1.6,1.7,184.3,4
3.3673,7.20638,-5.3,1.8,-0.2,80,13
3.29584,7.46107,2.2,3.1,0.1,62.3,13
2.19722,7.53209,14.8,4.2,-4.5,227.7,11
3.43399,8.13359,-4.8,1.5,0,196,17
3.2581,6.91771,12.8,1,0.3,103.5,24
2.83321,7.12206,-3.2,4.6,-0.1,62.2,12
3.63759,8.2845,0.7,0.8,-0.8,86,8
2.70805,7.56528,3.5,6.9,0.2,204.4,15
2.99573,7.65112,-6.8,2.2,-0.4,78.8,16
4.00733,7.67183,8.3,0.7,-1.3,206.2,14
3.43399,6.31173,-19,2.3,0.8,60.9,8
0.69315,7.0775,7,4,-0.2,54.3,10
3.52636,7.34148,-14.6,1.6,-0.4,228.9,14
2.63906,7.96346,3.6,3.2,1.2,268,18
1.94591,7.35116,3.5,1.9,0.2,215,20
3.71357,7.54115,5.2,0.9,-1,280,11
2.83321,6.64249,-8.3,2.6,0.2,60,23
3.43399,7.56579,0.6,3.8,-0.4,64.6,12
3.29584,8.1806,-0.5,0.7,-0.2,248,15
3.17805,7.60738,1,2.4,-0.1,192,13
4.81218,7.54327,-8,0.6,0.5,88,13
4.63473,8.20985,-3,1.5,2.7,89.6,8
3.04452,5.76205,5,3.2,0,58,6
3.8712,6.91274,-5.1,0.8,1.4,241,23
3.68888,8.19781,0.2,2.4,0.5,80,8
4.33073,7.6024,12.9,5.6,-0.8,46,13
4.61512,7.54327,2.6,2.6,-1.9,243,11
4.43082,7.70661,7.8,8,-1.2,33.7,13
3.4012,5.54518,-0.7,2,-0.3,254,1
2.48491,7.68432,7.7,1.5,-0.1,89,16
3.29584,7.90064,1.5,1.3,0.9,334.7,18
2.94444,7.76684,15.8,3.2,-0.2,125.5,17
3.3673,7.97797,4.3,5.7,-1,232,9
2.89037,7.89767,8.1,6.4,-0.5,199.4,7
4.90527,8.24065,11.6,6,-1.3,213,16
2.63906,7.07581,2.8,3.2,0.3,223,10
3.29584,7.7424,-4.4,4.9,-0.1,23,10
3.71357,6.97915,-5.1,3.3,1.4,81,23
4.39445,8.27741,2,2.5,-0.3,207.2,16
