f1,f2,f3,f4,f5,f6,f7,f8,f9
27,24,4,BUF,MIA,89,1,,
17,14,3,CHI,CIN,89,1,,
51,0,2.5,CLE,PIT,89,1,,
28,0,5.5,NO,DAL,89,1,,
38,7,5.5,MIN,HOU,89,1,,
34,20,6,DEN,KC,89,1,,
31,21,6,LAN,ATL,89,1,,
24,27,2.5,NYJ,NE,89,1,,
16,13,1.5,PHX,DET,89,1,,
40,14,3.5,LAA,SD,89,1,,
30,24,3,SF,IND,89,1,,
31,7,5.5,PHA,SEA,89,1,,
21,23,3,GB,TB,89,1,,
24,27,4,WAS,NYG,89,1,Monday_Night,
27,21,1.5,ATL,DAL,89,2,,
24,14,11,NYG,DET,89,2,,
34,27,4,HOU,SD,89,2,,
31,17,6,LAN,IND,89,2,,
24,19,2,KC,LAA,89,2,,
10,24,6,NE,MIA,89,2,,
38,7,0,CHI,MIN,89,2,,
34,35,4.5,NO,GB,89,2,,
38,24,7,CLE,NYJ,89,2,,
37,42,3,WAS,PHA,89,2,,
24,34,7,SEA,PHX,89,2,,
41,10,10,CIN,PIT,89,2,,
20,16,7.5,SF,TB,89,2,,
14,28,6.5,BUF,DEN,89,2,Monday_Night,
13,9,7.5,IND,ATL,89,3,,
41,47,3.5,HOU,BUF,89,3,,yes
47,27,7,CHI,DET,89,3,,
41,38,10,LAN,GB,89,3,,
21,6,2.5,SD,KC,89,3,,
31,21,6.5,DEN,LAA,89,3,,
14,27,8.5,MIN,PIT,89,3,,
10,20,2.5,NO,TB,89,3,,
33,40,4,MIA,NYJ,89,3,,
35,7,7.5,NYG,PHX,89,3,,
28,38,1.5,PHA,SF,89,3,,
3,24,3.5,NE,SEA,89,3,,
30,7,4.5,WAS,DAL,89,3,,
21,14,4,CIN,CLE,89,3,Monday_Night,
23,21,7,GB,ATL,89,4,,
21,17,5,CIN,KC,89,4,,
16,13,5.5,CLE,DEN,89,4,,
10,17,3,NYJ,IND,89,4,,
12,13,5,SF,LAN,89,4,,
39,7,7,HOU,MIA,89,4,,
31,10,7,BUF,NE,89,4,,
30,13,7,NYG,DAL,89,4,,
3,23,2.5,DET,PIT,89,4,,
13,24,4,PHX,SD,89,4,,
20,24,1,LAA,SEA,89,4,,
17,3,8,MIN,TB,89,4,,
16,14,1.5,WAS,NO,89,4,,
27,13,3.5,CHI,PHA,89,4,Monday_Night,
26,14,10.5,LAN,ATL,89,5,,
14,37,0,BUF,IND,89,5,,
35,42,4.5,CHI,TB,89,5,,
26,16,4,CIN,PIT,89,5,,
10,13,3.5,CLE,MIA,89,5,,
31,13,7,GB,DAL,89,5,,
24,17,12,MIN,DET,89,5,,
13,23,4,HOU,NE,89,5,,
16,20,7,SEA,KC,89,5,,
24,20,4,SF,NO,89,5,,
21,19,3,PHA,NYG,89,5,,
30,28,9.5,WAS,PHX,89,5,,
16,10,7,DEN,SD,89,5,,
7,14,3,NYJ,LAA,89,5,Monday_Night,
16,17,6,TB,DET,89,6,,
26,14,6.5,MIN,GB,89,6,,
28,33,7,CHI,HOU,89,6,,
14,3,5,DEN,IND,89,6,,
20,14,3,LAA,KC,89,6,,
13,20,7.5,CIN,MIA,89,6,,
16,15,2.5,ATL,NE,89,6,,
29,14,5.5,NO,NYJ,89,6,,
17,5,3.5,PHA,PHX,89,6,,
7,17,9,CLE,PIT,89,6,,
31,14,14,SF,DAL,89,6,,
16,17,0,SD,SEA,89,6,,
20,17,3,NYG,WAS,89,6,,
20,23,3.5,LAN,BUF,89,6,Monday_Night,
34,20,2,PHX,ATL,89,7,,
36,28,9,KC,DAL,89,7,,
21,24,3,SEA,DEN,89,7,,
23,20,3,MIA,GB,89,7,,
12,23,6.5,CIN,IND,89,7,,
10,7,6.5,PHA,LAA,89,7,,
20,7,7.5,MIN,DET,89,7,,
37,20,11,SF,NE,89,7,,
21,40,7,LAN,NO,89,7,,
20,13,4,NYG,SD,89,7,,
34,3,7,BUF,NYJ,89,7,,
27,0,10,HOU,PIT,89,7,,
32,28,8,WAS,TB,89,7,,
27,7,1,CLE,CHI,89,7,Monday_Night,
20,13,7,NO,ATL,89,8,,
23,20,6.5,GB,DET,89,8,,yes
28,17,2.5,CLE,HOU,89,8,,
23,17,2,PIT,KC,89,8,,
20,10,2.5,CHI,LAN,89,8,,
31,17,4,BUF,MIA,89,8,,
20,23,6,IND,NE,89,8,,yes
24,28,3,DEN,PHA,89,8,,
19,10,4,PHX,DAL,89,8,,
10,7,6,SEA,SD,89,8,,
23,10,8.5,SF,NYJ,89,8,,
56,23,6.5,CIN,TB,89,8,,
24,37,2,WAS,LAA,89,8,,
24,14,2,NYG,MIN,89,8,Monday_Night,
28,30,3,BUF,ATL,89,9,,
13,14,3,CHI,GB,89,9,,
7,28,1.5,CIN,LAA,89,9,,
42,31,3,CLE,TB,89,9,,
35,31,10,HOU,DET,89,9,,
19,13,3,MIA,IND,89,9,,
23,21,4.5,MIN,LAN,89,9,,yes
20,13,3,NYG,PHX,89,9,,
26,27,7.5,NE,NYJ,89,9,,
17,20,4,PHA,SD,89,9,,
34,7,7.5,DEN,PIT,89,9,,
20,10,2.5,KC,SEA,89,9,,
3,13,14,WAS,DAL,89,9,Sunday_Night,
31,13,6,SF,NO,89,9,Monday_Night,
45,3,10.5,SF,ATL,89,10,,
20,0,3.5,CHI,PIT,89,10,,
17,7,2.5,CLE,SEA,89,10,,
24,20,7,PHX,DAL,89,10,,
13,16,0,KC,DEN,89,10,,
22,31,1.5,GB,DET,89,10,,
30,7,6.5,BUF,IND,89,10,,
31,23,3,MIA,NYJ,89,10,,
24,10,5.5,MIN,TB,89,10,,
28,24,2.5,NO,NE,89,10,,
31,10,2.5,LAN,NYG,89,10,,
3,10,5,PHA,WAS,89,10,,
12,14,2.5,LAA,SD,89,10,Sunday_Night,
26,24,6,HOU,CIN,89,10,Monday_Night,
24,33,6,BUF,NE,89,11,,
42,7,7,CIN,DET,89,11,,
17,21,10,SF,GB,89,11,,
10,10,7,CLE,KC,89,11,,yes
23,7,5,HOU,LAA,89,11,,
17,14,6.5,MIA,DAL,89,11,,
9,10,1,MIN,PHA,89,11,,
26,17,3,NO,ATL,89,11,,
37,14,10.5,LAN,PHX,89,11,,
20,17,2.5,PIT,SD,89,11,,
15,3,9,NYG,SEA,89,11,,
31,32,10,CHI,TB,89,11,,
27,10,6,IND,NYJ,89,11,Sunday_Night,
10,14,2.5,WAS,DEN,89,11,Monday_Night,
10,13,6,CLE,DET,89,12,Thursday,
27,0,6,PHA,DAL,89,12,Thursday,
27,7,2,NYJ,ATL,89,12,,
14,38,0,CHI,WAS,89,12,,
24,7,3,BUF,CIN,89,12,,
0,34,1.5,HOU,KC,89,12,,
19,20,3,MIN,GB,89,12,,
24,21,6.5,LAA,NE,89,12,,
14,34,7.5,MIA,PIT,89,12,,
10,6,4.5,IND,SD,89,12,,
41,14,9.5,DEN,SEA,89,12,,
13,14,1.5,PHX,TB,89,12,,
20,17,0,LAN,NO,89,12,Sunday_Night,yes
34,24,5,SF,NYG,89,12,Monday_Night,
0,21,4,CLE,CIN,89,13,,
16,13,1.5,LAA,DEN,89,13,,yes
17,16,2.5,GB,TB,89,13,,
23,16,3,HOU,PIT,89,13,,
22,16,1.5,NE,IND,89,13,,
35,31,9.5,LAN,DAL,89,13,,
26,21,3.5,KC,MIA,89,13,,
14,21,4,NO,DET,89,13,,
17,20,4.5,SD,NYJ,89,13,,
17,24,3,NYG,PHA,89,13,,
23,10,9.5,SF,ATL,89,13,,
29,10,4,WAS,PHX,89,13,,
27,16,6,MIN,CHI,89,13,Sunday_Night,
16,17,5.5,BUF,SEA,89,13,Monday_Night,
43,17,12,MIN,ATL,89,14,,
17,23,1,CLE,IND,89,14,,yes
20,10,12,PHA,DAL,89,14,,
17,27,6.5,CHI,DET,89,14,,
3,21,3,GB,KC,89,14,,
19,22,6,BUF,NO,89,14,,
7,14,3,DEN,NYG,89,14,,
16,14,9,LAA,PHX,89,14,,
0,13,1.5,NYJ,PIT,89,14,,
