f1,f2,f3,f4,f5,f6
P,P,A,A,A,P
N,N,A,A,A,N
A,A,A,A,A,A
P,P,P,P,P,P
N,N,P,P,P,N
A,A,P,P,P,A
P,P,A,P,P,P
P,P,P,A,A,P
P,P,A,P,A,P
P,P,A,A,P,P
P,P,P,P,A,P
P,P,P,A,P,P
N,N,A,P,P,N
N,N,P,A,A,N
N,N,A,P,A,N
N,N,A,P,A,N
N,N,A,A,P,N
N,N,P,P,A,N
N,N,P,A,P,N
A,A,A,P,P,A
A,A,P,A,A,A
A,A,A,P,A,A
A,A,A,A,P,A
A,A,P,P,A,A
A,A,P,A,P,A
P,N,A,A,A,P
N,P,A,A,A,N
P,N,A,A,A,N
P,N,P,P,P,P
N,P,P,P,P,N
P,N,P,P,P,N
N,N,A,P,P,P
P,N,P,A,A,P
N,P,A,P,A,P
N,P,A,A,P,N
P,N,P,P,A,N
N,P,P,A,P,A
A,N,A,P,P,A
A,P,P,A,A,A
A,A,A,P,A,P
A,A,A,A,P,N
N,A,P,P,P,N
A,N,P,A,P,N
A,P,P,A,P,N
N,N,P,A,P,P
N,N,P,P,P,P
P,A,P,P,P,N
A,P,P,P,P,N
A,N,N,A,P,P
A,P,P,A,P,P
P,A,P,A,P,N
A,N,A,A,P,P
A,N,A,A,P,N
A,N,A,A,P,A
A,A,N,P,P,A
A,A,N,P,P,P
A,P,P,P,P,P
A,P,A,A,A,P
N,P,N,P,P,A
N,N,P,P,P,A
A,A,A,P,P,A
A,A,A,P,P,P
P,A,A,P,P,P
A,N,N,P,P,A
P,N,N,P,P,A
A,A,N,P,P,P
P,A,P,N,P,N
P,A,N,A,P,N
P,P,P,A,P,N
P,A,P,N,P,N
P,A,A,P,P,N
P,P,A,P,P,P
P,A,P,A,P,P
P,P,A,A,P,N
A,A,A,A,A,P
P,P,A,P,P,N
A,P,N,P,A,P
A,P,A,P,A,P
P,A,N,A,P,A
A,P,N,P,A,P
P,A,A,A,P,A
A,P,A,P,A,P
A,P,P,P,P,P
P,A,A,N,P,P
A,P,A,A,A,P
A,N,N,N,P,P
N,P,N,P,P,A
P,N,A,N,A,P
N,N,P,P,P,A
A,A,A,P,P,A
A,A,A,P,P,P
P,A,A,P,P,P
A,N,N,P,P,A
A,A,N,P,P,P
P,A,P,N,P,N
P,P,P,A,P,N
P,A,P,N,P,N
P,A,A,P,P,N
P,P,A,P,P,P
P,A,P,A,P,P
P,P,A,A,P,N
A,A,A,A,A,P
P,P,A,P,P,N
A,P,N,P,A,P
P,A,A,A,P,A
A,P,A,P,A,P
A,P,N,P,A,P
A,P,A,P,A,P
P,P,A,A,A,P
N,N,A,A,A,N
A,A,A,A,A,A
P,P,P,P,P,P
N,N,P,P,P,N
A,A,P,P,P,A
P,P,A,P,P,P
P,P,P,A,A,P
P,P,A,P,A,P
P,P,A,A,P,P
P,P,P,P,A,P
P,P,P,A,P,P
N,N,A,P,P,N
N,N,P,A,A,N
N,N,A,P,A,N
N,N,A,P,A,N
N,N,A,A,P,N
N,N,P,P,A,N
N,N,P,A,P,N
A,A,A,P,P,A
A,A,P,A,A,A
A,A,A,P,A,A
A,A,A,A,P,A
A,A,P,P,A,A
A,A,P,A,P,A
P,N,A,A,A,P
N,P,A,A,A,N
P,N,A,A,A,N
P,N,P,P,P,P
N,P,P,P,P,N
P,N,P,P,P,N
N,N,A,P,P,P
P,N,P,A,A,P
N,P,A,P,A,P
N,P,A,A,P,N
A,N,N,N,N,A
P,N,N,N,N,N
N,P,N,N,N,N
A,P,N,A,N,N
N,N,N,N,N,N
N,N,N,A,N,A
N,N,N,N,N,P
N,N,N,N,N,A
N,N,N,A,N,P
N,N,N,A,N,N
N,N,A,N,N,N
P,N,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
P,N,N,N,A,A
A,N,N,N,N,A
A,N,N,N,N,A
A,A,N,N,N,P
A,N,N,N,N,N
P,A,N,N,N,A
P,N,N,N,N,P
P,A,N,N,N,N
P,N,N,N,N,N
N,A,N,N,N,P
N,N,N,N,N,A
A,A,N,N,N,N
A,A,N,N,N,N
P,P,N,N,N,N
A,P,N,N,N,N
P,A,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
N,A,N,N,N,N
P,N,N,N,N,N
N,P,N,N,N,N
A,P,N,A,N,N
N,N,N,P,N,P
N,N,N,N,N,N
N,N,N,A,N,A
N,N,N,P,N,N
N,N,N,N,N,P
N,N,N,N,N,A
N,N,N,A,N,P
N,N,N,A,N,N
N,N,A,N,N,N
P,N,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
P,N,N,N,A,A
P,N,N,N,A,A
A,N,N,N,N,A
N,N,N,N,N,A
N,P,N,N,N,N
A,P,N,A,N,N
N,N,N,N,N,N
N,N,N,A,N,A
N,N,N,P,N,N
N,N,N,N,N,P
N,N,N,N,N,A
N,N,N,A,N,P
P,N,N,N,N,P
P,A,N,N,N,N
P,N,N,N,N,N
N,A,N,N,N,P
N,N,N,N,N,A
A,A,N,N,N,N
A,A,N,N,N,N
N,N,N,A,N,N
N,N,A,N,N,N
P,N,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
N,A,P,A,N,P
P,N,N,N,N,N
N,A,N,N,N,P
N,N,N,N,N,A
A,A,N,N,N,N
A,A,N,N,N,P
A,N,N,N,N,N
P,A,N,N,N,A
P,N,N,N,N,P
P,A,N,N,N,N
P,N,N,N,N,N
N,A,N,N,N,P
N,N,N,N,N,A
A,A,N,N,N,N
A,A,N,N,N,N
A,P,N,N,N,N
P,A,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
N,A,N,N,N,N
A,N,N,N,N,A
P,N,N,N,N,N
N,P,N,N,N,N
A,P,N,A,N,N
N,N,N,N,N,N
N,N,N,A,N,A
N,N,N,N,N,P
N,N,N,N,N,A
N,N,N,A,N,P
N,N,N,A,N,N
N,N,A,N,N,N
P,N,N,N,N,N
A,N,N,N,N,N
N,N,N,N,N,N
P,N,N,N,A,A
