col_1,col_2
50,5
40,5
30,5
20,5
10,5
0,5
-10,5
-20,5
-30,5
-40,5
-50,5
-60,5
50,10
40,10
30,10
20,10
10,10
0,10
-10,10
-20,10
-30,10
-40,10
-50,10
-60,10
50,15
40,15
30,15
20,15
10,15
0,15
-10,15
-20,15
-30,15
-40,15
-50,15
-60,15
50,20
40,20
30,20
20,20
10,20
0,20
-10,20
-20,20
-30,20
-40,20
-50,20
-60,20
50,25
40,25
30,25
20,25
10,25
0,25
-10,25
-20,25
-30,25
-40,25
-50,25
-60,25
50,30
40,30
30,30
20,30
10,30
0,30
-10,30
-20,30
-30,30
-40,30
-50,30
-60,30
50,35
40,35
30,35
20,35
10,35
0,35
-10,35
-20,35
-30,35
-40,35
-50,35
-60,35
50,40
40,40
30,40
20,40
10,40
0,40
-10,40
-20,40
-30,40
-40,40
-50,40
-60,40
50,45
40,45
30,45
20,45
10,45
0,45
-10,45
-20,45
-30,45
-40,45
-50,45
-60,45
50,50
40,50
30,50
20,50
10,50
0,50
-10,50
-20,50
-30,50
-40,50
-50,50
-60,50
