f1,f2,f3,f4,f5,f6
0,1,1,0,59,39
0,0,0,0,61,42
0,0,1,0,59,36
1,1,1,0,60,38
1,0,1,0,60,36
1,0,0,0,60,0
0,1,1,0,63,41
0,0,0,0,64,45
0,0,0,0,63,22
0,1,1,0,64,42
0,0,1,0,63,0
0,0,1,0,64,40
1,1,1,0,61,0
1,0,0,0,61,0
1,0,1,0,62,20
1,1,1,0,47,25
1,0,0,1,47,0
1,0,1,0,46,0
0,1,0,0,56,36
0,0,0,0,55,41
0,0,0,0,55,18
0,1,0,0,63,45
0,0,0,0,63,22
0,0,0,0,63,20
1,1,0,0,64,40
1,0,0,1,64,0
1,0,0,0,65,7
0,1,1,1,64,13
0,0,0,0,64,41
0,0,0,1,64,39
0,1,0,1,51,24
0,0,0,1,51,5
0,0,0,1,51,17
0,1,0,1,58,42
0,0,0,0,58,15
0,0,1,0,59,35
0,1,1,0,56,36
0,0,0,0,58,39
0,0,1,0,55,39
0,1,1,0,66,50
0,0,0,0,65,46
0,0,0,1,67,0
0,1,1,0,46,24
0,0,0,1,46,24
0,0,1,0,47,28
1,1,1,0,54,33
1,0,0,1,55,24
1,0,1,0,53,9
0,1,0,1,65,45
0,0,0,1,66,42
0,0,1,0,64,46
1,1,0,0,63,29
1,0,1,1,62,0
1,0,0,1,63,0
0,1,1,0,37,19
0,0,0,0,37,16
0,0,1,0,38,20
0,1,0,0,61,28
0,0,0,1,60,0
0,0,0,1,60,34
0,1,0,0,62,43
0,0,1,0,62,38
0,0,0,0,62,44
1,1,1,0,50,28
1,0,0,0,51,23
1,0,1,0,50,0
0,1,0,0,64,32
0,0,1,1,63,0
0,0,0,1,63,41
0,1,0,0,53,33
0,0,0,1,53,29
0,0,0,0,53,19
0,1,1,1,62,39
0,0,0,0,61,43
0,0,0,0,62,28
0,1,1,0,64,44
0,0,0,0,65,34
0,0,0,1,63,42
1,1,1,0,58,37
1,0,0,0,64,39
1,0,1,0,58,34
0,1,1,1,65,43
0,0,0,1,65,30
0,0,0,1,65,47
1,1,1,0,49,23
1,0,1,0,49,0
1,0,0,0,49,27
0,1,0,1,56,26
0,0,1,0,56,22
0,0,1,0,56,36
0,1,1,0,62,40
0,0,0,1,62,14
0,0,0,1,62,0
0,1,1,0,57,39
0,0,0,0,57,35
0,0,1,0,57,24
0,1,1,0,56,33
0,0,0,0,56,32
0,0,0,0,57,24
0,1,0,0,56,35
0,0,0,1,56,19
0,0,0,0,56,39
0,1,1,0,64,42
0,0,1,0,64,40
0,0,0,1,64,39
0,1,1,0,60,38
0,0,1,1,60,25
0,0,0,1,59,41
0,1,1,1,63,41
0,0,0,0,64,44
0,0,1,0,66,38
1,1,1,0,44,22
1,0,0,0,43,21
1,0,1,0,45,0
1,1,1,0,49,27
1,0,0,0,49,25
1,0,1,0,49,25
0,1,1,0,41,22
0,0,1,1,42,21
0,0,0,1,40,13
0,1,0,0,58,35
0,0,0,0,58,22
0,0,0,0,59,37
0,1,1,0,66,47
0,0,0,0,66,0
0,0,0,0,65,44
0,1,0,0,58,38
0,0,0,0,58,38
0,0,0,0,59,34
0,1,1,1,59,40
0,0,1,1,60,39
0,0,0,1,59,7
1,1,1,0,46,24
1,0,1,0,46,24
1,0,1,1,46,16
0,1,1,1,64,47
0,0,0,0,64,36
0,0,0,1,63,43
0,1,1,0,49,31
0,0,1,0,49,15
0,0,1,0,49,28
0,1,1,1,52,31
0,0,1,0,52,28
0,0,1,1,52,30
0,1,0,1,43,19
0,0,0,0,43,25
0,0,0,1,42,17
