f1,f2,f3,f4,f5
185,86,130,70,267
175,69,120,75,270
176,82,130,80,247
182,92,140,75,270
174,78,155,93,276
172,89,155,95,262
181,71,130,80,220
176,80,140,80,470
168,64,130,80,216
199,109,110,70,210
179,96,105,75,231
172,60,130,85,157
170,75,120,75,238
180,100,115,75,294
175,85,130,80,252
179,100,170,110,201
182,93,120,80,250
175,71,130,85,232
172,88,140,80,212
172,74,110,60,196
176,103,140,80,220
171,70,100,60,318
171,84,125,80,280
176,90,135,90,330
196,101,130,80,278
174,77,110,75,189
174,75,120,80,220
189,93,140,90,332
175,64,130,80,228
169,80,170,105,232
177,87,130,90,327
177,73,95,75,287
168,66,115,75,205
181,97,170,110,260
189,115,150,100,267
176,71,170,100,227
179,87,105,65,432
180,96,165,100,211
175,86,140,85,235
165,73,140,75,-1
163,68,160,100,227
177,83,115,75,510
171,74,120,85,263
176,74,185,95,199
186,90,110,80,171
177,99,130,85,242
179,120,160,115,232
167,60,115,80,236
-1,80,150,90,-1
170,84,150,90,232
175,76,130,80,226
170,81,155,82,235
168,75,120,85,200
180,82,120,85,226
180,88,115,85,202
174,74,170,115,237
169,71,120,85,209
165,75,150,95,188
170,83,115,75,227
186,95,120,70,260
180,92,155,90,301
176,98,120,80,220
173,97,150,90,259
176,83,125,85,272
181,89,125,90,160
183,82,145,105,300
177,68,140,80,199
175,73,140,85,205
172,85,130,80,332
177,94,120,80,288
180,92,120,80,280
180,86,125,90,179
178,86,130,85,230
180,106,140,95,275
180,72,150,90,245
172,80,170,105,201
176,80,90,50,274
166,70,130,80,228
184,84,110,70,226
163,72,210,130,261
174,76,120,60,230
180,83,120,75,185
170,64,100,70,274
170,73,110,70,272
180,75,130,85,265
180,75,130,80,179
174,75,130,80,226
174,87,155,100,212
174,74,110,80,255
170,70,135,95,303
174,70,150,100,211
186,114,160,95,200
175,113,110,70,146
166,65,140,90,170
189,105,160,110,250
186,75,115,75,228
186,83,100,70,250
180,75,120,70,189
183,88,130,100,255
196,90,140,90,280
160,61,125,80,290
188,90,100,70,187
168,64,125,80,242
178,78,110,80,174
165,58,120,80,240
167,70,120,80,221
162,86,110,80,202
176,80,140,98,185
180,70,130,80,230
179,86,160,95,211
180,84,140,90,226
164,70,125,75,236
178,72,150,80,234
182,71,125,80,200
169,74,140,90,235
185,93,120,80,280
174,80,100,60,284
174,81,135,98,235
176,86,130,80,263
179,87,120,70,243
176,92,170,120,244
190,80,115,75,232
173,85,160,100,290
183,95,135,85,190
162,76,170,115,279
177,78,120,75,150
174,74,130,85,204
174,78,110,65,244
171,69,150,105,250
177,72,170,95,204
172,75,120,75,211
174,78,140,90,257
182,93,110,80,240
172,70,130,80,350
164,72,115,70,245
185,91,155,90,212
175,82,130,80,247
170,63,115,70,199
178,93,105,75,185
176,83,120,80,235
176,82,170,100,215
176,85,140,85,330
165,78,140,85,264
180,84,135,85,253
178,86,145,105,199
177,84,180,100,185
186,83,120,60,200
170,69,115,80,250
181,73,115,85,206
177,96,160,110,258
172,79,130,80,261
182,90,140,80,193
172,81,130,85,143
169,79,150,90,260
168,58,145,75,228
180,90,140,90,230
181,105,125,85,260
176,86,160,95,214
180,87,110,70,312
181,80,120,70,-1
179,72,130,90,264
190,95,120,80,185
186,90,120,75,250
167,68,110,70,204
170,82,130,100,240
160,67,150,100,300
173,67,100,70,286
182,89,130,80,277
