f1,f2,f3,f4,f5
1,23,3,1,19
2,15,3,1,17
1,23,3,2,49
1,5,2,2,33
2,7,11,2,55
2,23,3,1,20
2,9,5,2,19
2,10,3,2,27
1,22,3,1,58
2,15,3,1,20
2,10,22,2,9
2,13,1,2,30
2,18,21,2,29
2,6,17,2,39
2,6,17,2,42
2,6,17,2,43
2,7,11,2,10
2,22,3,2,46
2,13,3,1,10
2,7,25,2,42
2,25,7,2,27
2,25,7,2,23
2,2,9,2,31
2,1,15,1,22
2,15,13,2,37
2,7,11,2,13
2,8,3,2,24
2,14,15,2,38
2,21,2,2,42
2,22,3,2,28
2,11,1,2,51
2,18,5,2,19
2,13,1,2,31
1,13,3,1,13
2,5,2,2,37
2,16,8,2,36
2,4,16,2,21
2,5,2,2,48
2,14,15,2,38
1,23,3,1,19
2,15,3,1,17
1,23,3,2,49
1,5,2,2,33
2,7,11,2,55
2,23,3,1,20
2,9,5,2,19
2,10,3,2,27
1,22,3,2,58
2,15,3,1,20
2,10,22,2,9
2,13,1,2,30
2,18,21,2,29
2,6,17,2,39
2,6,17,2,42
2,6,17,2,43
2,7,11,2,10
2,22,3,2,46
2,13,3,1,10
2,7,25,2,42
2,25,7,2,27
2,25,7,2,23
2,2,9,2,31
2,1,15,1,22
2,15,13,2,37
2,7,11,2,13
2,8,3,2,24
2,14,15,2,38
2,21,2,2,42
2,22,3,2,28
2,11,1,2,51
2,18,5,2,19
2,13,1,2,31
1,13,3,1,13
2,5,2,2,37
2,16,8,2,36
2,4,16,2,21
2,5,2,2,48
2,14,15,2,38
1,23,3,1,25
1,13,3,1,17
2,16,19,2,11
2,9,2,2,39
2,13,3,1,11
2,18,21,2,19
1,22,3,2,45
2,7,11,1,20
2,23,3,1,20
1,23,3,1,20
1,23,3,2,38
2,14,22,2,17
1,17,17,2,19
2,9,5,2,24
2,18,25,2,25
1,17,17,2,31
2,1,15,2,31
2,1,8,2,18
1,11,16,2,22
1,22,13,2,27
2,9,2,2,14
2,13,1,2,20
1,6,17,2,35
2,23,3,1,20
1,23,3,1,20
2,6,17,2,37
1,22,3,2,15
2,20,2,2,25
2,23,3,2,10
2,20,2,2,14
1,23,3,2,38
2,13,1,2,29
2,10,3,2,19
2,7,11,2,30
1,14,15,2,32
2,8,3,2,27
2,12,7,2,34
2,8,7,2,23
2,15,1,2,66
2,23,3,2,12
2,2,9,2,29
2,15,1,2,19
2,20,2,2,3
2,13,14,2,17
2,9,6,2,7
1,10,3,2,21
2,14,15,2,36
1,13,1,2,54
1,8,3,2,29
2,20,2,2,45
2,22,1,2,11
2,18,12,2,16
2,20,15,2,18
1,17,18,2,44
2,14,23,2,17
2,24,26,2,21
2,9,24,2,20
2,12,8,2,24
2,9,6,2,5
2,22,1,2,42
2,7,11,2,30
2,10,3,2,19
2,23,3,2,11
2,17,18,2,29
2,16,20,2,15
2,3,2,2,37
2,19,4,2,10
2,23,3,2,24
2,3,2,2,26
2,10,3,2,12
1,18,7,2,48
2,22,1,2,51
2,2,10,2,27
