f1,f2,f3
-1.87,-0.228,0.521
-0.923,-0.228,-1.92
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,0.521
-1.87,4.38,0.521
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,4.38,0.521
0.965,-0.228,-1.92
-0.923,-0.228,-1.92
-0.923,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,-1.92
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,-1.92
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-0.923,-0.228,-1.92
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
-0.923,-0.228,0.521
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,0.521
-0.923,-0.228,-1.92
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,4.38,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,-1.92
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,-1.92
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,-1.92
-0.923,-0.228,-1.92
0.965,-0.228,0.521
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,4.38,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,-1.92
-1.87,-0.228,-1.92
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
-1.87,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,0.521
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
-0.923,4.38,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,-1.92
-1.87,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
-1.87,-0.228,-1.92
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
-0.923,-0.228,-1.92
0.0214,-0.228,0.521
-0.923,-0.228,-1.92
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-0.923,-0.228,0.521
0.0214,4.38,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,-1.92
-0.923,4.38,-1.92
-1.87,-0.228,0.521
0.0214,-0.228,0.521
0.0214,4.38,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,0.521
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
-1.87,-0.228,-1.92
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
-0.923,-0.228,0.521
-1.87,-0.228,-1.92
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.0214,4.38,-1.92
0.0214,-0.228,0.521
-1.87,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,0.521
0.965,-0.228,0.521
0.0214,4.38,0.521
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
-1.87,-0.228,-1.92
-0.923,-0.228,-1.92
-1.87,-0.228,0.521
0.0214,-0.228,0.521
-0.923,4.38,0.521
0.965,-0.228,0.521
-0.923,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.0214,-0.228,-1.92
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-1.87,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,4.38,-1.92
0.0214,-0.228,-1.92
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,-1.92
-1.87,-0.228,-1.92
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
-0.923,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,-0.228,0.521
0.965,-0.228,-1.92
0.965,-0.228,0.521
-1.87,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,-1.92
0.965,-0.228,0.521
-0.923,4.38,0.521
0.965,-0.228,0.521
0.965,-0.228,0.521
-0.923,-0.228,-1.92
0.965,-0.228,0.521
0.0214,-0.228,0.521
0.0214,4.38,-1.92
0.0214,-0.228,0.521
0.965,-0.228,0.521
-1.87,4.38,-1.92
