f1,f2,f3,f4,f5,f6,f7
1,1,1,60,7,69,0
1,1,1,70,5,64,10
1,1,1,60,3,38,0
1,1,1,60,9,63,10
1,1,1,70,11,65,10
1,1,1,20,5,49,0
1,1,1,40,10,69,10
1,1,1,80,29,68,0
1,1,1,50,18,43,0
1,1,0,70,6,70,0
1,1,1,60,4,81,0
1,1,1,40,58,63,10
1,1,1,30,4,63,0
1,1,0,80,9,52,10
1,1,1,70,11,48,10
1,2,1,60,3,61,0
1,2,1,60,9,42,0
1,2,1,40,2,35,0
1,2,1,80,4,63,10
1,2,1,60,4,56,0
1,2,0,40,3,55,0
1,2,0,60,5,67,0
1,2,1,60,14,63,10
1,2,1,30,2,65,0
1,2,1,80,3,46,0
1,2,1,30,4,53,10
1,2,1,50,12,69,0
1,2,1,60,4,68,0
1,2,1,80,12,43,10
1,2,1,40,2,55,10
1,2,1,20,15,42,0
1,2,1,80,2,64,0
1,2,1,30,5,65,0
1,2,1,75,3,65,0
1,2,1,70,2,55,0
1,2,1,60,25,66,10
1,2,1,30,4,60,0
1,2,1,60,1,67,0
1,2,1,80,28,53,0
1,2,1,60,8,62,0
1,2,1,70,1,67,0
1,2,1,50,7,72,0
1,2,1,50,11,48,0
1,2,1,40,4,68,0
1,2,1,40,23,67,10
1,3,1,20,19,61,10
1,3,1,70,10,60,0
1,3,1,40,6,62,0
1,3,1,80,2,38,0
1,3,1,80,5,50,0
1,3,1,50,4,63,10
1,3,1,80,5,64,0
1,3,1,30,3,43,0
1,3,1,80,4,34,0
1,4,1,50,16,66,10
1,4,1,80,5,62,0
1,4,1,50,15,52,0
1,4,1,70,2,47,0
1,4,1,60,12,63,0
1,4,1,40,12,68,10
1,4,1,80,5,45,0
1,4,1,80,12,41,10
1,4,1,70,2,66,0
1,4,0,90,2,62,0
1,4,1,90,8,60,0
1,4,1,80,11,66,0
1,4,1,80,5,38,0
1,4,1,70,8,53,10
1,4,1,60,13,37,10
2,1,1,90,12,54,10
2,1,1,80,6,60,0
2,1,0,80,3,48,0
2,1,0,50,8,52,10
2,1,1,50,1,70,0
2,1,1,70,7,50,10
2,1,1,70,3,62,0
2,1,1,20,21,65,10
2,1,1,60,3,58,0
2,1,1,90,2,62,0
2,1,1,30,6,64,0
2,1,1,20,36,63,0
2,1,1,70,13,58,0
2,1,1,90,2,64,0
2,1,1,80,28,52,10
2,1,1,50,7,35,0
2,1,1,70,11,63,0
2,1,1,60,13,70,10
2,1,1,90,2,51,0
2,1,1,50,13,40,10
2,2,1,30,2,69,0
2,2,0,70,22,36,10
2,2,1,20,4,71,0
2,2,1,30,2,62,0
2,2,1,60,2,60,0
2,2,1,40,36,44,10
2,2,1,30,9,54,10
2,2,1,20,11,66,0
2,2,1,60,8,49,0
2,2,1,70,3,72,0
2,2,1,80,2,68,0
2,2,1,85,4,62,0
2,2,1,70,2,71,0
2,2,1,70,2,70,0
2,2,1,70,1,61,0
2,2,1,50,17,71,0
2,2,1,30,87,59,10
2,2,1,40,8,67,0
2,3,1,40,2,60,0
2,3,1,40,5,69,10
2,3,0,99,3,57,0
2,3,1,80,3,39,0
2,3,1,60,5,62,0
2,3,1,60,22,50,10
2,3,1,60,3,43,0
2,3,1,60,3,70,0
2,3,1,50,5,66,0
2,3,1,70,8,61,0
2,3,1,10,4,81,0
2,3,1,40,4,58,0
2,3,1,70,3,63,0
2,3,1,90,3,60,0
2,3,1,80,4,62,10
2,3,1,50,10,42,0
2,3,1,40,3,69,0
2,3,1,40,4,63,0
2,4,1,60,4,45,0
2,4,1,70,15,68,10
2,4,1,30,4,39,10
2,4,1,60,12,66,0
2,4,1,30,5,63,0
2,4,1,60,11,49,10
2,4,1,80,10,64,10
2,4,1,75,1,65,0
2,4,1,60,5,64,0
2,4,1,70,18,67,10
2,4,1,80,4,65,0
2,4,1,30,3,37,0
