f1,f2
85,3
85,7
85,5
85,12
85,7
85,0
85,2
85,2
85,2
85,4
85,1
85,11
85,5
85,14
85,3
85,10
85,10
85,4
85,3
85,10
85,8
85,2
85,7
85,6
85,9
85,2
85,11
85,3
85,4
85,1
85,6
85,2
85,4
85,7
85,7
85,8
85,7
85,11
85,6
85,7
85,5
85,8
85,10
85,4
85,5
85,6
85,5
85,4
85,6
85,11
85,12
85,3
85,7
85,5
85,11
85,1
85,6
85,4
85,5
85,7
85,3
85,6
85,5
85,6
85,6
85,2
85,4
85,1
85,9
85,10
85,5
85,8
85,3
85,8
85,3
85,7
85,9
85,10
85,2
85,8
85,9
85,4
85,1
86,7
86,5
86,11
86,9
86,6
86,7
86,9
86,1
86,9
86,10
86,11
86,6
86,9
86,5
86,9
86,10
86,6
86,12
86,4
86,7
86,7
86,5
86,10
86,3
86,6
86,7
86,5
86,5
86,3
86,8
86,8
86,10
86,8
86,7
86,3
86,3
86,8
86,7
86,8
86,6
86,3
86,11
86,9
86,10
86,8
86,6
86,2
86,5
86,6
86,4
86,4
86,7
86,1
86,13
86,7
86,10
86,8
86,4
86,2
86,12
86,3
86,6
86,7
86,3
86,7
86,15
86,3
86,9
86,10
86,7
86,4
86,7
86,7
86,7
86,9
86,6
86,7
86,4
86,6
86,6
86,8
86,5
86,6
86,2
86,2
86,6
86,7
86,7
86,6
86,12
86,8
86,9
86,5
87,6
87,6
87,5
87,13
87,6
87,9
87,9
87,2
87,9
87,8
87,6
87,4
87,9
87,6
87,7
87,4
87,0
87,5
87,2
87,4
87,3
87,1
87,2
87,3
87,12
87,7
87,4
87,8
87,9
87,3
87,10
87,6
87,8
87,3
87,9
87,7
87,9
87,1
87,2
87,2
87,0
87,7
87,5
87,5
87,4
87,2
87,10
87,5
87,1
87,7
87,6
87,3
87,0
87,8
87,3
87,5
87,0
87,6
87,3
87,6
87,3
87,7
87,5
87,4
87,1
87,0
87,1
87,9
87,5
87,7
87,4
87,3
87,4
87,6
87,4
87,7
87,6
87,7
87,6
87,4
87,8
87,9
87,0
87,2
87,3
87,3
87,4
87,4
87,2
87,9
87,7
87,3
87,5
87,9
87,5
87,1
87,0
87,10
87,7
87,3
87,3
87,6
87,8
87,2
87,5
88,4
88,1
88,8
88,7
88,3
88,1
88,3
88,2
88,2
88,6
88,6
88,4
88,8
88,5
88,5
88,1
88,7
88,0
88,4
88,3
88,2
88,3
88,7
88,9
88,8
88,5
88,2
88,9
88,9
88,4
88,2
88,7
88,5
88,7
88,7
88,7
88,9
88,8
88,10
88,10
88,4
88,9
88,10
88,9
88,4
88,8
88,1
88,9
88,9
88,3
88,3
88,3
88,13
88,6
88,7
88,4
88,4
88,3
88,4
88,9
88,12
88,6
88,0
88,2
88,5
88,4
88,0
88,10
88,1
88,10
88,4
88,6
88,11
88,9
88,7
88,13
88,3
88,5
88,4
88,7
88,1
88,10
88,1
88,5
88,10
88,5
88,7
88,5
88,1
88,3
88,4
88,6
88,3
88,8
88,3
88,9
88,8
88,8
88,5
