f1,f2,f3
41,190,67
36,118,72
12,149,74
18,313,62
23,299,65
19,99,59
8,19,61
16,256,69
11,290,66
14,274,68
18,65,58
14,334,64
34,307,66
6,78,57
30,322,68
11,44,62
1,8,59
11,320,73
4,25,61
32,92,61
23,13,67
45,252,81
115,223,79
37,279,76
29,127,82
71,291,90
39,323,87
23,148,82
21,191,77
37,284,72
20,37,65
12,120,73
13,137,76
135,269,84
49,248,85
32,236,81
64,175,83
40,314,83
77,276,88
97,267,92
97,272,92
85,175,89
10,264,73
27,175,81
7,48,80
48,260,81
35,274,82
61,285,84
79,187,87
63,220,85
16,7,74
80,294,86
108,223,85
20,81,82
52,82,86
82,213,88
50,275,86
64,253,83
59,254,81
39,83,81
9,24,81
16,77,82
122,255,89
89,229,90
110,207,90
44,192,86
28,273,82
65,157,80
22,71,77
59,51,79
23,115,76
31,244,78
44,190,78
21,259,77
9,36,72
45,212,79
168,238,81
73,215,86
76,203,97
118,225,94
84,237,96
85,188,94
96,167,91
78,197,92
73,183,93
91,189,93
47,95,87
32,92,84
20,252,80
23,220,78
21,230,75
24,259,73
44,236,81
21,259,76
28,238,77
9,24,71
13,112,71
46,237,78
18,224,67
13,27,76
24,238,68
16,201,82
13,238,64
23,14,71
36,139,81
7,49,69
14,20,63
30,193,70
14,191,75
18,131,76
20,223,68
