f1,f2
Cattle,Albania
Cattle,Austria
Cattle,Belgium
Cattle,Bulgaria
Cattle,Czechoslovakia
Cattle,Denmark
Cattle,West_Germany
Cattle,Finland
Cattle,France
Cattle,East_Germany
Cattle,Greece
Cattle,Hungary
Cattle,Ireland
Cattle,Italy
Cattle,Netherlands
Cattle,Norway
Cattle,Poland
Cattle,Portugal
Cattle,Romania
Cattle,Spain
Cattle,Sweden
Cattle,Switzerland
Cattle,Turkey
Cattle,United_Kingdom
Cattle,Russia_et_al.
Cattle,Yugoslavia
Pigs,Albania
Pigs,Austria
Pigs,Belgium
Pigs,Bulgaria
Pigs,Czechoslovakia
Pigs,Denmark
Pigs,West_Germany
Pigs,Finland
Pigs,France
Pigs,East_Germany
Pigs,Greece
Pigs,Hungary
Pigs,Ireland
Pigs,Italy
Pigs,Netherlands
Pigs,Norway
Pigs,Poland
Pigs,Portugal
Pigs,Romania
Pigs,Spain
Pigs,Sweden
Pigs,Switzerland
Pigs,Turkey
Pigs,United_Kingdom
Pigs,Russia_et_al.
Pigs,Yugoslavia
Poultry,Albania
Poultry,Austria
Poultry,Belgium
Poultry,Bulgaria
Poultry,Czechoslovakia
Poultry,Denmark
Poultry,West_Germany
Poultry,Finland
Poultry,France
Poultry,East_Germany
Poultry,Greece
Poultry,Hungary
Poultry,Ireland
Poultry,Italy
Poultry,Netherlands
Poultry,Norway
Poultry,Poland
Poultry,Portugal
Poultry,Romania
Poultry,Spain
Poultry,Sweden
Poultry,Switzerland
Poultry,Turkey
Poultry,United_Kingdom
Poultry,Russia_et_al.
Poultry,Yugoslavia
Horses,Albania
Horses,Austria
Horses,Belgium
Horses,Bulgaria
Horses,Czechoslovakia
Horses,Denmark
Horses,West_Germany
Horses,Finland
Horses,France
Horses,East_Germany
Horses,Greece
Horses,Hungary
Horses,Ireland
Horses,Italy
Horses,Netherlands
Horses,Norway
Horses,Poland
Horses,Portugal
Horses,Romania
Horses,Spain
Horses,Sweden
Horses,Switzerland
Horses,Turkey
Horses,United_Kingdom
Horses,Russia_et_al.
Horses,Yugoslavia
Sheep,Albania
Sheep,Austria
Sheep,Belgium
Sheep,Bulgaria
Sheep,Czechoslovakia
Sheep,Denmark
Sheep,West_Germany
Sheep,Finland
Sheep,France
Sheep,East_Germany
Sheep,Greece
Sheep,Hungary
Sheep,Ireland
Sheep,Italy
Sheep,Netherlands
Sheep,Norway
Sheep,Poland
Sheep,Portugal
Sheep,Romania
Sheep,Spain
Sheep,Sweden
Sheep,Switzerland
Sheep,Turkey
Sheep,United_Kingdom
Sheep,Russia_et_al.
Sheep,Yugoslavia
