f1,f2,f3
362,197,0.634607
493,63,0.670875
481,37,0.628967
582,201,0.546201
386,397,0.692178
439,22,0.683533
558,147,0.525234
169,610,0.466612
95,285,0.570086
134,275,0.557383
710,36,0.64987
334,38,0.621136
529,16,0.47714
770,18,0.420755
977,19,0.394592
1003,23,0.397785
92,21,0.403929
251,27,0.537153
896,24,0.363614
567,33,0.507824
515,34,0.593925
921,31,0.372729
772,57,0.612473
825,43,0.454634
292,46,0.408342
947,52,0.447089
382,58,0.629387
548,52,0.356774
882,94,0.56632
619,61,0.389346
817,66,0.565608
990,101,0.549506
212,62,0.363574
292,63,0.362078
312,76,0.452531
204,93,0.551553
143,86,0.605397
928,92,0.458333
416,83,0.362647
834,87,0.518223
815,86,0.410834
352,95,0.452427
32,92,0.350227
26,94,0.355187
427,107,0.419714
674,102,0.35246
70,108,0.411656
346,123,0.460264
18,132,0.511996
409,135,0.509773
452,130,0.437192
640,131,0.427354
908,142,0.418308
236,142,0.371422
772,145,0.400915
850,155,0.450323
444,155,0.380915
998,152,0.355684
413,159,0.441707
326,168,0.473691
477,165,0.365901
874,169,0.563679
1004,169,0.415819
740,176,0.354336
778,177,0.417658
924,188,0.511404
823,178,0.351604
632,196,0.3939
836,199,0.55384
813,222,0.423155
283,202,0.380184
960,210,0.447867
191,224,0.425184
437,249,0.780498
633,217,0.408599
27,231,0.447989
396,224,0.413584
922,222,0.37391
944,233,0.540452
256,228,0.39433
493,228,0.406877
516,236,0.354824
964,239,0.376255
761,251,0.568206
382,247,0.408138
851,252,0.549546
491,247,0.391108
159,262,0.463199
510,275,0.467276
21,284,0.548715
904,268,0.351991
917,270,0.408844
222,280,0.530071
313,277,0.417054
902,308,0.699617
392,278,0.364887
172,285,0.449845
770,285,0.509237
124,300,0.499682
804,297,0.377898
578,323,0.547018
158,323,0.669939
512,317,0.433284
766,308,0.380585
414,309,0.385482
805,313,0.417378
366,321,0.443261
134,317,0.383444
207,317,0.405882
98,320,0.365878
458,324,0.442709
885,330,0.535784
981,328,0.399656
102,332,0.418918
261,339,0.438094
389,339,0.401244
443,393,0.556233
956,375,0.681044
18,355,0.491097
132,355,0.364113
282,368,0.460879
740,364,0.427887
774,368,0.432715
588,379,0.442177
140,378,0.418885
196,376,0.393812
623,377,0.39436
836,383,0.597866
771,383,0.475602
193,390,0.385149
642,390,0.35328
916,403,0.499881
645,404,0.426705
822,405,0.403157
506,410,0.475511
872,413,0.534899
983,435,0.50155
775,456,0.536538
825,442,0.500843
485,460,0.494062
302,447,0.380129
341,464,0.395593
440,544,0.700892
862,463,0.366075
163,477,0.430713
398,485,0.501615
286,477,0.358641
809,482,0.442739
351,487,0.54069
526,482,0.350632
286,512,0.469688
82,493,0.374141
819,514,0.426754
787,499,0.404653
499,522,0.468465
578,502,0.350454
980,510,0.365357
773,529,0.416915
940,536,0.353532
732,559,0.516
301,548,0.352388
804,567,0.49423
565,559,0.41104
525,564,0.454142
341,570,0.46494
79,575,0.403475
693,574,0.376601
514,581,0.43781
376,580,0.427077
565,588,0.471623
248,595,0.437208
701,599,0.408035
409,605,0.555942
484,624,0.497772
828,605,0.509318
555,611,0.408362
300,631,0.519503
775,622,0.353741
349,631,0.380394
16,631,0.361839
735,638,0.455739
830,647,0.422777
800,646,0.384488
554,648,0.361849
434,650,0.351201
793,667,0.514464
442,659,0.380324
511,656,0.373168
393,667,0.465832
692,670,0.407936
245,678,0.448585
560,677,0.410611
415,725,0.670811
817,685,0.408488
703,698,0.579158
563,692,0.37537
390,702,0.428017
735,721,0.446472
851,722,0.508445
491,718,0.417851
386,727,0.444475
773,727,0.392167
808,729,0.359962
590,736,0.51649
298,741,0.38716
366,816,0.625526
773,744,0.43403
876,745,0.455822
641,748,0.409717
464,750,0.363528
496,752,0.37252
602,774,0.51485
243,793,0.662077
737,754,0.371929
292,757,0.372422
778,764,0.489807
175,768,0.355441
453,771,0.404121
518,777,0.597237
908,791,0.607319
872,772,0.376885
879,776,0.374605
82,779,0.365411
464,799,0.517807
754,800,0.38338
335,802,0.355641
606,808,0.402459
617,808,0.373568
771,818,0.47585
920,819,0.436667
617,830,0.447067
745,824,0.46594
496,834,0.530181
406,836,0.446293
941,837,0.475764
795,855,0.52833
190,839,0.433755
536,841,0.35778
697,859,0.434346
144,864,0.44402
123,864,0.402806
232,872,0.430623
890,871,0.355922
75,876,0.365752
754,895,0.503776
301,881,0.424998
142,885,0.427213
673,947,0.567179
111,885,0.378873
288,935,0.536117
895,890,0.471146
598,893,0.426872
180,902,0.503625
388,915,0.491032
940,902,0.354161
742,904,0.354134
600,911,0.375341
44,916,0.448494
735,921,0.452992
510,922,0.401149
994,926,0.494637
413,940,0.448349
196,979,0.730321
491,954,0.366488
29,986,0.575041
245,959,0.370981
992,968,0.513444
778,961,0.359741
