f1,f2,f3,f4,f5,f6,f7
-64,-56,-61,-66,-71,-82,-81
-68,-57,-61,-65,-71,-85,-85
-63,-60,-60,-67,-76,-85,-84
-61,-60,-68,-62,-77,-90,-80
-63,-65,-60,-63,-77,-81,-87
-64,-55,-63,-66,-76,-88,-83
-65,-61,-65,-67,-69,-87,-84
-61,-63,-58,-66,-74,-87,-82
-65,-60,-59,-63,-76,-86,-82
-62,-60,-66,-68,-80,-86,-91
-67,-61,-62,-67,-77,-83,-91
-65,-59,-61,-67,-72,-86,-81
-63,-57,-61,-65,-73,-84,-84
-66,-60,-65,-62,-70,-85,-83
-61,-59,-65,-63,-74,-89,-87
-67,-60,-59,-61,-71,-86,-91
-63,-56,-60,-62,-70,-84,-91
-60,-54,-59,-65,-73,-83,-84
-60,-58,-60,-61,-73,-84,-88
-62,-59,-63,-64,-70,-84,-84
-63,-59,-64,-66,-72,-84,-90
-65,-59,-66,-65,-68,-82,-85
-63,-56,-63,-65,-72,-82,-89
-67,-60,-66,-65,-75,-86,-87
-63,-57,-67,-66,-79,-86,-89
-66,-59,-64,-68,-68,-97,-83
-65,-61,-64,-68,-77,-86,-89
-66,-57,-65,-69,-78,-85,-85
-67,-57,-64,-71,-75,-89,-87
-65,-62,-62,-65,-77,-84,-85
-61,-54,-60,-61,-74,-87,-83
-65,-53,-60,-62,-69,-85,-83
-66,-55,-63,-65,-68,-85,-90
-63,-57,-59,-67,-71,-82,-93
-63,-57,-62,-65,-76,-82,-88
-64,-57,-62,-67,-68,-83,-84
-68,-63,-68,-64,-74,-86,-84
-70,-62,-68,-65,-81,-89,-83
-67,-59,-62,-66,-80,-96,-82
-66,-59,-64,-67,-77,-87,-85
-66,-59,-65,-68,-75,-88,-84
-67,-59,-62,-65,-71,-91,-84
-69,-61,-62,-62,-75,-85,-84
-68,-58,-65,-65,-76,-87,-82
-66,-62,-64,-68,-73,-89,-83
-68,-58,-65,-67,-83,-89,-86
-65,-58,-62,-67,-77,-86,-91
-65,-58,-64,-69,-81,-88,-90
-65,-56,-63,-71,-77,-89,-85
-64,-59,-65,-70,-84,-90,-89
-64,-56,-64,-70,-80,-91,-84
-68,-57,-64,-68,-77,-88,-85
-67,-56,-65,-68,-82,-96,-89
-66,-69,-63,-69,-79,-88,-86
-68,-57,-62,-68,-77,-91,-86
-62,-58,-61,-68,-70,-85,-86
-63,-58,-66,-68,-75,-90,-93
-62,-58,-57,-65,-70,-82,-91
-64,-51,-57,-67,-68,-84,-82
-62,-56,-61,-67,-67,-81,-85
-63,-53,-60,-68,-67,-87,-85
-64,-54,-58,-69,-65,-86,-86
-62,-52,-61,-66,-65,-85,-89
-64,-54,-61,-63,-65,-88,-86
-58,-54,-61,-66,-75,-87,-86
-63,-55,-63,-68,-77,-87,-89
-64,-56,-64,-65,-75,-85,-90
-64,-56,-64,-67,-77,-81,-85
-63,-57,-65,-69,-77,-81,-85
-63,-61,-61,-68,-72,-87,-92
-59,-55,-62,-64,-68,-77,-86
-64,-57,-62,-68,-71,-85,-85
-66,-58,-56,-66,-79,-86,-93
-63,-59,-58,-64,-74,-82,-90
-66,-57,-57,-64,-69,-84,-90
-59,-60,-57,-62,-67,-80,-84
-60,-57,-55,-66,-69,-82,-89
-61,-55,-63,-64,-69,-83,-82
-61,-60,-57,-61,-74,-81,-82
-65,-60,-60,-62,-75,-83,-79
-65,-56,-65,-63,-68,-82,-93
-63,-60,-69,-65,-71,-85,-86
-62,-57,-60,-65,-72,-83,-87
-65,-60,-62,-63,-75,-85,-82
-65,-60,-62,-68,-69,-84,-89
-67,-56,-62,-70,-69,-86,-84
-67,-61,-63,-64,-71,-85,-84
-71,-62,-65,-68,-83,-85,-86
-68,-64,-66,-73,-81,-86,-83
-68,-63,-65,-74,-81,-84,-89
-70,-64,-63,-69,-83,-85,-87
-72,-63,-64,-70,-81,-85,-87
-73,-62,-66,-65,-81,-87,-89
-73,-61,-65,-65,-77,-89,-90
-73,-63,-65,-70,-80,-89,-93
-74,-62,-66,-70,-76,-89,-87
-71,-62,-63,-69,-75,-85,-87
-71,-64,-64,-70,-78,-88,-94
-70,-64,-66,-73,-78,-87,-94
-72,-62,-63,-76,-81,-84,-91
-72,-59,-65,-75,-81,-84,-91
-69,-59,-59,-65,-78,-86,-87
-57,-58,-65,-62,-77,-80,-87
-63,-55,-62,-66,-76,-89,-85
-64,-56,-69,-64,-73,-89,-85
-60,-57,-60,-66,-76,-82,-80
-64,-58,-59,-61,-70,-84,-86
-62,-55,-57,-62,-70,-82,-86
-65,-54,-57,-66,-70,-82,-80
-61,-56,-53,-62,-63,-84,-91
-65,-56,-55,-65,-68,-85,-93
-65,-55,-55,-67,-63,-82,-89
-59,-57,-62,-61,-68,-80,-83
-65,-59,-65,-63,-68,-80,-83
-63,-58,-62,-71,-74,-92,-94
-63,-59,-61,-62,-78,-90,-82
-65,-60,-67,-66,-68,-84,-89
-65,-58,-67,-67,-70,-87,-84
-65,-58,-70,-66,-71,-85,-83
-65,-59,-65,-67,-89,-85,-83
-63,-58,-64,-66,-70,-81,-91
-61,-54,-56,-59,-68,-82,-83
-59,-54,-59,-59,-67,-86,-80
-62,-56,-56,-61,-68,-81,-86
-61,-51,-58,-62,-71,-80,-84
-59,-54,-56,-62,-67,-81,-82
-58,-54,-58,-62,-75,-81,-81
-57,-53,-59,-64,-71,-80,-79
-63,-55,-62,-63,-70,-80,-75
-62,-54,-56,-64,-75,-88,-85
-62,-58,-57,-62,-72,-81,-81
-62,-58,-57,-65,-68,-83,-79
-65,-50,-51,-57,-70,-80,-79
-63,-48,-51,-59,-69,-77,-82
-63,-51,-50,-63,-67,-83,-79
-61,-53,-54,-58,-71,-82,-86
-56,-53,-58,-64,-71,-84,-87
-58,-54,-62,-66,-76,-83,-86
-62,-60,-64,-74,-76,-81,-91
-64,-59,-68,-67,-74,-82,-82
