,,,,,,,f1,f2,f3,f4,f5,f6,f7,f8,f9
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
