f1,f2,f3,f4,f5,f6,f7,f8
30,2,0,4,51,89,2,780
9,1,0,6,21,92,9,194
4,1,0,0,16,50,0,92
4,0,2,1,4,0,4,7
33,1,0,7,45,56,32,352
14,3,0,7,37,75,13,167
21,1,0,5,33,71,17,299
4,1,4,11,16,75,4,257
0,0,2,0,0,0,0,68
2,4,0,1,43,0,2,13
34,2,0,6,51,92,6,1595
3,6,0,30,630,45,1,467
2,1,0,15,14,50,1,91
5,1,0,20,17,50,5,82
4,1,0,3,16,0,4,17
16,1,0,8,28,82,14,181
3,2,0,17,73,22,2,73
1,1,0,11,13,0,1,58
18,3,0,9,49,83,18,307
4,2,0,4,24,33,0,25
3,0,6,0,3,100,0,6
6,1,0,5,18,62,5,45
3,2,0,5,23,33,0,28
5,2,0,5,25,72,0,91
5,3,0,5,36,70,5,54
4,1,0,1,16,0,3,18
4,3,0,5,41,91,3,37
5,1,0,5,17,60,3,91
3,2,0,5,23,16,0,43
8,1,0,5,20,96,8,177
4,1,0,0,16,0,3,18
3,3,0,3,69,0,3,15
5,3,0,5,38,70,5,54
3,2,0,4,23,0,0,37
3,2,0,5,23,33,0,38
5,2,0,7,25,9,0,72
3,2,0,3,23,0,0,11
5,2,0,5,25,30,0,38
5,1,0,5,17,62,3,83
4,1,0,1,16,16,3,20
3,2,0,3,23,33,0,25
4,2,0,3,24,50,0,25
14,1,0,6,26,65,10,104
7,2,0,5,27,46,0,123
8,1,13,3,20,75,0,35
46,2,1,34,66,95,26,666
2,2,0,16,32,0,1,91
6,0,1,2,6,0,6,8
4,2,0,14,34,0,1,42
12,1,0,4,24,48,0,80
3,2,0,7,33,66,2,27
8,2,0,14,38,73,2,94
3,2,0,6,33,77,2,25
4,2,0,13,34,0,2,80
7,1,0,4,19,78,3,65
4,2,0,10,27,75,3,83
2,2,0,5,32,0,1,13
1,2,0,1,31,100,1,7
4,3,0,6,37,75,4,42
2,0,2,0,2,0,2,5
7,1,1,0,7,0,7,10
9,2,0,20,39,72,7,110
2,2,0,13,32,50,1,76
0,0,1,1,0,0,0,81
5,1,0,6,17,0,5,56
3,2,0,8,33,0,2,75
4,1,1,14,16,75,4,30
2,2,0,4,32,0,1,15
2,2,0,6,32,50,1,47
44,1,0,20,56,87,29,712
2,2,0,4,32,0,1,17
11,1,2,18,23,59,8,129
3,4,0,5,44,33,3,20
86,2,0,39,109,0,84,155
10,2,0,26,40,90,1,190
50,1,0,8,62,90,7,2098
13,1,0,5,25,30,13,59
2,2,0,5,32,50,1,15
5,2,0,9,35,65,4,66
3,2,0,6,33,0,2,37
0,0,13,1,0,0,0,268
5,2,0,6,35,65,3,56
351,1,0,70,363,91,88,5317
5,2,0,11,32,53,4,47
2,2,0,6,32,0,2,15
15,1,1,25,27,82,10,220
19,1,0,26,31,81,8,537
10,2,0,6,95,0,7,53
2,2,0,1,32,50,1,6
8,2,0,12,38,75,6,56
4,2,0,7,34,0,2,53
31,1,0,8,43,80,25,446
73,1,1,33,85,95,48,765
56,1,0,45,68,93,45,616
6,1,0,21,18,0,2,122
31,1,0,41,43,0,14,605
22,1,0,43,34,89,6,693
18,1,38,11,30,88,18,105
6,2,0,11,36,83,2,55
3,1,0,2,15,0,3,13
6,1,1,8,18,83,6,85
10,4,0,9,59,65,10,71
1,2,0,1,16,0,1,11
2,1,0,1,14,93,2,18
9,1,0,19,21,59,3,156
6,3,0,3,43,96,4,71
5,1,0,4,17,70,5,35
5,2,0,9,35,40,2,80
1,1,0,1,13,0,1,10
10,1,0,19,22,85,3,208
4,2,0,12,34,75,1,88
12,1,0,7,24,76,7,73
4,2,0,7,22,0,4,26
4,1,0,4,16,25,3,25
11,4,0,5,60,72,10,148
7,2,0,35,23,0,5,220
3,1,0,10,15,66,3,66
2,2,0,3,32,50,2,12
4,2,0,7,34,50,2,25
1,4,0,1,42,0,1,7
1,4,0,1,42,0,1,3
3,1,1,3,15,66,3,25
6,2,0,21,36,85,1,164
12,3,2,4,49,63,9,87
2,2,0,4,32,0,1,15
2,0,1,2,2,0,2,8
4,3,3,5,41,0,3,23
2,2,0,8,32,56,1,67
