f1,f2,f3,f4,f5,f6,f7,f8
6f,86,3,1,1,0,D,F
6f,86,3,2,0,0,D,F
6f,86,3,3,1,1,D,F
6f,86,3,4,1,0,D,F
6f,86,3,5,0,0,D,F
6f,86,4,1,0,1,D,F
6f,86,4,2,2,2,D,F
6f,86,4,3,1,0,D,F
6m,86,6,1,2,0,D,M
6m,86,6,2,3,3,D,M
6m,86,6,3,1,1,D,M
6c,86,10,1,1,1,D,C
6c,86,10,2,3,4,O,C
6c,86,10,3,3,3,D,C
6c,86,10,4,3,2,D,C
6c,86,10,5,3,3,D,C
7f,87,1,2,2,1,D,F
7f,87,1,3,3,3,D,F
7f,87,2,1,2,1,D,F
7f,87,3,1,0,1,D,F
7f,87,3,2,1,0,D,F
7f,87,3,3,0,0,D,F
7f,87,3,4,2,1,D,F
7f,87,3,5,0,1,D,F
7m,87,5,1,2,3,B,M
7m,87,5,2,1,2,D,M
7m,87,5,3,0,0,D,M
7m,87,5,4,1,1,D,M
7m,87,6,2,2,1,D,M
7m,87,6,4,3,1,D,M
7c,87,10,1,3,2,D,C
7c,87,10,2,3,2,D,C
7c,87,10,3,2,2,D,C
7c,87,10,4,1,1,O,C
7c,87,10,5,2,3,D,C
8f,88,1,0,5,3,D,F
8f,88,1,1,0,0,D,F
8f,88,1,2,3,1,D,F
8f,88,1,4,2,1,D,F
8f,88,3,1,1,1,D,F
8f,88,3,2,2,2,D,F
8f,88,3,3,1,0,D,F
8m,88,6,3,1,1,D,M
8m,88,6,4,0,0,D,M
8m,88,7,1,0,1,B,M
8m,88,7,2,0,0,B,M
8m,88,7,3,1,2,B,M
8c,88,9,1,2,2,D,C
8c,88,9,2,1,1,D,C
8c,88,9,3,2,0,D,C
8c,88,10,1,3,3,O,C
8c,88,10,2,5,2,D,C
8c,88,10,4,4,3,D,C
9f,89,1,1,4,4,D,F
9f,89,1,2,5,5,D,F
9f,89,1,3,0,0,D,F
9f,89,1,4,2,4,D,F
9f,89,2,1,4,1,D,F
9f,89,2,2,2,1,D,F
9f,89,2,3,3,4,D,F
9f,89,3,1,1,1,D,F
9f,89,3,2,3,2,D,F
9f,89,3,3,4,4,D,F
9f,89,4,1,4,2,D,F
9f,89,4,2,1,4,D,F
9m,89,5,1,0,0,B,M
9m,89,5,2,3,4,D,M
9m,89,6,1,2,2,D,M
9m,89,6,2,4,4,D,M
9m,89,6,3,5,4,D,M
9m,89,7,1,0,2,B,M
9m,89,7,2,1,0,B,M
9c,89,9,1,1,2,D,C
9c,89,9,2,3,3,D,C
9c,89,9,3,2,1,D,C
9c,89,10,1,2,4,O,C
9c,89,10,2,2,1,D,C
9c,89,10,3,1,3,O,C
0f,90,1,1,5,5,D,F
0f,90,1,2,1,1,D,F
0f,90,1,3,1,1,D,F
0f,90,2,1,3,3,D,F
0f,90,2,2,2,2,D,F
0f,90,2,3,0,0,D,F
0f,90,3,1,1,1,O,F
0f,90,3,2,2,3,D,F
0f,90,3,3,4,4,D,F
0f,90,4,1,5,4,D,F
0f,90,4,2,3,3,D,F
0f,90,4,3,3,4,D,F
0m,90,5,1,0,0,B,M
0m,90,5,2,5,5,D,M
0m,90,5,3,1,1,B,M
0m,90,6,1,1,1,D,M
0m,90,6,2,2,1,D,M
0m,90,6,3,4,4,D,M
0m,90,7,1,0,0,B,M
0m,90,7,2,4,3,D,M
0c,90,9,1,4,2,D,C
0c,90,9,2,2,2,D,C
0c,90,9,3,4,4,D,C
0c,90,10,1,3,3,O,C
0c,90,10,2,4,4,D,C
0c,90,10,3,5,5,O,C
1f,91,1,1,1,1,D,F
1f,91,1,2,2,2,D,F
1f,91,1,3,5,4,D,F
1f,91,2,1,3,3,D,F
1f,91,2,2,1,1,D,F
1f,91,2,3,2,1,D,F
1f,91,3,1,2,2,D,F
1f,91,3,2,0,0,D,F
1f,91,4,1,3,2,D,F
1f,91,4,2,1,2,D,F
1f,91,4,3,1,1,D,F
1m,91,5,1,0,1,B,M
1m,91,5,2,2,2,B,M
1m,91,5,3,2,2,B,M
1m,91,6,1,5,5,D,M
1m,91,6,2,2,1,B,M
1m,91,6,3,3,2,D,M
1m,91,7,1,0,0,B,M
1m,91,7,2,3,0,D,M
1c,91,9,1,3,2,D,C
1c,91,9,2,3,3,D,C
1c,91,9,3,3,2,B,C
1c,91,10,1,5,4,D,C
1c,91,10,2,3,3,O,C
1c,91,10,3,2,1,O,C
2f,92,1,1,1,1,D,F
2f,92,1,2,0,0,D,F
2f,92,1,3,3,3,D,F
2f,92,1,4,3,3,D,F
2f,92,2,1,1,1,D,F
2f,92,2,2,2,2,D,F
2f,92,2,3,4,4,D,F
2f,92,3,1,3,3,D,F
2f,92,3,2,2,2,D,F
2f,92,3,3,1,1,O,F
2f,92,4,1,3,3,D,F
2f,92,4,2,4,4,D,F
2f,92,4,3,1,1,D,F
2m,92,6,1,0,0,B,M
2m,92,6,2,2,2,D,M
2m,92,6,3,4,4,D,M
2m,92,7,1,2,1,B,M
2m,92,7,2,5,4,D,M
2m,92,7,3,3,3,D,M
2c,92,9,1,1,2,D,C
2c,92,9,2,4,4,D,C
2c,92,9,4,1,1,B,C
2c,92,10,1,3,3,O,C
2c,92,10,2,1,1,D,C
2c,92,10,3,2,2,O,C
2c,92,10,4,3,3,D,C
