f1,f2,f3,f4
1,0,22.5,2595529
1,0,27.5,1846189
1,0,32.5,1402764
1,0,37.5,1215899
1,0,42.5,1191615
1,0,47.5,1111810
1,0,52.5,957985
1,0,57.5,774836
1,0,62.5,634758
1,0,67.5,492203
1,0,72.5,342767
1,0,77.5,199630
1,0,82.5,96293
2,10,22.5,934
2,10,27.5,489
2,10,32.5,276
2,10,37.5,317
2,10,42.5,374
2,10,47.5,435
2,10,52.5,342
2,10,57.5,277
2,10,62.5,203
2,10,67.5,175
2,10,72.5,105
2,10,77.5,78
2,10,82.5,38
3,11,22.5,666
3,11,27.5,267
3,11,32.5,310
3,11,37.5,221
3,11,42.5,311
3,11,47.5,292
3,11,52.5,295
3,11,57.5,265
3,11,62.5,203
3,11,67.5,143
3,11,72.5,93
3,11,77.5,69
3,11,82.5,59
4,30,22.5,1003
4,30,27.5,591
4,30,32.5,481
4,30,37.5,405
4,30,42.5,462
4,30,47.5,397
4,30,52.5,392
4,30,57.5,353
4,30,62.5,317
4,30,67.5,199
4,30,72.5,115
4,30,77.5,71
4,30,82.5,75
5,32,22.5,1545
5,32,27.5,865
5,32,32.5,673
5,32,37.5,709
5,32,42.5,744
5,32,47.5,644
5,32,52.5,563
5,32,57.5,439
5,32,62.5,318
5,32,67.5,238
5,32,72.5,167
5,32,77.5,92
5,32,82.5,36
6,32,22.5,469
6,32,27.5,260
6,32,32.5,198
6,32,37.5,199
6,32,42.5,183
6,32,47.5,227
6,32,52.5,162
6,32,57.5,219
6,32,62.5,194
6,32,67.5,126
6,32,72.5,77
6,32,77.5,35
6,32,82.5,43
7,42,22.5,2063
7,42,27.5,1267
7,42,32.5,1101
7,42,37.5,1038
7,42,42.5,984
7,42,47.5,932
7,42,52.5,738
7,42,57.5,567
7,42,62.5,497
7,42,67.5,427
7,42,72.5,321
7,42,77.5,178
7,42,82.5,114
8,45,22.5,1432
8,45,27.5,830
8,45,32.5,553
8,45,37.5,520
8,45,42.5,650
8,45,47.5,710
8,45,52.5,662
8,45,57.5,456
8,45,62.5,320
8,45,67.5,232
8,45,72.5,213
8,45,77.5,129
8,45,82.5,113
9,50,22.5,1100
9,50,27.5,603
9,50,32.5,436
9,50,37.5,525
9,50,42.5,624
9,50,47.5,636
9,50,52.5,466
9,50,57.5,366
9,50,62.5,370
9,50,67.5,309
9,50,72.5,214
9,50,77.5,111
9,50,82.5,128
10,56,22.5,1105
10,56,27.5,480
10,56,32.5,414
10,56,37.5,466
10,56,42.5,582
10,56,47.5,563
10,56,52.5,447
10,56,57.5,365
10,56,62.5,283
10,56,67.5,168
10,56,72.5,125
10,56,77.5,57
10,56,82.5,39
11,60,22.5,1893
11,60,27.5,1032
11,60,32.5,668
11,60,37.5,787
11,60,42.5,950
11,60,47.5,878
11,60,52.5,807
11,60,57.5,629
11,60,62.5,559
11,60,67.5,455
11,60,72.5,298
11,60,77.5,150
11,60,82.5,121
12,65,22.5,1199
12,65,27.5,587
12,65,32.5,451
12,65,37.5,491
12,65,42.5,521
12,65,47.5,553
12,65,52.5,537
12,65,57.5,487
12,65,62.5,404
12,65,67.5,299
12,65,72.5,197
12,65,77.5,103
12,65,82.5,98
13,73,22.5,2394
13,73,27.5,1360
13,73,32.5,1183
13,73,37.5,1209
13,73,42.5,1261
13,73,47.5,1046
13,73,52.5,853
13,73,57.5,725
13,73,62.5,671
13,73,67.5,546
13,73,72.5,355
13,73,77.5,192
13,73,82.5,142
14,80,22.5,2149
14,80,27.5,1318
14,80,32.5,1018
14,80,37.5,857
14,80,42.5,988
14,80,47.5,1018
14,80,52.5,879
14,80,57.5,709
14,80,62.5,483
14,80,67.5,417
14,80,72.5,220
14,80,77.5,137
14,80,82.5,139
15,100,22.5,1439
15,100,27.5,744
15,100,32.5,415
15,100,37.5,510
15,100,42.5,564
15,100,47.5,573
15,100,52.5,467
15,100,57.5,402
15,100,62.5,385
15,100,67.5,335
15,100,72.5,254
15,100,77.5,168
15,100,82.5,136
16,110,22.5,1110
16,110,27.5,586
16,110,32.5,477
16,110,37.5,502
16,110,42.5,575
16,110,47.5,521
16,110,52.5,447
16,110,57.5,392
16,110,62.5,302
16,110,67.5,195
16,110,72.5,101
16,110,77.5,65
16,110,82.5,37
17,110,22.5,718
17,110,27.5,449
17,110,32.5,290
17,110,37.5,329
17,110,42.5,397
17,110,47.5,401
17,110,52.5,333
17,110,57.5,251
17,110,62.5,203
17,110,67.5,175
17,110,72.5,156
17,110,77.5,62
17,110,82.5,69
18,123,22.5,674
18,123,27.5,436
18,123,32.5,360
18,123,37.5,440
18,123,42.5,385
18,123,47.5,396
18,123,52.5,363
18,123,57.5,313
18,123,62.5,280
18,123,67.5,272
18,123,72.5,210
18,123,77.5,113
18,123,82.5,49
19,126,22.5,1196
19,126,27.5,501
19,126,32.5,443
19,126,37.5,510
19,126,42.5,609
19,126,47.5,610
19,126,52.5,544
19,126,57.5,453
19,126,62.5,408
19,126,67.5,295
19,126,72.5,226
19,126,77.5,142
19,126,82.5,89
20,256,22.5,1949
20,256,27.5,981
20,256,32.5,755
20,256,37.5,787
20,256,42.5,912
20,256,47.5,872
20,256,52.5,759
20,256,57.5,540
20,256,62.5,464
20,256,67.5,352
20,256,72.5,262
20,256,77.5,111
20,256,82.5,125
21,256,22.5,686
21,256,27.5,240
21,256,32.5,277
21,256,37.5,254
21,256,42.5,234
21,256,47.5,376
21,256,52.5,362
21,256,57.5,241
21,256,62.5,285
21,256,67.5,188
21,256,72.5,165
21,256,77.5,61
21,256,82.5,43
22,259,22.5,1100
22,259,27.5,572
22,259,32.5,401
22,259,37.5,365
22,259,42.5,521
22,259,47.5,453
22,259,52.5,480
22,259,57.5,389
22,259,62.5,289
22,259,67.5,193
22,259,72.5,131
22,259,77.5,101
22,259,82.5,84
23,307,22.5,547
23,307,27.5,320
23,307,32.5,164
23,307,37.5,196
23,307,42.5,266
23,307,47.5,299
23,307,52.5,271
23,307,57.5,196
23,307,62.5,153
23,307,67.5,122
23,307,72.5,94
23,307,77.5,56
23,307,82.5,74
24,307,22.5,793
24,307,27.5,466
24,307,32.5,356
24,307,37.5,490
24,307,42.5,556
24,307,47.5,520
24,307,52.5,388
24,307,57.5,268
24,307,62.5,237
24,307,67.5,188
24,307,72.5,127
24,307,77.5,60
24,307,82.5,56
25,350,22.5,659
25,350,27.5,346
25,350,32.5,273
25,350,37.5,283
25,350,42.5,385
25,350,47.5,390
25,350,52.5,292
25,350,57.5,262
25,350,62.5,243
25,350,67.5,236
25,350,72.5,102
25,350,77.5,68
25,350,82.5,47
26,398,22.5,538
26,398,27.5,272
26,398,32.5,211
26,398,37.5,232
26,398,42.5,274
26,398,47.5,321
26,398,52.5,292
26,398,57.5,175
26,398,62.5,153
26,398,67.5,122
26,398,72.5,96
26,398,77.5,23
26,398,82.5,14
27,406,22.5,770
27,406,27.5,315
27,406,32.5,239
27,406,37.5,355
27,406,42.5,412
27,406,47.5,420
27,406,52.5,367
27,406,57.5,331
27,406,62.5,284
27,406,67.5,209
27,406,72.5,114
27,406,77.5,47
27,406,82.5,23
28,448,22.5,1043
28,448,27.5,457
28,448,32.5,241
28,448,37.5,331
28,448,42.5,404
28,448,47.5,423
28,448,52.5,387
28,448,57.5,312
28,448,62.5,252
28,448,67.5,202
28,448,72.5,130
28,448,77.5,49
28,448,82.5,28
29,467,22.5,1114
29,467,27.5,720
29,467,32.5,632
29,467,37.5,566
29,467,42.5,523
29,467,47.5,487
29,467,52.5,447
29,467,57.5,315
29,467,62.5,212
29,467,67.5,133
29,467,72.5,72
29,467,77.5,45
29,467,82.5,32
30,504,22.5,1029
30,504,27.5,406
30,504,32.5,384
30,504,37.5,499
30,504,42.5,654
30,504,47.5,585
30,504,52.5,460
30,504,57.5,397
30,504,62.5,330
30,504,67.5,235
30,504,72.5,171
30,504,77.5,152
30,504,82.5,95
31,520,22.5,905
31,520,27.5,364
31,520,32.5,263
31,520,37.5,342
31,520,42.5,442
