f1,f2,f3,f4
8.462789,-38.173172,102.5,39.099998
7.964978,-35.927692,102.5,36.799999
7.467167,-33.682213,102.5,34.500001
6.969356,-31.436731,102.5,32.2
6.471544,-29.19125,102.5,29.899999
5.973733,-26.94577,102.5,27.6
5.475922,-24.700289,102.5,25.3
4.978111,-22.454807,102.5,22.999999
4.4803,-20.209328,102.5,20.7
3.982489,-17.963846,102.5,18.4
3.463034,-15.620736,102.5,16
2.965223,-13.375256,102.5,13.7
2.467412,-11.129774,102.5,11.4
1.969601,-8.884295,102.5,9.100001
1.471789,-6.638813,102.5,6.8
0.973978,-4.393332,102.5,4.5
0.476167,-2.147851,102.5,2.2
-0.021644,0.09763,102.5,-0.1
-0.519455,2.343111,102.5,-2.4
-1.017266,4.588591,102.5,-4.7
-1.515077,6.834072,102.5,-7
-2.012888,9.079553,102.5,-9.3
-2.5107,11.325034,102.5,-11.6
-3.008511,13.570514,102.5,-13.899999
-3.527966,15.913624,102.5,-16.299999
-4.025777,18.159105,102.5,-18.6
-4.523588,20.404587,102.5,-20.9
-5.021399,22.650068,102.5,-23.200001
-5.51921,24.895548,102.5,-25.5
-6.017021,27.141027,102.5,-27.799998
-6.514832,29.386511,102.5,-30.100001
-7.012644,31.631992,102.5,-32.400002
-7.510455,33.877472,102.5,-34.7
-8.008265,36.122952,102.5,-36.999999
-8.506077,38.368431,102.5,-39.299998
-9.501699,42.859398,102.5,-43.900003
-11.016777,49.69347,102.5,-50.900003
27.824436,6.168529,12.5,28.5
21.087994,4.675096,12.5,21.6
18.842512,4.177284,12.5,19.299999
16.597033,3.679473,12.5,17
14.351551,3.181662,12.5,14.7
12.106071,2.683851,12.5,12.4
9.86059,2.18604,12.5,10.1
7.615109,1.688229,12.5,7.8
5.271998,1.168774,12.5,5.4
3.026518,0.670963,12.5,3.1
0.781037,0.173152,12.5,0.8
-1.464444,-0.324659,12.5,-1.5
-3.709925,-0.822471,12.5,-3.8
-5.955406,-1.320282,12.5,-6.1
-8.200886,-1.818093,12.5,-8.399999
-10.446367,-2.315904,12.5,-10.7
-12.691848,-2.813715,12.5,-13
